Timestamp,Sensor,X,Y,Z,W
74673542371963,acc,-0.514,0.164,9.722,
74673542371963,Gyro,-0.051,0.297,-0.026,
74673542371963,Lacc,0.004,-0.001,-0.073,
74673562233359,acc,-0.499,0.176,9.885,
74673562233359,Gyro,-0.062,0.249,-0.009,
74673562233359,Lacc,0.076,0.022,0.093,
74673562233359,GameRo,0.008,0.029,0.000,1.000
74673582086251,acc,-0.550,0.145,9.905,
74673582086251,Gyro,-0.077,0.022,0.045,
74673582086251,Lacc,0.046,0.005,0.114,
74673582086251,GameRo,0.007,0.030,0.001,1.000
74673587083456,pre,998.036,,,
74673601968396,acc,-0.666,0.111,9.631,
74673601968396,Gyro,-0.032,-0.156,0.040,
74673601968396,Lacc,-0.096,-0.018,-0.161,
74673601968396,GameRo,0.007,0.028,0.001,1.000
74673612117201,pre,998.021,,,
74673621864901,acc,-0.601,0.130,9.757,
74673621864901,Gyro,0.021,-0.129,0.009,
74673621864901,Lacc,-0.062,-0.003,-0.037,
74673621864901,GameRo,0.007,0.027,0.001,1.000
74673637152656,pre,998.073,,,
74673641691757,acc,-0.535,0.138,9.879,
74673641691757,Gyro,-0.009,-0.046,-0.006,
74673641691757,Lacc,-0.010,0.004,0.084,
74673641691757,GameRo,0.007,0.026,0.001,1.000
74673661581631,acc,-0.526,0.125,9.743,
74673661581631,Gyro,-0.012,0.061,-0.008,
74673661581631,Lacc,0.005,-0.006,-0.052,
74673661581631,GameRo,0.007,0.026,0.001,1.000
74673662185630,pre,998.113,,,
74673681446810,acc,-0.558,0.126,9.814,
74673681446810,Gyro,-0.007,0.077,-0.009,
74673681446810,Lacc,-0.010,-0.003,0.020,
74673681446810,GameRo,0.007,0.027,0.001,1.000
74673687222263,pre,998.076,,,
74673701286196,acc,-0.588,0.125,9.836,
74673701286196,Gyro,-0.010,0.029,-0.011,
74673701286196,Lacc,-0.030,-0.002,0.043,
74673701286196,GameRo,0.007,0.028,0.001,1.000
74673712283228,pre,998.055,,,
74673721176599,acc,-0.613,0.115,9.825,
74673721176599,Gyro,-0.015,-0.020,-0.025,
74673721176599,Lacc,-0.057,-0.009,0.032,
74673721176599,GameRo,0.006,0.028,0.001,1.000
74673737331538,pre,998.113,,,
74673741033316,acc,-0.543,0.127,9.827,
74673741033316,Gyro,-0.018,-0.035,-0.029,
74673741033316,Lacc,0.007,0.007,0.033,
74673741033316,GameRo,0.006,0.027,0.000,1.000
74673760905168,acc,-0.521,0.117,9.808,
74673760905168,Gyro,-0.025,-0.027,-0.019,
74673760905168,Lacc,0.022,0.001,0.014,
74673760905168,GameRo,0.006,0.027,0.000,1.000
74673762335299,pre,998.134,,,
74673780770346,acc,-0.513,0.113,9.776,
74673780770346,Gyro,-0.018,-0.005,-0.003,
74673780770346,Lacc,0.028,0.001,-0.018,
74673780770346,GameRo,0.006,0.027,0.000,1.000
74673787388859,pre,998.067,,,
74673800610383,acc,-0.540,0.113,9.805,
74673800610383,Gyro,-0.014,-0.001,0.000,
74673800610383,Lacc,0.001,0.004,0.010,
74673800610383,GameRo,0.006,0.027,0.000,1.000
74673812422930,pre,998.015,,,
74673820499891,acc,-0.557,0.106,9.829,
74673820499891,Gyro,-0.019,-0.011,0.000,
74673820499891,Lacc,-0.017,0.000,0.034,
74673820499891,GameRo,0.006,0.027,0.000,1.000
74673837456594,pre,998.024,,,
74673840364135,acc,-0.541,0.102,9.800,
74673840364135,Gyro,-0.022,-0.004,-0.000,
74673840364135,Lacc,-0.003,0.001,0.005,
74673840364135,GameRo,0.005,0.027,0.000,1.000
74673860228744,acc,-0.531,0.097,9.817,
74673860228744,Gyro,-0.022,-0.010,0.003,
74673860228744,Lacc,0.007,-0.000,0.022,
74673860228744,GameRo,0.005,0.027,0.000,1.000
74673862491317,pre,998.015,,,
74673880093353,acc,-0.520,0.093,9.814,
74673880093353,Gyro,-0.022,-0.029,0.013,
74673880093353,Lacc,0.013,-0.000,0.019,
74673880093353,GameRo,0.005,0.026,0.000,1.000
74673887524981,pre,998.006,,,
74673899958004,acc,-0.576,0.090,9.832,
74673899958004,Gyro,-0.031,-0.031,0.007,
74673899958004,Lacc,-0.050,0.002,0.036,
74673899958004,GameRo,0.005,0.026,0.000,1.000
74673912558157,pre,998.039,,,
74673919823265,acc,-0.545,0.085,9.794,
74673919823265,Gyro,-0.039,-0.011,-0.002,
74673919823265,Lacc,-0.023,0.005,-0.002,
74673919823265,GameRo,0.004,0.026,0.000,1.000
