Timestamp,Sensor,X,Y,Z,W
1036034065261,acc,-0.431,-0.011,9.775,
1036053763855,acc,-0.440,-0.007,9.773,
1036067417761,Gyro,-0.017,0.005,-0.001,
1036073462396,acc,-0.446,-0.008,9.763,
1036087116355,Gyro,-0.013,0.000,-0.002,
1036093160990,acc,-0.450,-0.016,9.762,
1036115350730,pre,998.268,,,
1036106814896,Gyro,-0.007,0.007,-0.005,
1036112859532,acc,-0.449,-0.017,9.764,
1036126513490,Gyro,-0.006,0.014,-0.006,
1036132558125,acc,-0.454,-0.023,9.782,
1036155366875,pre,998.234,,,
1036146212084,Gyro,-0.011,0.011,-0.009,
1036152256719,acc,-0.470,-0.017,9.787,
1036165910625,Gyro,-0.017,0.008,-0.020,
1036171955261,acc,-0.457,-0.025,9.762,
1036171955261,Lacc,-0.006,-0.006,-0.038,
1036171955261,GameRo,-0.001,0.023,-0.000,1.000
1036195346303,pre,998.197,,,
1036185609219,Gyro,-0.010,0.004,-0.021,
1036191653855,acc,-0.444,-0.025,9.759,
1036191653855,Lacc,0.007,-0.004,-0.041,
1036191653855,GameRo,-0.001,0.023,-0.000,1.000
1036205307761,Gyro,-0.003,-0.004,-0.010,
1036211352448,acc,-0.438,-0.032,9.763,
1036211352448,Lacc,0.012,-0.010,-0.037,
1036211352448,GameRo,-0.001,0.023,-0.000,1.000
1036235356146,pre,998.173,,,
1036225006355,Gyro,0.000,-0.009,-0.002,
1036231050990,acc,-0.457,-0.029,9.771,
1036231050990,Lacc,-0.009,-0.007,-0.029,
1036231050990,GameRo,-0.001,0.023,-0.000,1.000
1036244704948,Gyro,0.000,-0.004,-0.001,
1036250749584,acc,-0.458,-0.031,9.772,
1036250749584,Lacc,-0.010,-0.010,-0.028,
1036250749584,GameRo,-0.001,0.023,-0.000,1.000
1036275357292,pre,998.178,,,
1036264403490,Gyro,-0.001,0.002,-0.004,
1036270448178,acc,-0.456,-0.030,9.778,
1036270448178,Lacc,-0.008,-0.008,-0.022,
1036270448178,GameRo,-0.001,0.023,-0.000,1.000
1036284102084,Gyro,-0.004,-0.002,-0.004,
1036290146719,acc,-0.458,-0.033,9.776,
1036290146719,Lacc,-0.010,-0.010,-0.024,
1036290146719,GameRo,-0.001,0.023,-0.000,1.000
1036315349896,pre,998.181,,,
1036303800678,Gyro,-0.003,-0.003,-0.008,
1036309845313,acc,-0.455,-0.025,9.759,
1036309845313,Lacc,-0.008,-0.002,-0.041,
1036309845313,GameRo,-0.001,0.023,-0.000,1.000
1036323499219,Gyro,0.004,-0.011,-0.011,
1036329543907,acc,-0.443,-0.026,9.771,
1036329543907,Lacc,0.001,-0.004,-0.029,
1036329543907,GameRo,-0.001,0.023,-0.001,1.000
1036343197813,Gyro,0.003,-0.017,-0.009,
1036355353646,pre,998.175,,,
1036349242448,acc,-0.448,-0.026,9.775,
1036349242448,Lacc,-0.007,-0.004,-0.026,
1036349242448,GameRo,-0.001,0.022,-0.001,1.000
1036362896407,Gyro,0.004,-0.020,-0.011,
1036368941042,acc,-0.444,-0.024,9.771,
1036368941042,Lacc,-0.007,-0.003,-0.029,
1036368941042,GameRo,-0.001,0.022,-0.001,1.000
1036382595000,Gyro,0.004,-0.010,-0.012,
1036395355469,pre,998.152,,,
1036388639636,acc,-0.440,-0.024,9.769,
1036388639636,Lacc,-0.004,-0.003,-0.032,
1036388639636,GameRo,-0.001,0.022,-0.001,1.000
1036402293542,Gyro,0.006,-0.017,-0.011,
1036408338178,acc,-0.436,-0.019,9.770,
1036408338178,Lacc,-0.004,0.000,-0.031,
1036408338178,GameRo,-0.001,0.022,-0.001,1.000
1036421992136,Gyro,0.003,-0.019,-0.005,
1036435350000,pre,998.148,,,
1036428036771,acc,-0.427,-0.026,9.775,
1036428036771,Lacc,0.002,-0.007,-0.026,
1036428036771,GameRo,-0.001,0.022,-0.001,1.000
1036441690730,Gyro,0.001,-0.009,-0.000,
1036447735365,acc,-0.425,-0.022,9.760,
1036447735365,Lacc,0.002,-0.003,-0.040,
1036447735365,GameRo,-0.001,0.022,-0.001,1.000
1036461389271,Gyro,0.005,-0.010,0.004,
1036475352709,pre,998.112,,,
1036467433959,acc,-0.428,-0.025,9.773,
1036467433959,Lacc,-0.003,-0.007,-0.027,
1036467433959,GameRo,-0.001,0.022,-0.001,1.000
1036481087865,Gyro,-0.000,-0.013,0.004,
1036487132500,acc,-0.434,-0.023,9.782,
1036487132500,Lacc,-0.011,-0.005,-0.019,
1036487132500,GameRo,-0.001,0.022,-0.001,1.000
1036500786459,Gyro,-0.007,-0.007,0.003,
1036515350730,pre,998.133,,,
1036506831094,acc,-0.425,-0.024,9.764,
1036506831094,Lacc,-0.004,-0.004,-0.037,
1036506831094,GameRo,-0.001,0.021,-0.001,1.000
1036520485053,Gyro,-0.001,-0.012,0.001,
1036526529688,acc,-0.428,-0.024,9.760,
1036526529688,Lacc,-0.009,-0.005,-0.040,
1036526529688,GameRo,-0.001,0.021,-0.001,1.000
1036540183594,Gyro,0.007,-0.012,-0.001,
1036555356198,pre,998.118,,,
1036546228282,acc,-0.429,-0.019,9.769,
1036546228282,Lacc,-0.012,-0.002,-0.032,
1036546228282,GameRo,-0.001,0.021,-0.001,1.000
1036559882188,Gyro,0.005,-0.005,-0.003,
1036565926823,acc,-0.421,-0.020,9.784,
1036565926823,Lacc,-0.005,-0.003,-0.017,
1036565926823,GameRo,-0.001,0.021,-0.001,1.000
1036579580782,Gyro,-0.004,-0.000,-0.003,
1036595358542,pre,998.144,,,
1036585625417,acc,-0.415,-0.019,9.775,
1036585625417,Lacc,0.001,-0.001,-0.026,
1036585625417,GameRo,-0.001,0.021,-0.001,1.000
1036599279375,Gyro,-0.006,-0.001,-0.001,
1036605324011,acc,-0.411,-0.020,9.757,
1036605324011,Lacc,0.005,-0.001,-0.044,
1036605324011,GameRo,-0.001,0.021,-0.001,1.000
1036618977969,Gyro,0.000,0.005,0.002,
1036635360678,pre,998.152,,,
1036625022605,acc,-0.419,-0.020,9.766,
1036625022605,Lacc,-0.002,-0.001,-0.035,
1036625022605,GameRo,-0.001,0.021,-0.001,1.000
1036638676511,Gyro,0.002,0.019,0.001,
1036644721198,acc,-0.435,-0.025,9.776,
1036644721198,Lacc,-0.014,-0.006,-0.025,
1036644721198,GameRo,-0.001,0.021,-0.001,1.000
1036658375105,Gyro,-0.001,0.022,-0.008,
1036675350105,pre,998.174,,,
1036664419740,acc,-0.438,-0.019,9.765,
1036664419740,Lacc,-0.013,-0.000,-0.036,
1036664419740,GameRo,-0.001,0.022,-0.001,1.000
1036678073698,Gyro,-0.001,0.019,-0.019,
1036684118334,acc,-0.430,-0.026,9.770,
1036684118334,Lacc,-0.001,-0.007,-0.031,
1036684118334,GameRo,-0.001,0.022,-0.001,1.000
1036697772292,Gyro,-0.002,0.011,-0.015,
1036703816928,acc,-0.424,-0.026,9.771,
1036715341250,pre,998.129,,,
1036703816928,Lacc,0.006,-0.006,-0.029,
1036703816928,GameRo,-0.001,0.022,-0.001,1.000
1036717470886,Gyro,-0.001,0.010,-0.009,
1036723515521,acc,-0.441,-0.025,9.769,
1036723515521,Lacc,-0.008,-0.005,-0.032,
1036723515521,GameRo,-0.001,0.022,-0.001,1.000
1036737169428,Gyro,0.004,0.011,-0.012,
1036743214115,acc,-0.440,-0.028,9.772,
1036743214115,Lacc,-0.005,-0.008,-0.028,
1036743214115,GameRo,-0.001,0.022,-0.002,1.000
1036755350469,pre,998.136,,,
1036756868021,Gyro,0.002,0.011,-0.014,
1036762912657,acc,-0.442,-0.020,9.777,
1036762912657,Lacc,-0.005,-0.001,-0.023,
1036762912657,GameRo,-0.001,0.022,-0.002,1.000
1036776566615,Gyro,-0.002,0.020,-0.015,
1036782611250,acc,-0.447,-0.024,9.764,
1036782611250,Lacc,-0.006,-0.004,-0.036,
1036782611250,GameRo,-0.001,0.022,-0.002,1.000
1036795347396,pre,998.172,,,
1036796265209,Gyro,0.005,0.024,-0.017,
1036802309844,acc,-0.451,-0.029,9.769,
1036802309844,Lacc,-0.005,-0.010,-0.031,
1036802309844,GameRo,-0.001,0.023,-0.002,1.000
1036815963803,Gyro,0.006,0.018,-0.019,
1036822008438,acc,-0.452,-0.018,9.765,
1036822008438,Lacc,-0.004,-0.000,-0.035,
1036822008438,GameRo,-0.001,0.023,-0.002,1.000
1036835360625,pre,998.111,,,
1036835662396,Gyro,0.006,0.009,-0.019,
1036841707032,acc,-0.449,-0.022,9.775,
1036841707032,Lacc,0.001,-0.005,-0.025,
1036841707032,GameRo,-0.001,0.023,-0.002,1.000
1036855360990,Gyro,0.004,0.014,-0.012,
1036861405625,acc,-0.444,-0.022,9.776,
1036861405625,Lacc,0.009,-0.006,-0.024,
1036861405625,GameRo,-0.001,0.023,-0.003,1.000
1036875359844,pre,998.127,,,
1036875059532,Gyro,0.001,0.018,-0.005,
1036881104219,acc,-0.452,-0.018,9.778,
1036881104219,Lacc,0.005,-0.002,-0.021,
1036881104219,GameRo,-0.001,0.023,-0.003,1.000
1036894758125,Gyro,0.001,0.011,-0.002,
1036900802761,acc,-0.461,-0.023,9.769,
1036900802761,Lacc,-0.002,-0.007,-0.031,
1036900802761,GameRo,-0.001,0.023,-0.003,1.000
1036915353334,pre,998.129,,,
1036914456719,Gyro,0.000,-0.001,-0.003,
1036920501355,acc,-0.465,-0.020,9.777,
1036920501355,Lacc,-0.008,-0.005,-0.022,
1036920501355,GameRo,-0.001,0.023,-0.003,1.000
1036934155313,Gyro,-0.000,-0.007,-0.006,
1036940199948,acc,-0.465,-0.018,9.765,
1036940199948,Lacc,-0.009,-0.002,-0.034,
1036940199948,GameRo,-0.001,0.023,-0.003,1.000
1036955355105,pre,998.116,,,
1036953853907,Gyro,0.001,0.005,-0.007,
1036959898542,acc,-0.465,-0.018,9.765,
1036959898542,Lacc,-0.008,-0.002,-0.034,
1036959898542,GameRo,-0.001,0.023,-0.003,1.000
1036973552500,Gyro,0.003,0.005,-0.009,
1036979597136,acc,-0.464,-0.022,9.768,
1036979597136,Lacc,-0.006,-0.006,-0.032,
1036979597136,GameRo,-0.001,0.023,-0.003,1.000
1036995358750,pre,998.134,,,
1036993251042,Gyro,0.005,0.001,-0.007,
1036999295730,acc,-0.460,-0.017,9.773,
1036999295730,Lacc,-0.001,-0.002,-0.026,
1036999295730,GameRo,-0.001,0.023,-0.003,1.000
1037012949636,Gyro,0.001,0.005,-0.005,
1037018994323,acc,-0.463,-0.022,9.766,
1037018994323,Lacc,-0.003,-0.007,-0.033,
1037018994323,GameRo,-0.001,0.023,-0.003,1.000
1037035351042,pre,998.114,,,
1037032648230,Gyro,0.002,0.009,-0.007,
1037038692865,acc,-0.462,-0.017,9.771,
1037038692865,Lacc,-0.000,-0.003,-0.028,
1037038692865,GameRo,-0.001,0.024,-0.003,1.000
1037052346823,Gyro,0.001,0.005,-0.006,
1037058391459,acc,-0.453,-0.011,9.776,
1037058391459,Lacc,0.009,0.003,-0.023,
1037058391459,GameRo,-0.001,0.024,-0.003,1.000
1037075348959,pre,998.108,,,
1037072045417,Gyro,-0.002,-0.005,-0.002,
1037078090053,acc,-0.462,-0.016,9.772,
1037078090053,Lacc,-0.001,-0.001,-0.027,
1037078090053,GameRo,-0.001,0.024,-0.003,1.000
1037091744011,Gyro,-0.003,0.010,-0.001,
1037097788646,acc,-0.468,-0.020,9.756,
1037097788646,Lacc,-0.004,-0.005,-0.044,
1037097788646,GameRo,-0.001,0.024,-0.003,1.000
1037115350417,pre,998.136,,,
1037111442605,Gyro,-0.001,0.016,-0.003,
1037117487240,acc,-0.465,-0.019,9.766,
1037117487240,Lacc,0.001,-0.004,-0.033,
1037117487240,GameRo,-0.001,0.024,-0.003,1.000
1037131141198,Gyro,-0.001,0.003,-0.001,
1037137185834,acc,-0.464,-0.022,9.776,
1037137185834,Lacc,0.003,-0.006,-0.023,
1037137185834,GameRo,-0.001,0.024,-0.003,1.000
1037155350365,pre,998.109,,,
1037150839792,Gyro,-0.002,-0.001,0.001,
1037156884428,acc,-0.476,-0.019,9.751,
1037156884428,Lacc,-0.009,-0.004,-0.048,
1037156884428,GameRo,-0.001,0.024,-0.003,1.000
1037170538386,Gyro,0.006,0.015,-0.001,
1037176583021,acc,-0.473,-0.018,9.758,
1037176583021,Lacc,-0.002,-0.004,-0.041,
1037176583021,GameRo,-0.001,0.024,-0.003,1.000
1037195356146,pre,998.119,,,
1037190236928,Gyro,0.009,0.018,0.000,
1037196281615,acc,-0.466,-0.014,9.781,
1037196281615,Lacc,0.008,-0.002,-0.018,
1037196281615,GameRo,-0.001,0.024,-0.003,1.000
1037209935521,Gyro,-0.001,0.014,0.006,
1037215980209,acc,-0.459,-0.011,9.781,
1037215980209,Lacc,0.018,0.002,-0.018,
1037215980209,GameRo,-0.001,0.024,-0.003,1.000
1037235346094,pre,998.099,,,
1037229634115,Gyro,-0.017,0.024,0.019,
1037235678750,acc,-0.472,-0.022,9.769,
1037235678750,Lacc,0.010,-0.005,-0.030,
1037235678750,GameRo,-0.001,0.025,-0.003,1.000
1037249332709,Gyro,-0.010,0.027,0.017,
1037255377396,Lacc,-0.028,-0.010,-0.059,
1037255377396,GameRo,-0.001,0.025,-0.003,1.000
1037255377396,acc,-0.516,-0.028,9.739,
1037275345053,pre,998.104,,,
1037269031303,Gyro,0.003,0.030,0.007,
1037275075938,acc,-0.497,-0.029,9.760,
1037275075938,Lacc,-0.004,-0.012,-0.037,
1037275075938,GameRo,-0.001,0.025,-0.003,1.000
1037288729896,Gyro,0.007,0.004,0.007,
1037294774532,acc,-0.492,-0.022,9.772,
1037294774532,Lacc,-0.000,-0.006,-0.026,
1037294774532,GameRo,-0.001,0.025,-0.003,1.000
1037315337709,pre,998.111,,,
1037308428490,Gyro,-0.000,-0.015,0.008,
1037314473125,acc,-0.502,-0.020,9.775,
1037314473125,Lacc,-0.014,-0.004,-0.022,
1037314473125,GameRo,-0.001,0.025,-0.002,1.000
1037328127084,Gyro,-0.006,-0.007,-0.001,
1037334171719,Lacc,-0.030,-0.001,-0.042,
1037334171719,GameRo,-0.001,0.025,-0.003,1.000
1037334171719,acc,-0.518,-0.018,9.756,
1037355345053,pre,998.119,,,
1037347825678,Gyro,-0.004,0.002,-0.013,
1037353870313,acc,-0.492,-0.026,9.768,
1037353870313,Lacc,-0.002,-0.008,-0.030,
1037353870313,GameRo,-0.001,0.025,-0.003,1.000
1037367524271,Gyro,-0.008,0.023,-0.009,
1037373568907,acc,-0.482,-0.024,9.769,
1037373568907,Lacc,0.012,-0.004,-0.029,
1037373568907,GameRo,-0.001,0.025,-0.003,1.000
1037395343178,pre,998.119,,,
1037387222865,Gyro,-0.004,0.020,-0.002,
1037393267500,acc,-0.501,-0.024,9.757,
1037393267500,Lacc,-0.004,-0.004,-0.041,
1037393267500,GameRo,-0.001,0.025,-0.003,1.000
1037406921459,Gyro,-0.003,0.009,0.000,
1037412966094,acc,-0.495,-0.026,9.758,
1037412966094,Lacc,0.004,-0.006,-0.039,
1037412966094,GameRo,-0.001,0.025,-0.003,1.000
1037435348698,pre,998.111,,,
1037426620053,Gyro,-0.000,0.029,0.005,
1037432664688,acc,-0.504,-0.028,9.754,
1037432664688,Lacc,0.003,-0.007,-0.043,
1037432664688,GameRo,-0.001,0.026,-0.003,1.000
1037446318594,Gyro,0.003,0.088,0.007,
1037452363282,acc,-0.508,-0.026,9.736,
1037452363282,Lacc,0.019,-0.007,-0.060,
1037452363282,GameRo,-0.001,0.027,-0.003,1.000
1037475343021,pre,998.137,,,
1037466017188,Gyro,0.008,0.123,0.016,
1037472061875,acc,-0.542,-0.022,9.781,
1037472061875,Lacc,0.008,-0.004,-0.013,
1037472061875,GameRo,-0.001,0.028,-0.002,1.000
1037485715782,Gyro,-0.002,0.074,0.016,
1037491760417,acc,-0.561,-0.026,9.781,
1037491760417,Lacc,-0.000,-0.007,-0.013,
1037491760417,GameRo,-0.001,0.029,-0.002,1.000
1037515338021,pre,998.070,,,
1037505414375,Gyro,-0.011,0.017,0.015,
1037511459011,acc,-0.564,-0.022,9.768,
1037511459011,Lacc,-0.000,-0.001,-0.026,
1037511459011,GameRo,-0.001,0.029,-0.002,1.000
1037525112969,Gyro,-0.013,0.002,0.019,
1037531157605,acc,-0.552,-0.025,9.759,
1037531157605,Lacc,0.011,-0.002,-0.035,
1037531157605,GameRo,-0.001,0.029,-0.002,1.000
1037555345834,pre,998.080,,,
1037544811563,Gyro,-0.013,0.004,0.025,
1037550856198,acc,-0.569,-0.031,9.747,
1037550856198,Lacc,-0.005,-0.006,-0.047,
1037550856198,GameRo,-0.001,0.029,-0.002,1.000
1037564510157,Gyro,-0.004,0.011,0.023,
1037570554792,acc,-0.578,-0.035,9.748,
1037570554792,Lacc,-0.010,-0.009,-0.046,
1037570554792,GameRo,-0.001,0.029,-0.001,1.000
1037595350990,pre,998.108,,,
1037584208750,Gyro,-0.004,0.042,0.019,
1037590253386,Lacc,0.005,-0.005,-0.033,
1037590253386,acc,-0.573,-0.031,9.760,
1037590253386,GameRo,-0.001,0.029,-0.001,1.000
1037603907344,Gyro,-0.000,0.076,0.024,
1037609951980,acc,-0.578,-0.031,9.719,
1037609951980,Lacc,0.015,-0.006,-0.073,
1037609951980,GameRo,-0.001,0.030,-0.001,1.000
1037635351042,pre,998.125,,,
1037623605938,Gyro,0.020,0.108,0.030,
1037629650573,acc,-0.599,-0.024,9.762,
1037629650573,Lacc,0.016,-0.004,-0.029,
1037629650573,GameRo,-0.001,0.031,-0.001,1.000
1037643304532,Gyro,0.016,0.117,0.038,
1037649349167,acc,-0.619,-0.025,9.790,
1037649349167,Lacc,0.019,-0.008,0.001,
1037649349167,GameRo,-0.001,0.033,-0.000,0.999
1037663003073,Gyro,0.004,0.121,0.044,
1037675343855,pre,998.136,,,
1037669047761,acc,-0.684,-0.026,9.758,
1037669047761,Lacc,-0.021,-0.010,-0.030,
1037669047761,GameRo,-0.001,0.034,0.000,0.999
1037682701667,Gyro,0.003,0.167,0.027,
