Timestamp,Sensor,X,Y,Z,W
213510872307618,acc,-0.330,0.359,10.069,
213510887203859,Gyro,-0.070,-0.119,-0.022,
213510892194663,acc,-0.259,0.380,9.720,
213510892194663,Lacc,-0.035,0.062,-0.082,
213510892194663,GameRo,0.023,-0.004,-0.707,0.707
213510907091310,Gyro,-0.073,-0.049,-0.015,
213510912057008,acc,-0.277,0.325,9.819,
213510912057008,Lacc,-0.064,0.022,0.016,
213510912057008,GameRo,0.022,-0.004,-0.707,0.707
213510926953655,Gyro,-0.041,-0.117,-0.028,
213510931893841,acc,-0.350,0.239,10.172,
213510931893841,Lacc,-0.156,-0.056,0.369,
213510931893841,GameRo,0.021,-0.005,-0.707,0.706
213510929039796,pre,1005.178,,,
213510946815513,Gyro,-0.026,-0.223,-0.061,
213510951781088,acc,-0.302,0.234,10.020,
213510951781088,Lacc,-0.151,-0.056,0.215,
213510951781088,GameRo,0.020,-0.006,-0.708,0.706
213510954046510,pre,1005.187,,,
213510966677735,Gyro,-0.010,-0.243,-0.082,
213510971643353,acc,-0.209,0.258,9.786,
213510971643353,Lacc,-0.106,-0.029,-0.019,
213510971643353,GameRo,0.018,-0.008,-0.708,0.705
213510979058148,pre,1005.181,,,
213510986514731,Gyro,0.013,-0.242,-0.097,
213510991495118,acc,-0.159,0.284,9.848,
213510991495118,Lacc,-0.102,-0.005,0.042,
213510991495118,GameRo,0.016,-0.009,-0.709,0.705
213511004084963,pre,1005.168,,,
213511006401897,Gyro,0.031,-0.231,-0.102,
213511011367799,acc,-0.089,0.324,9.842,
213511011367799,Lacc,-0.077,0.029,0.037,
213511011367799,GameRo,0.015,-0.011,-0.710,0.704
213511026264243,Gyro,0.014,-0.211,-0.102,
213511031219809,acc,-0.033,0.343,9.915,
213511031219809,Lacc,-0.062,0.045,0.109,
213511031219809,GameRo,0.013,-0.013,-0.711,0.703
213511029071901,pre,1005.175,,,
213511046126345,Gyro,-0.014,-0.200,-0.091,
213511051091717,acc,0.058,0.390,9.933,
213511051091717,Lacc,-0.009,0.094,0.128,
213511051091717,GameRo,0.012,-0.014,-0.711,0.703
213511054097740,pre,1005.165,,,
213511065963340,Gyro,-0.030,-0.194,-0.057,
213511070953899,acc,0.132,0.447,9.858,
213511070953899,Lacc,0.027,0.157,0.052,
213511070953899,GameRo,0.010,-0.015,-0.712,0.702
213511079103435,pre,1005.135,,,
213511085850425,Gyro,-0.020,-0.166,-0.018,
213511090816164,acc,0.153,0.403,9.717,
213511090816164,Lacc,0.016,0.117,-0.088,
213511090816164,GameRo,0.009,-0.016,-0.712,0.702
213511104089926,pre,1005.141,,,
213511105728843,Gyro,0.001,-0.121,0.010,
213511110678184,acc,0.109,0.323,9.804,
213511110678184,Lacc,-0.053,0.038,-0.001,
213511110678184,GameRo,0.008,-0.017,-0.712,0.702
213511125574709,Gyro,-0.005,-0.114,0.018,
213511130515179,acc,0.162,0.363,10.004,
213511130515179,Lacc,-0.021,0.078,0.200,
213511130515179,GameRo,0.007,-0.018,-0.712,0.702
213511129070599,pre,1005.181,,,
213511145436728,Gyro,-0.008,-0.114,0.034,
213511150402468,acc,0.148,0.301,9.731,
213511150402468,Lacc,-0.059,0.017,-0.072,
213511150402468,GameRo,0.006,-0.019,-0.712,0.702
213511154122967,pre,1005.202,,,
213511165299033,Gyro,0.022,-0.083,0.031,
213511170264569,acc,0.138,0.282,9.744,
213511170264569,Lacc,-0.085,-0.005,-0.059,
213511170264569,GameRo,0.006,-0.019,-0.711,0.703
213511179130088,pre,1005.190,,,
213511185161134,Gyro,0.073,-0.061,0.012,
213511190127199,acc,0.092,0.224,9.698,
213511190127199,Lacc,-0.144,-0.076,-0.104,
213511190127199,GameRo,0.006,-0.020,-0.711,0.703
213511204988853,Gyro,0.091,-0.036,-0.026,
213511204112103,pre,1005.165,,,
