Timestamp,Sensor,X,Y,Z,W
597368612515668,acc,0.137,0.516,9.747,
597368635694313,acc,0.137,0.516,9.747,
597368655385095,acc,0.129,0.508,9.738,
597368675075876,acc,0.127,0.505,9.680,
597368704779730,pre,1005.165,,,
597368694766657,acc,0.153,0.496,9.727,
597368714457490,acc,0.172,0.495,9.727,
597368728105563,Gyro,-0.012,-0.106,-0.001,
597368744784365,pre,1005.158,,,
597368734148272,acc,0.192,0.498,9.728,
597368747796345,Gyro,-0.005,-0.081,-0.003,
597368753839053,acc,0.222,0.495,9.715,
597368753839053,Lacc,0.063,-0.014,-0.081,
597368767487126,Gyro,0.005,-0.045,-0.002,
597368773529834,acc,0.221,0.492,9.738,
597368773529834,Lacc,0.054,-0.017,-0.058,
597368784772386,pre,1005.141,,,
597368773529834,GameRo,0.012,-0.024,-0.707,0.707
597368787177907,Gyro,0.002,-0.026,-0.009,
597368793220615,Lacc,0.067,-0.013,-0.060,
597368793220615,GameRo,0.012,-0.025,-0.707,0.707
597368793220615,acc,0.239,0.497,9.735,
597368806868740,Gyro,-0.001,-0.021,-0.002,
597368824778324,pre,1005.124,,,
597368812911397,acc,0.248,0.491,9.746,
597368812911397,Lacc,0.073,-0.018,-0.049,
597368812911397,GameRo,0.012,-0.025,-0.707,0.707
597368826559522,Gyro,-0.014,-0.042,-0.005,
597368832602230,Lacc,0.066,-0.022,-0.056,
597368832602230,GameRo,0.011,-0.025,-0.707,0.707
597368832602230,acc,0.254,0.484,9.739,
597368846250303,Gyro,-0.018,-0.145,-0.002,
597368852293011,acc,0.298,0.482,9.718,
597368852293011,Lacc,0.080,-0.020,-0.077,
597368852293011,GameRo,0.010,-0.026,-0.707,0.707
597368864774834,pre,1005.124,,,
597368865941084,Gyro,-0.016,-0.165,0.008,
597368871983792,Lacc,0.047,-0.024,-0.054,
597368871983792,GameRo,0.009,-0.027,-0.707,0.707
597368871983793,acc,0.297,0.475,9.741,
597368885631865,Gyro,-0.024,-0.129,0.009,
597368891674574,acc,0.342,0.476,9.748,
597368891674574,Lacc,0.071,-0.018,-0.046,
597368891674574,GameRo,0.008,-0.028,-0.707,0.707
597368904778063,pre,1005.127,,,
597368905322699,Gyro,-0.030,-0.064,0.011,
597368911365355,Lacc,0.071,-0.017,-0.071,
597368911365355,GameRo,0.007,-0.028,-0.707,0.707
597368911365355,acc,0.353,0.471,9.723,
597368925013480,Gyro,-0.033,-0.039,0.009,
597368931056188,Lacc,0.074,-0.009,-0.078,
597368931056188,GameRo,0.007,-0.028,-0.707,0.707
597368931056188,acc,0.364,0.473,9.715,
597368944780720,pre,1005.089,,,
597368944704261,Gyro,-0.019,-0.107,0.012,
597368950746970,acc,0.354,0.463,9.660,
597368950746970,Lacc,0.035,-0.017,-0.133,
597368950746970,GameRo,0.006,-0.029,-0.707,0.707
597368964395043,Gyro,0.001,-0.248,0.016,
597368970437751,acc,0.409,0.456,9.739,
597368970437751,Lacc,0.042,-0.023,-0.053,
597368970437751,GameRo,0.004,-0.030,-0.706,0.707
597368984776813,pre,1005.087,,,
597368984085876,Gyro,-0.003,-0.221,0.014,
597368990128532,Lacc,0.040,-0.019,-0.076,
597368990128532,GameRo,0.002,-0.032,-0.706,0.707
597368990128532,acc,0.449,0.460,9.714,
597369003776657,Gyro,-0.001,-0.251,0.016,
597369009819365,acc,0.522,0.453,9.712,
597369009819365,Lacc,0.063,-0.026,-0.076,
597369009819365,GameRo,0.000,-0.034,-0.706,0.707
597369024798376,pre,1005.095,,,
597369023467438,Gyro,-0.008,-0.193,0.025,
597369029510147,Lacc,0.097,-0.024,-0.035,
597369029510147,acc,0.585,0.452,9.752,
597369029510147,GameRo,-0.001,-0.035,-0.706,0.707
597369043158220,Gyro,-0.004,-0.052,0.022,
597369049200928,acc,0.561,0.454,9.639,
597369049200928,Lacc,0.062,-0.022,-0.146,
597369049200928,GameRo,-0.001,-0.035,-0.706,0.707
597369064779938,pre,1005.110,,,
597369062849053,Gyro,0.014,-0.133,0.020,
597369068891709,acc,0.588,0.456,9.583,
597369068891709,Lacc,0.056,-0.023,-0.201,
597369068891709,GameRo,-0.002,-0.036,-0.706,0.707
597369082539834,Gyro,0.023,-0.337,0.020,
597369088582542,Lacc,0.018,-0.025,-0.198,
597369088582542,GameRo,-0.005,-0.039,-0.706,0.707
597369088582543,acc,0.626,0.459,9.581,
597369104773740,pre,1005.087,,,
597369102230615,Gyro,0.038,-0.494,0.026,
597369108273324,Lacc,0.018,-0.025,-0.090,
597369108273324,GameRo,-0.008,-0.043,-0.705,0.707
597369108273324,acc,0.723,0.467,9.683,
597369121921397,Gyro,0.035,-0.468,0.029,
597369127964105,Lacc,0.035,-0.023,-0.099,
597369127964105,GameRo,-0.011,-0.047,-0.705,0.707
597369127964105,acc,0.830,0.474,9.666,
597369144772074,pre,1005.148,,,
597369141612230,Gyro,0.009,-0.596,0.029,
597369147654886,acc,0.901,0.478,9.628,
597369147654886,Lacc,-0.023,-0.019,-0.126,
597369147654886,GameRo,-0.016,-0.051,-0.705,0.707
597369161303011,Gyro,-0.039,-0.798,0.040,
597369167345720,acc,1.076,0.473,9.727,
597369167345720,Lacc,-0.002,-0.012,-0.011,
597369167345720,GameRo,-0.022,-0.056,-0.704,0.707
597369184779678,pre,1005.112,,,
597369180993793,Gyro,-0.061,-0.842,0.043,
597369187036501,acc,1.235,0.461,9.443,
