Timestamp,Sensor,X,Y,Z,W
77096356947338,acc,-0.109,0.115,9.696,
77096377047673,acc,-0.128,0.225,9.805,
77096397148009,acc,-0.127,0.246,9.819,
77096387160930,Gyro,0.060,-0.001,-0.017,
77096417263580,acc,-0.119,0.225,9.798,
77096437379152,acc,-0.096,0.243,9.783,
77096407261265,Gyro,0.037,-0.004,-0.031,
77096427235419,Gyro,-0.000,-0.002,-0.060,
77096457479487,acc,-0.132,0.228,9.748,
77096477579822,acc,-0.096,0.205,9.735,
77096447311827,Gyro,-0.013,-0.007,-0.065,
77096467490489,Gyro,0.000,-0.003,-0.093,
77096494068497,pre,1006.016,,,
77096509734261,pre,1006.014,,,
77096497680155,acc,-0.047,0.187,9.763,
77096517780489,acc,-0.098,0.199,9.751,
77096487629988,Gyro,0.017,0.003,-0.102,
77096507730323,Gyro,0.013,-0.005,-0.073,
77096525704807,pre,1006.022,,,
77096517780489,Lacc,0.010,-0.022,-0.056,
77096517780489,GameRo,0.012,-0.004,-0.707,0.707
77096540852444,pre,1006.022,,,
77096556457252,pre,1006.021,,,
77096537896062,acc,-0.066,0.171,9.723,
77096558011636,acc,-0.097,0.188,9.692,
77096527838276,Gyro,0.013,-0.006,-0.069,
77096547953848,Gyro,0.032,-0.004,-0.051,
77096537896062,Lacc,0.043,-0.056,-0.084,
77096537896062,GameRo,0.012,-0.004,-0.708,0.706
77096558011636,Lacc,0.012,-0.039,-0.114,
77096558011636,GameRo,0.012,-0.004,-0.708,0.706
77096572062060,pre,1006.018,,,
77096587666868,pre,1006.022,,,
77096578111969,acc,-0.081,0.219,9.740,
77096598212302,acc,-0.057,0.241,9.766,
77096568061801,Gyro,0.059,0.001,-0.058,
77096588162136,Gyro,0.071,0.003,-0.052,
77096578111969,Lacc,0.025,-0.017,-0.067,
77096578111969,GameRo,0.012,-0.005,-0.709,0.705
77096598212302,Lacc,0.050,0.005,-0.041,
77096598212302,GameRo,0.012,-0.005,-0.709,0.705
77096603271676,pre,1006.025,,,
77096618998397,pre,1006.019,,,
77096634572726,pre,1006.018,,,
77096618358354,acc,-0.041,0.226,9.763,
77096638504406,acc,-0.086,0.249,9.763,
77096608285329,Gyro,0.063,0.000,-0.032,
77096628431379,Gyro,0.048,-0.007,0.005,
77096618358354,Lacc,0.068,-0.037,-0.043,
77096618358354,GameRo,0.013,-0.006,-0.710,0.704
77096638504406,Lacc,0.022,-0.014,-0.043,
77096638504406,GameRo,0.013,-0.006,-0.710,0.704
77096650177535,pre,1006.021,,,
77096665812821,pre,1006.010,,,
77096658619980,acc,-0.090,0.281,9.775,
77096678735553,acc,-0.084,0.260,9.771,
77096648562191,Gyro,0.045,-0.005,0.011,
77096668677764,Gyro,0.038,-0.004,0.015,
77096682423408,pre,1006.016,,,
77096658619980,Lacc,0.017,-0.003,-0.031,
77096658619980,GameRo,0.014,-0.006,-0.710,0.704
77096678735553,Lacc,0.023,-0.025,-0.035,
77096678735553,GameRo,0.014,-0.006,-0.710,0.704
77096705464883,pre,1006.015,,,
77096698835886,acc,-0.089,0.289,9.778,
77096718936220,acc,-0.096,0.303,9.763,
77096688785719,Gyro,0.027,-0.012,0.030,
77096708886054,Gyro,0.020,-0.018,0.030,
77096698835886,Lacc,0.017,-0.013,-0.027,
77096698835886,GameRo,0.015,-0.007,-0.710,0.704
77096718936220,Lacc,0.009,0.002,-0.042,
77096718936220,GameRo,0.015,-0.007,-0.710,0.704
77096722105948,pre,1006.023,,,
77096737741234,pre,1006.015,,,
77096753467955,pre,1006.019,,,
77096739036553,acc,-0.079,0.307,9.759,
77096759136886,acc,-0.022,0.268,9.728,
77096728986388,Gyro,0.023,-0.018,0.017,
77096749086721,Gyro,0.033,-0.020,0.019,
77096739036553,Lacc,0.019,-0.003,-0.045,
77096739036553,GameRo,0.015,-0.008,-0.709,0.705
77096759136886,Lacc,0.077,-0.041,-0.076,
77096759136886,GameRo,0.015,-0.008,-0.709,0.705
77096769042285,pre,1006.013,,,
77096784647093,pre,1006.015,,,
77096779252459,acc,-0.065,0.280,9.742,
77096799368033,acc,-0.085,0.317,9.750,
77096769194675,Gyro,0.056,-0.029,0.057,
77096789310248,Gyro,0.066,-0.032,0.068,
77096801257680,pre,1006.015,,,
77096779252459,Lacc,0.026,-0.041,-0.062,
77096779252459,GameRo,0.015,-0.008,-0.709,0.705
77096799368033,Lacc,0.006,-0.003,-0.055,
77096799368033,GameRo,0.015,-0.008,-0.709,0.705
77096815856709,pre,1006.013,,,
77096831461518,pre,1006.013,,,
77096819468368,acc,-0.066,0.361,9.783,
77096839568703,acc,-0.001,0.352,9.808,
77096809418202,Gyro,0.072,-0.028,0.049,
77096829518535,Gyro,0.066,-0.022,0.034,
77096819468368,Lacc,0.011,0.014,-0.021,
77096819468368,GameRo,0.015,-0.010,-0.708,0.706
77096839568703,Lacc,0.076,0.005,0.005,
77096839568703,GameRo,0.015,-0.010,-0.708,0.706
77096847066326,pre,1006.012,,,
77096862703229,pre,1006.004,,,
77096878306086,pre,1006.000,,,
77096859623320,acc,0.067,0.301,9.760,
77096879711703,acc,-0.005,0.327,9.709,
77096849596010,Gyro,0.050,-0.019,0.061,
77096869661234,Gyro,0.058,-0.025,0.136,
77096859623320,Lacc,0.134,-0.074,-0.042,
77096859623320,GameRo,0.016,-0.011,-0.708,0.706
77096879711703,Lacc,0.062,-0.048,-0.094,
77096879711703,GameRo,0.016,-0.011,-0.708,0.706
77096893859547,pre,1006.004,,,
77096909596351,pre,1005.998,,,
77096899925092,acc,-0.218,0.551,9.795,
