Timestamp,Sensor,X,Y,Z,W
151848238319546,acc,0.152,-0.467,9.727,
151848248253046,Gyro,-0.043,-0.002,0.030,
151848262871046,pre,1006.048,,,
151848258232296,acc,0.102,-0.545,9.683,
151848278190796,acc,0.097,-0.550,9.691,
151848268211546,Gyro,-0.018,-0.002,0.043,
151848288170046,Gyro,0.009,-0.004,0.057,
151848298118796,acc,0.085,-0.537,9.724,
151848318016296,acc,0.080,-0.537,9.730,
151848308067546,Gyro,0.022,-0.002,0.047,
151848327965046,Gyro,0.017,0.000,0.047,
151848339928046,pre,1006.050,,,
151848355308046,pre,1006.041,,,
151848337921296,acc,0.056,-0.473,9.788,
151848357833796,acc,0.096,-0.493,9.774,
151848347877546,Gyro,-0.003,0.003,0.037,
151848367790046,Gyro,-0.018,0.008,0.031,
151848370628046,pre,1006.049,,,
151848386162046,pre,1006.051,,,
151848401634046,pre,1006.043,,,
151848377738796,acc,0.024,-0.504,9.760,
151848397636296,acc,0.061,-0.533,9.734,
151848387687546,Gyro,-0.026,0.006,-0.010,
151848407585046,Gyro,-0.006,0.001,-0.009,
151848387687546,Lacc,-0.058,0.028,-0.049,
151848387687546,GameRo,-0.022,0.017,-0.707,0.707
151848407585046,Lacc,0.033,-0.012,-0.078,
151848407585046,GameRo,-0.022,0.017,-0.707,0.707
151848416954046,pre,1006.051,,,
151848432487046,pre,1006.044,,,
151848417518546,acc,0.132,-0.577,9.698,
151848437385546,acc,0.107,-0.544,9.739,
151848427452046,Gyro,0.021,-0.001,0.025,
151848447319046,Gyro,0.026,-0.003,0.048,
151848451286046,pre,1006.049,,,
151848427452046,Lacc,0.062,-0.003,-0.079,
151848427452046,GameRo,-0.023,0.017,-0.707,0.707
151848447319046,Lacc,0.047,0.027,-0.040,
151848447319046,GameRo,-0.023,0.017,-0.707,0.707
151848471062046,pre,1006.046,,,
151848486534046,pre,1006.052,,,
151848457267796,acc,0.125,-0.520,9.766,
151848477165296,acc,0.056,-0.492,9.780,
151848467216546,Gyro,0.018,0.001,0.055,
151848487114046,Gyro,0.005,0.000,0.022,
151848467216546,Lacc,0.007,0.045,-0.023,
151848467216546,GameRo,-0.022,0.017,-0.707,0.707
151848487114046,Lacc,-0.043,0.050,-0.036,
151848487114046,GameRo,-0.022,0.017,-0.707,0.707
151848501945046,pre,1006.055,,,
151848517387046,pre,1006.044,,,
151848497093296,acc,0.054,-0.508,9.757,
151848517051796,acc,0.101,-0.517,9.750,
151848507072546,Gyro,0.004,0.001,0.003,
151848527031046,Gyro,0.015,0.004,0.022,
151848507072546,Lacc,-0.013,0.032,-0.039,
151848507072546,GameRo,-0.022,0.017,-0.706,0.708
151848527031046,Lacc,0.057,0.017,-0.048,
151848527031046,GameRo,-0.022,0.017,-0.706,0.708
151848532707046,pre,1006.060,,,
151848548241046,pre,1006.060,,,
151848563683046,pre,1006.044,,,
151848536987296,acc,0.110,-0.517,9.746,
151848556899796,acc,0.083,-0.505,9.753,
151848546943546,Gyro,0.022,0.003,0.036,
151848566856046,Gyro,0.019,0.000,0.030,
151848546943546,Lacc,0.033,0.032,-0.032,
151848546943546,GameRo,-0.022,0.017,-0.706,0.708
151848566856046,Lacc,0.005,0.037,-0.035,
151848566856046,GameRo,-0.022,0.017,-0.706,0.708
151848579124046,pre,1006.060,,,
151848594536046,pre,1006.044,,,
151848576804796,acc,0.078,-0.504,9.763,
151848596702296,acc,0.087,-0.501,9.758,
151848586753546,Gyro,0.016,-0.001,0.030,
151848606651046,Gyro,0.013,-0.001,0.031,
151848586753546,Lacc,0.016,0.035,-0.019,
151848586753546,GameRo,-0.022,0.016,-0.705,0.708
151848606651046,Lacc,0.014,0.042,-0.033,
151848606651046,GameRo,-0.022,0.016,-0.705,0.708
151848609856046,pre,1006.060,,,
151848625298046,pre,1006.050,,,
151848640800046,pre,1006.063,,,
151848616607546,acc,0.068,-0.481,9.770,
151848636520546,acc,0.091,-0.495,9.764,
151848626564046,Gyro,0.009,-0.006,0.026,
151848646477046,Gyro,0.008,-0.008,0.031,
151848626564046,Lacc,-0.005,0.032,-0.035,
151848626564046,GameRo,-0.022,0.016,-0.705,0.709
151848646477046,Lacc,0.021,0.038,-0.025,
151848646477046,GameRo,-0.022,0.016,-0.705,0.709
151848656151046,pre,1006.055,,,
151848671684046,pre,1006.046,,,
151848656425796,acc,0.078,-0.492,9.762,
151848676323296,acc,0.077,-0.496,9.745,
151848666374546,Gyro,0.017,-0.005,0.024,
151848686272046,Gyro,0.028,-0.000,0.016,
151848688011046,pre,1006.053,,,
151848666374546,Lacc,0.002,0.024,-0.038,
151848666374546,GameRo,-0.021,0.016,-0.705,0.709
151848686272046,Lacc,0.002,0.018,-0.050,
151848686272046,GameRo,-0.021,0.016,-0.705,0.709
151848702537046,pre,1006.053,,,
151848717979046,pre,1006.047,,,
151848696243546,acc,0.071,-0.492,9.740,
151848716186546,acc,0.080,-0.473,9.778,
151848706215046,Gyro,0.033,0.002,0.004,
151848726158046,Gyro,0.022,0.003,0.010,
151848706215046,Lacc,-0.019,0.017,-0.041,
151848706215046,GameRo,-0.021,0.016,-0.704,0.709
151848726158046,Lacc,0.026,0.048,-0.008,
151848726158046,GameRo,-0.021,0.016,-0.704,0.709
151848733421046,pre,1006.043,,,
151848748863046,pre,1006.043,,,
151848764305046,pre,1006.053,,,
151848736114546,acc,0.121,-0.461,9.780,
151848756027546,acc,0.101,-0.454,9.799,
151848746071046,Gyro,0.008,0.002,0.032,
151848765984046,Gyro,-0.016,0.000,0.032,
151848746071046,Lacc,0.048,0.041,-0.008,
151848746071046,GameRo,-0.021,0.015,-0.704,0.710
151848765984046,Lacc,-0.001,0.049,0.005,
151848765984046,GameRo,-0.021,0.015,-0.704,0.710
151848779716046,pre,1006.049,,,
151848795158046,pre,1006.050,,,
151848775917296,acc,0.047,-0.462,9.798,
151848795783796,acc,0.092,-0.470,9.770,
151848785850546,Gyro,-0.032,-0.002,0.015,
151848805717046,Gyro,-0.029,0.001,0.022,
151848785850546,Lacc,-0.003,0.027,-0.019,
151848785850546,GameRo,-0.021,0.015,-0.704,0.710
151848805717046,Lacc,0.026,0.030,-0.030,
151848805717046,GameRo,-0.021,0.015,-0.704,0.710
151848810478046,pre,1006.045,,,
151848825890046,pre,1006.052,,,
151848841331046,pre,1006.061,,,
151848815673546,acc,0.109,-0.497,9.741,
151848835586546,acc,0.125,-0.534,9.714,
151848825630046,Gyro,0.002,-0.000,0.041,
151848845543046,Gyro,0.024,-0.000,0.057,
151848825630046,Lacc,0.051,-0.008,-0.088,
