Timestamp,Sensor,X,Y,Z,W
214142567151476,acc,0.466,0.253,10.245,
214142582037626,Gyro,-0.167,-0.104,-0.021,
214142587022285,acc,0.426,0.212,10.093,
214142601904690,Gyro,-0.174,-0.078,-0.061,
214142606890815,acc,0.524,0.150,9.700,
214142606890815,Lacc,-0.005,-0.002,-0.094,
214142606890815,GameRo,0.008,-0.027,-0.000,1.000
214142621764758,Gyro,-0.112,0.004,-0.015,
214142626751777,acc,0.755,0.221,9.833,
214142626751777,Lacc,0.228,0.092,0.038,
214142626751777,GameRo,0.007,-0.027,-0.001,1.000
214142626921740,pre,1005.285,,,
214142641648017,Gyro,-0.083,-0.000,-0.002,
214142646613472,acc,0.584,0.135,9.761,
214142646613472,Lacc,0.057,0.023,-0.035,
214142646613472,GameRo,0.006,-0.027,-0.001,1.000
214142651930041,pre,1005.273,,,
214142661487902,Gyro,-0.012,0.001,0.000,
214142666475247,acc,0.566,0.123,9.721,
214142666475247,Lacc,0.040,0.014,-0.074,
214142666475247,GameRo,0.006,-0.027,-0.001,1.000
214142676940905,pre,1005.251,,,
214142681371487,Gyro,0.046,0.012,0.001,
214142686336942,acc,0.584,0.143,9.750,
214142686336942,Lacc,0.059,0.026,-0.046,
214142686336942,GameRo,0.006,-0.027,-0.001,1.000
214142701233345,Gyro,0.085,0.054,0.000,
214142701950101,pre,1005.224,,,
214142706198758,acc,0.562,0.155,9.836,
214142706198758,Lacc,0.047,0.022,0.040,
214142706198758,GameRo,0.007,-0.026,-0.000,1.000
214142721095812,Gyro,0.089,0.067,0.004,
214142726060493,acc,0.576,0.180,9.973,
214142726060493,Lacc,0.074,0.029,0.177,
214142726060493,GameRo,0.008,-0.026,-0.000,1.000
214142726960598,pre,1005.190,,,
214142740956693,Gyro,0.052,0.017,0.020,
214142745922879,acc,0.597,0.215,10.061,
214142745922879,Lacc,0.099,0.053,0.265,
214142745922879,GameRo,0.008,-0.025,-0.000,1.000
214142751969794,pre,1005.157,,,
214142760822211,Gyro,-0.005,-0.030,0.050,
214142765783760,acc,0.625,0.221,10.028,
214142765783760,Lacc,0.121,0.060,0.232,
214142765783760,GameRo,0.008,-0.026,0.000,1.000
214142777003852,pre,1005.160,,,
214142780680407,Gyro,-0.052,-0.066,0.082,
214142785645617,acc,0.630,0.185,9.972,
214142785645617,Lacc,0.113,0.035,0.176,
214142785645617,GameRo,0.008,-0.026,0.001,1.000
214142800542467,Gyro,-0.088,-0.057,0.133,
214142802012845,pre,1005.187,,,
214142805507271,acc,0.645,0.208,9.552,
214142805507271,Lacc,0.115,0.075,-0.243,
214142805507271,GameRo,0.007,-0.027,0.002,1.000
214142820403877,Gyro,-0.184,0.093,0.282,
214142825369168,acc,0.354,0.222,9.116,
214142825369168,Lacc,-0.162,0.125,-0.680,
214142825369168,GameRo,0.005,-0.026,0.005,1.000
214142827022082,pre,1005.190,,,
214142840265205,Gyro,-0.305,0.246,0.492,
214142845231717,acc,0.326,0.022,9.749,
214142845231717,Lacc,-0.144,-0.011,-0.050,
214142845231717,GameRo,0.002,-0.024,0.010,1.000
214142852034004,pre,1005.151,,,
214142860127144,Gyro,-0.281,0.242,0.647,
214142865092475,acc,0.673,-1.274,10.711,
214142865092475,Lacc,0.254,-1.244,0.910,
214142865092475,GameRo,-0.001,-0.021,0.016,1.000
214142877034696,pre,1005.148,,,
214142879988878,Gyro,-0.235,0.081,0.620,
214142884954251,acc,1.154,-2.358,10.804,
214142884954251,Lacc,0.754,-2.278,1.002,
214142884954251,GameRo,-0.004,-0.020,0.022,1.000
214142899850369,Gyro,-0.236,-0.035,0.423,
214142902056016,pre,1005.193,,,
214142904815904,acc,1.352,-2.573,10.503,
214142904815904,Lacc,0.946,-2.443,0.702,
214142904815904,GameRo,-0.006,-0.021,0.027,0.999
214142919712592,Gyro,-0.197,-0.028,0.254,
214142924677803,acc,0.932,-2.116,10.506,
214142924677803,Lacc,0.520,-1.944,0.706,
214142924677803,GameRo,-0.008,-0.021,0.029,0.999
214142927064928,pre,1005.239,,,
214142939573961,Gyro,-0.086,0.026,0.235,
214142944515937,acc,0.413,-1.530,10.548,
214142944515937,Lacc,0.005,-1.337,0.748,
214142944515937,GameRo,-0.009,-0.021,0.031,0.999
214142952075589,pre,1005.239,,,
214142959435940,Gyro,0.016,0.093,0.385,
214142964401110,acc,0.189,-0.996,10.550,
214142964401110,Lacc,-0.200,-0.803,0.750,
214142964401110,GameRo,-0.009,-0.020,0.035,0.999
214142977085273,pre,1005.245,,,
214142979272529,Gyro,0.064,0.116,0.619,
214142984262926,acc,0.178,-0.701,10.591,
214142984262926,Lacc,-0.185,-0.515,0.789,
214142984262926,GameRo,-0.009,-0.019,0.041,0.999
214142999159003,Gyro,0.096,0.015,0.895,
214143004099352,acc,0.081,-0.804,10.425,
214143004099352,Lacc,-0.273,-0.631,0.623,
214143004099352,GameRo,-0.008,-0.018,0.049,0.999
214143002095853,pre,1005.309,,,
214143019027290,Gyro,0.035,-0.242,1.157,
214143023986233,acc,0.059,-1.154,9.935,
214143023986233,Lacc,-0.333,-0.982,0.135,
214143023986233,GameRo,-0.008,-0.020,0.061,0.998
214143027103258,pre,1005.380,,,
214143038882351,Gyro,-0.170,-0.569,1.319,
214143043847969,acc,0.265,-1.320,9.495,
214143043847969,Lacc,-0.228,-1.104,-0.300,
214143043847969,GameRo,-0.009,-0.026,0.074,0.997
214143052113309,pre,1005.386,,,
214143058744168,Gyro,-0.417,-0.836,1.433,
214143063709662,acc,0.491,-1.308,9.313,
214143063709662,Lacc,-0.156,-0.995,-0.471,
214143063709662,GameRo,-0.013,-0.034,0.088,0.995
214143077124743,pre,1005.331,,,
214143078586982,Gyro,-0.636,-1.026,1.527,
214143083549263,acc,0.806,-1.682,9.687,
214143083549263,Lacc,-0.026,-1.208,-0.076,
214143083549263,GameRo,-0.020,-0.045,0.103,0.993
214143098467679,Gyro,-0.753,-1.326,1.481,
214143103424628,acc,1.083,-2.106,10.244,
214143103424628,Lacc,0.016,-1.456,0.514,
214143103424628,GameRo,-0.027,-0.058,0.118,0.991
214143102134060,pre,1005.288,,,
214143118329413,Gyro,-0.772,-1.663,1.294,
214143123295031,acc,1.346,-1.654,10.086,
214143123295031,Lacc,-0.020,-0.824,0.407,
214143123295031,GameRo,-0.033,-0.075,0.131,0.988
214143127140408,pre,1005.288,,,
214143138191271,Gyro,-0.722,-1.758,1.105,
214143143156480,acc,1.546,-1.189,9.383,
214143143156480,Lacc,-0.140,-0.186,-0.229,
214143143156480,GameRo,-0.039,-0.093,0.142,0.985
214143152147203,pre,1005.282,,,
214143158052843,Gyro,-0.625,-1.555,0.954,
214143163005236,acc,1.958,-1.140,8.748,
214143163005236,Lacc,-0.010,0.019,-0.792,
214143163005236,GameRo,-0.043,-0.109,0.151,0.982
214143177889594,Gyro,-0.518,-1.072,0.761,
214143177153877,pre,1005.209,,,
214143182850613,acc,2.291,-1.117,8.326,
214143182850613,Lacc,0.131,0.173,-1.156,
214143182850613,GameRo,-0.048,-0.120,0.158,0.979
214143197776272,Gyro,-0.357,-0.425,0.567,
214143202716987,acc,1.919,-0.949,9.061,
214143202716987,Lacc,-0.313,0.435,-0.391,
214143202716987,GameRo,-0.051,-0.125,0.164,0.977
214143202139635,pre,1005.132,,,
214143217638577,Gyro,-0.277,-0.318,0.188,
214143222604031,acc,2.711,-1.721,9.499,
214143222604031,Lacc,0.427,-0.275,0.069,
214143222604031,GameRo,-0.054,-0.128,0.166,0.976
214143227172269,pre,1005.135,,,
214143237474351,Gyro,-0.226,-0.278,-0.216,
214143242465319,acc,2.809,-1.880,9.394,
214143242465319,Lacc,0.469,-0.400,-0.017,
214143242465319,GameRo,-0.055,-0.131,0.164,0.976
214143252182197,pre,1005.218,,,
214143257331001,Gyro,-0.128,-0.177,-0.537,
214143262350735,acc,3.354,-1.932,9.080,
214143262350735,Lacc,0.953,-0.448,-0.315,
214143262350735,GameRo,-0.056,-0.134,0.158,0.977
214143277191270,Gyro,0.054,-0.033,-0.673,
214143277208319,pre,1005.270,,,
214143282165148,acc,3.335,-1.879,9.515,
214143282165148,Lacc,0.908,-0.434,0.120,
214143282165148,GameRo,-0.054,-0.135,0.152,0.978
214143297084907,Gyro,0.272,-0.155,-0.608,
214143302027330,acc,2.941,-1.636,9.693,
214143302027330,Lacc,0.473,-0.271,0.297,
214143302027330,GameRo,-0.051,-0.136,0.146,0.979
214143302173285,pre,1005.255,,,
214143316921659,Gyro,0.279,-0.303,-0.369,
214143321912666,acc,2.840,-1.243,8.723,
214143321912666,Lacc,0.304,0.046,-0.666,
214143321912666,GameRo,-0.047,-0.139,0.143,0.979
214143327169420,pre,1005.239,,,
214143336808255,Gyro,0.032,-0.128,-0.035,
214143341773790,acc,3.314,-0.527,8.038,
214143341773790,Lacc,0.745,0.748,-1.343,
214143341773790,GameRo,-0.046,-0.140,0.143,0.979
214143352195991,pre,1005.270,,,
214143356669787,Gyro,-0.158,0.332,0.228,
214143361635973,acc,3.743,-0.180,8.834,
214143361635973,Lacc,1.191,1.103,-0.551,
214143361635973,GameRo,-0.046,-0.140,0.144,0.979
214143376531603,Gyro,-0.021,0.602,0.302,
214143377206570,pre,1005.291,,,
214143381497056,acc,3.295,-0.654,10.376,
214143381497056,Lacc,0.867,0.653,0.962,
214143381497056,GameRo,-0.048,-0.134,0.147,0.979
214143396393257,Gyro,0.196,0.465,0.292,
214143401358751,acc,2.814,-0.804,10.874,
214143401358751,Lacc,0.486,0.480,1.431,
214143401358751,GameRo,-0.047,-0.128,0.149,0.979
214143402214342,pre,1005.251,,,
214143416254991,Gyro,0.251,0.262,0.401,
214143421220689,acc,2.944,-0.307,10.602,
214143421220689,Lacc,0.677,0.946,1.140,
214143421220689,GameRo,-0.046,-0.125,0.153,0.979
214143427249173,pre,1005.184,,,
214143436117174,Gyro,0.200,0.079,0.612,
214143441082140,acc,3.118,-0.080,10.337,
214143441082140,Lacc,0.882,1.161,0.866,
214143441082140,GameRo,-0.044,-0.124,0.159,0.978
214143452256864,pre,1005.157,,,
214143455998603,Gyro,0.104,-0.155,0.713,
214143460943915,acc,3.342,-0.557,9.829,
214143460943915,Lacc,1.097,0.694,0.361,
214143460943915,GameRo,-0.044,-0.125,0.167,0.977
214143475840115,Gyro,0.023,-0.261,0.612,
214143477267890,pre,1005.166,,,
214143480805610,acc,3.585,-0.671,8.917,
214143480805610,Lacc,1.242,0.578,-0.527,
214143480805610,GameRo,-0.042,-0.130,0.172,0.975
214143495681301,Gyro,0.014,-0.127,0.476,
214143500667222,acc,3.507,-0.515,8.084,
214143500667222,Lacc,1.147,0.755,-1.352,
214143500667222,GameRo,-0.043,-0.131,0.177,0.974
214143502252550,pre,1005.178,,,
214143515557604,Gyro,0.095,0.269,0.498,
214143520529202,acc,3.358,-0.294,8.126,
214143520529202,Lacc,1.052,0.983,-1.323,
