Timestamp,Sensor,X,Y,Z,W
598311444797285,acc,-3.694,0.276,8.478,
598311467975983,acc,-3.327,0.313,8.663,
598311487666608,acc,-2.619,0.283,8.918,
598311491469265,Gyro,0.137,-0.365,0.015,
598311507357233,acc,-2.904,0.321,8.941,
598311511159890,Gyro,0.063,-0.535,-0.001,
598311531967754,pre,1005.281,,,
598311527047858,acc,-2.950,0.325,9.637,
598311530850515,Gyro,-0.002,-0.425,-0.058,
598311546738483,acc,-2.940,0.223,9.741,
598311550541140,Gyro,-0.025,-0.292,-0.080,
598311571987233,pre,1005.213,,,
598311566429056,acc,-2.861,0.300,9.276,
598311570231712,Gyro,-0.015,-0.301,-0.127,
598311586119681,acc,-2.981,0.330,9.358,
598311586119681,Lacc,0.118,-0.175,0.064,
598311586119681,GameRo,0.025,0.160,0.004,0.987
598311589922337,Gyro,0.041,-0.418,-0.141,
598311611964317,pre,1005.275,,,
598311605810306,Lacc,-0.193,-0.258,0.508,
598311605810306,acc,-3.203,0.267,9.830,
598311605810306,GameRo,0.027,0.155,0.003,0.987
598311609612962,Gyro,0.191,-0.498,-0.129,
598311625500931,acc,-3.032,0.209,9.831,
598311625500931,Lacc,-0.105,-0.351,0.485,
598311625500931,GameRo,0.029,0.151,0.000,0.988
598311629303535,Gyro,0.230,-0.442,-0.178,
598311651964942,pre,1005.215,,,
598311645191504,Lacc,-0.327,-0.857,0.029,
598311645191504,GameRo,0.030,0.147,-0.002,0.989
598311645191504,acc,-3.187,-0.285,9.395,
598311648994160,Gyro,0.084,-0.364,-0.186,
598311664882129,acc,-3.439,-0.332,9.504,
598311664882129,Lacc,-0.645,-0.898,0.118,
598311664882129,GameRo,0.030,0.144,-0.003,0.989
598311668684785,Gyro,-0.000,-0.378,-0.079,
598311691950306,pre,1005.201,,,
598311684572754,acc,-3.227,0.019,9.965,
598311684572754,Lacc,-0.516,-0.557,0.554,
598311684572754,GameRo,0.030,0.140,-0.003,0.990
598311688375410,Gyro,0.092,-0.465,-0.020,
598311704263327,acc,-2.725,0.322,10.312,
598311704263327,Lacc,-0.096,-0.283,0.881,
598311704263327,GameRo,0.032,0.135,-0.004,0.990
598311708065983,Gyro,0.192,-0.410,-0.088,
598311731954160,pre,1005.190,,,
598311723953952,acc,-2.492,0.239,10.287,
598311723953952,Lacc,0.090,-0.401,0.845,
598311723953952,GameRo,0.034,0.133,-0.006,0.991
598311727756608,Gyro,0.243,-0.219,-0.182,
598311743644577,acc,-2.513,-0.028,9.819,
598311743644577,Lacc,0.049,-0.706,0.374,
598311743644577,GameRo,0.036,0.132,-0.009,0.991
598311747447233,Gyro,0.270,-0.111,-0.232,
598311771969577,pre,1005.209,,,
598311763335150,acc,-2.697,-0.058,9.615,
598311763335150,Lacc,-0.159,-0.776,0.167,
598311763335150,GameRo,0.038,0.130,-0.012,0.991
598311767137806,Gyro,0.283,-0.166,-0.226,
598311783025775,acc,-2.571,0.013,9.922,
598311783025775,Lacc,-0.065,-0.753,0.469,
598311783025775,GameRo,0.041,0.128,-0.014,0.991
598311786828431,Gyro,0.335,-0.188,-0.244,
598311811965098,pre,1005.206,,,
598311802716400,acc,-2.376,0.081,10.081,
598311802716400,Lacc,0.112,-0.739,0.627,
598311802716400,GameRo,0.044,0.127,-0.018,0.991
598311806519056,Gyro,0.372,-0.086,-0.315,
598311822406973,acc,-2.386,-0.004,9.841,
598311822406973,Lacc,0.109,-0.872,0.394,
