Timestamp,Sensor,X,Y,Z,W
77735258501660,acc,0.353,0.089,9.923,
77735268585880,acc,0.304,0.145,9.932,
77735288754320,acc,0.313,0.011,9.790,
77735268550433,Gyro,-0.047,0.039,0.157,
77735288718873,Gyro,-0.101,0.039,0.144,
77735326152725,pre,1006.124,,,
77735341829104,pre,1006.120,,,
77735308915122,acc,0.305,-0.107,9.606,
77735329068286,acc,0.291,-0.140,9.575,
77735308883494,Gyro,-0.049,0.059,0.112,
77735329036657,Gyro,0.068,0.085,0.078,
77735357444367,pre,1006.132,,,
77735373456887,pre,1006.124,,,
77735349229088,acc,0.272,-0.038,9.718,
77735369397530,acc,0.284,0.017,9.795,
77735349193640,Gyro,0.134,0.096,0.049,
77735369362080,Gyro,0.094,0.091,0.043,
77735388736010,pre,1006.128,,,
77735404381831,pre,1006.123,,,
77735420363792,pre,1006.116,,,
77735389558332,acc,0.275,-0.032,9.714,
77735409711494,acc,0.259,0.013,9.727,
77735389526701,Gyro,0.089,0.081,0.060,
77735409679864,Gyro,0.115,0.081,0.070,
77735435642915,pre,1006.120,,,
77735389558332,Lacc,-0.025,0.060,-0.092,
77735389558332,GameRo,-0.005,-0.015,0.000,1.000
77735409711494,Lacc,-0.043,0.105,-0.078,
77735409711494,GameRo,-0.005,-0.015,0.000,1.000
77735451441527,pre,1006.117,,,
77735429887574,acc,0.241,0.096,9.837,
77735450086572,acc,0.284,0.043,9.771,
77735429844486,Gyro,0.076,0.085,0.071,
77735450043483,Gyro,0.015,0.075,0.088,
77735468554145,pre,1006.121,,,
77735429887574,Lacc,-0.029,0.146,0.031,
77735429887574,GameRo,-0.003,-0.014,0.001,1.000
77735450086572,Lacc,0.014,0.093,-0.035,
77735450086572,GameRo,-0.003,-0.014,0.001,1.000
77735482641496,pre,1006.130,,,
77735498256758,pre,1006.118,,,
77735470270292,acc,0.278,0.029,9.753,
77735490438734,acc,0.165,0.132,9.857,
77735470234841,Gyro,0.017,0.074,0.148,
77735490403285,Gyro,-0.014,0.083,0.145,
77735470270292,Lacc,0.039,0.068,-0.054,
77735470270292,GameRo,-0.002,-0.012,0.003,1.000
77735490438734,Lacc,-0.073,0.171,0.050,
77735490438734,GameRo,-0.002,-0.012,0.003,1.000
77735513902580,pre,1006.123,,,
77735529578960,pre,1006.120,,,
77735545255339,pre,1006.125,,,
77735510576618,acc,0.127,0.000,9.660,
77735530683942,acc,0.086,-0.042,9.601,
77735510556449,Gyro,-0.008,0.093,0.109,
77735530663771,Gyro,0.097,0.101,0.066,
77735510576618,Lacc,-0.078,0.042,-0.148,
77735510576618,GameRo,-0.002,-0.011,0.006,1.000
77735530683942,Lacc,-0.119,-0.000,-0.207,
77735530683942,GameRo,-0.002,-0.011,0.006,1.000
77735560840043,pre,1006.124,,,
77735576455306,pre,1006.115,,,
77735550844744,acc,0.037,0.053,9.660,
77735571059023,acc,0.034,0.149,9.764,
77735550797833,Gyro,0.153,0.081,0.021,
77735571012114,Gyro,0.173,0.070,-0.045,
77735592192802,pre,1006.121,,,
77735550844744,Lacc,-0.129,0.068,-0.149,
77735550844744,GameRo,-0.001,-0.009,0.008,1.000
77735571059023,Lacc,-0.134,0.164,-0.045,
77735571059023,GameRo,-0.001,-0.009,0.008,1.000
77735607777507,pre,1006.113,,,
77735623423329,pre,1006.099,,,
77735591242744,acc,-0.006,0.038,9.621,
77735611395908,acc,-0.171,-0.135,9.279,
77735591211116,Gyro,0.178,0.070,-0.118,
77735611364280,Gyro,0.407,0.055,-0.255,
77735591242744,Lacc,-0.145,-0.013,-0.188,
77735591242744,GameRo,0.003,-0.007,0.007,1.000
77735611395908,Lacc,-0.311,-0.187,-0.529,
77735611395908,GameRo,0.003,-0.007,0.007,1.000
77735639069150,pre,1006.110,,,
77735654776087,pre,1006.110,,,
77735631549070,acc,-0.944,1.631,9.084,
77735651702232,acc,-2.379,-2.694,8.657,
77735631517442,Gyro,-1.281,0.281,0.123,
77735651670602,Gyro,-1.786,-0.205,0.762,
77735631549070,Lacc,-1.059,1.446,-0.724,
77735631549070,GameRo,0.009,-0.006,0.003,1.000
77735651702232,Lacc,-2.494,-2.878,-1.150,
77735670880283,pre,1006.109,,,
77735651702232,GameRo,0.009,-0.006,0.003,1.000
77735686067730,pre,1006.111,,,
77735701713551,pre,1006.100,,,
77735671863033,acc,-1.501,-8.188,9.432,
77735692031475,acc,-0.841,-5.439,8.935,
77735671827582,Gyro,-0.434,-0.282,0.512,
77735691996026,Gyro,0.971,-0.111,0.693,
77735671863033,Lacc,-1.625,-7.581,-0.358,
77735671863033,GameRo,-0.031,-0.007,0.016,0.999
77735692031475,Lacc,-0.965,-4.833,-0.855,
77735692031475,GameRo,-0.031,-0.007,0.016,0.999
77735717267697,pre,1006.109,,,
77735732974636,pre,1006.089,,,
77735712192277,acc,-1.576,-2.224,8.086,
77735732345439,acc,-1.564,-1.647,7.454,
77735712160649,Gyro,0.162,-0.171,0.721,
77735732313809,Gyro,-0.853,-0.341,0.918,
77735749751112,pre,1006.081,,,
77735712192277,Lacc,-1.754,-1.906,-1.718,
77735712192277,GameRo,-0.016,-0.010,0.030,0.999
77735732345439,Lacc,-1.742,-1.328,-2.350,
77735732345439,GameRo,-0.016,-0.010,0.030,0.999
77735773922683,pre,1006.085,,,
77735752506240,acc,-1.186,-1.902,7.528,
77735772674682,acc,-1.213,-2.162,7.630,
77735752470789,Gyro,-1.348,-0.425,0.937,
77735772639233,Gyro,-1.386,-0.471,0.999,
77735752506240,Lacc,-1.466,-1.325,-2.261,
77735752506240,GameRo,-0.029,-0.016,0.047,0.998
77735792716004,pre,1006.082,,,
77735772674682,Lacc,-1.493,-1.585,-2.160,
77735772674682,GameRo,-0.029,-0.016,0.047,0.998
