Timestamp,Sensor,X,Y,Z,W
152716214808494,acc,-0.320,0.068,9.647,
152716234659994,acc,-0.411,0.164,9.751,
152716234659994,Gyro,-0.036,-0.017,0.028,
152716236307994,pre,1006.138,,,
152716254572994,acc,-0.414,0.226,9.830,
152716274485994,acc,-0.459,0.256,9.878,
152716244616494,Gyro,-0.040,-0.035,0.028,
152716264529494,Gyro,-0.079,-0.020,0.005,
152716294444494,acc,-0.405,0.187,9.817,
152716314402994,acc,-0.377,0.091,9.724,
152716284465244,Gyro,-0.138,0.014,-0.041,
152716304423744,Gyro,-0.153,0.040,-0.053,
152716334300494,acc,-0.400,-0.028,9.620,
152716354197994,acc,-0.471,0.006,9.669,
152716324351744,Gyro,-0.114,0.036,-0.030,
152716344249244,Gyro,-0.032,0.012,-0.006,
152716359171994,pre,1006.138,,,
152716374613994,pre,1006.144,,,
152716390055994,pre,1006.154,,,
152716374110494,acc,-0.492,0.038,9.714,
152716394022994,acc,-0.434,0.122,9.798,
152716364154244,Gyro,0.026,0.015,-0.035,
152716384066744,Gyro,0.058,0.033,-0.084,
152716364154244,Lacc,-0.066,-0.141,-0.102,
152716364154244,GameRo,0.008,0.022,0.000,1.000
152716384066744,Lacc,-0.034,-0.106,-0.056,
152716384066744,GameRo,0.008,0.022,0.000,1.000
152716405710994,pre,1006.136,,,
152716413248994,pre,1006.144,,,
152716428690994,pre,1006.144,,,
152716413920494,acc,-0.422,0.096,9.738,
152716433817994,acc,-0.424,0.024,9.723,
152716403971744,Gyro,0.058,0.063,-0.104,
152716423869244,Gyro,0.086,0.060,-0.086,
152716403971744,Lacc,0.026,-0.048,-0.010,
152716403971744,GameRo,0.010,0.023,-0.002,1.000
152716423869244,Lacc,0.020,-0.138,-0.104,
152716423869244,GameRo,0.010,0.023,-0.002,1.000
152716444193994,pre,1006.148,,,
152716467295994,pre,1006.151,,,
152716453730994,acc,-0.444,0.089,9.740,
152716473643994,acc,-0.526,0.243,9.863,
152716443774494,Gyro,0.114,0.046,-0.055,
152716463687494,Gyro,0.117,0.068,-0.055,
152716443774494,Lacc,0.037,-0.169,-0.078,
152716443774494,GameRo,0.011,0.024,-0.003,1.000
152716463687494,Lacc,-0.006,-0.052,-0.011,
152716463687494,GameRo,0.011,0.024,-0.003,1.000
152716482737994,pre,1006.140,,,
152716498179994,pre,1006.136,,,
152716493541494,acc,-0.514,0.247,9.826,
152716513438994,acc,-0.502,0.149,9.733,
152716483592744,Gyro,0.075,0.061,-0.078,
152716503490244,Gyro,0.044,0.034,-0.081,
152716514902994,pre,1006.137,,,
152716483592744,Lacc,-0.054,0.029,0.082,
152716483592744,GameRo,0.013,0.025,-0.004,1.000
152716503490244,Lacc,0.004,-0.090,-0.006,
152716503490244,GameRo,0.013,0.025,-0.004,1.000
152716529063994,pre,1006.151,,,
152716544504994,pre,1006.144,,,
152716533351494,acc,-0.456,0.108,9.683,
152716553263994,acc,-0.505,0.246,9.789,
152716523395244,Gyro,0.066,0.042,-0.086,
152716543307744,Gyro,0.105,0.050,-0.062,
152716523395244,Lacc,0.018,-0.167,-0.117,
152716523395244,GameRo,0.014,0.026,-0.006,1.000
152716543307744,Lacc,0.041,-0.109,-0.047,
152716543307744,GameRo,0.014,0.026,-0.006,1.000
152716559885994,pre,1006.135,,,
152716575388994,pre,1006.144,,,
152716590830994,pre,1006.145,,,
152716573161494,acc,-0.556,0.351,9.899,
152716593058994,acc,-0.537,0.376,9.940,
152716563212744,Gyro,0.095,0.043,-0.055,
152716583110244,Gyro,0.033,0.010,-0.056,
152716563212744,Lacc,-0.022,-0.007,0.057,
152716563212744,GameRo,0.016,0.027,-0.007,0.999
152716583110244,Lacc,-0.018,0.056,0.129,
152716583110244,GameRo,0.016,0.027,-0.007,0.999
152716606272994,pre,1006.144,,,
152716621714994,pre,1006.146,,,
152716612971494,acc,-0.495,0.297,9.912,
152716632883994,acc,-0.431,0.196,9.792,
152716603015244,Gyro,-0.059,0.003,-0.056,
152716622927744,Gyro,-0.136,0.006,-0.030,
152716603015244,Lacc,0.007,0.038,0.169,
152716603015244,GameRo,0.017,0.027,-0.009,0.999
152716622927744,Lacc,0.094,-0.107,0.044,
152716622927744,GameRo,0.017,0.027,-0.009,0.999
152716637064994,pre,1006.141,,,
152716652476994,pre,1006.140,,,
152716668009994,pre,1006.150,,,
152716652781494,acc,-0.443,0.125,9.750,
152716672678994,acc,-0.430,0.038,9.714,
152716642832744,Gyro,-0.145,-0.005,0.041,
152716662730244,Gyro,-0.134,-0.024,0.107,
152716642832744,Lacc,0.109,-0.088,0.013,
152716642832744,GameRo,0.014,0.027,-0.009,0.999
152716662730244,Lacc,0.081,-0.190,-0.063,
152716662730244,GameRo,0.014,0.027,-0.009,0.999
152716683329994,pre,1006.139,,,
152716698862994,pre,1006.142,,,
152716692591994,acc,-0.601,-0.001,9.565,
152716712504994,acc,0.201,0.593,9.557,
152716682635494,Gyro,-0.113,-0.053,0.177,
152716702548494,Gyro,-0.079,-0.165,0.173,
152716682635494,Lacc,0.052,-0.248,-0.151,
152716682635494,GameRo,0.012,0.027,-0.007,1.000
152716714213994,pre,1006.145,,,
152716702548494,Lacc,-0.085,-0.140,-0.287,
152716702548494,GameRo,0.012,0.027,-0.007,1.000
152716729746994,pre,1006.146,,,
152716745188994,pre,1006.145,,,
152716732417494,acc,0.019,0.065,9.769,
152716752329994,acc,-0.319,0.155,10.032,
152716722461244,Gyro,-0.388,0.064,-0.149,
