Timestamp,Sensor,X,Y,Z,W
441024819888764,acc,0.314,0.294,9.668,
441024839757782,acc,0.313,0.291,9.696,
441024839757782,Gyro,0.019,0.000,0.003,
441024839757782,Lacc,-0.014,-0.057,-0.102,
441024859652843,acc,0.299,0.294,9.739,
441024859652843,Gyro,0.037,0.001,0.003,
441024859652843,Lacc,-0.027,-0.061,-0.059,
441024859652843,GameRo,0.015,-0.015,-0.000,1.000
441024879522473,acc,0.300,0.301,9.826,
441024879522473,Gyro,0.029,0.000,0.003,
441024879522473,Lacc,-0.027,-0.060,0.028,
441024879522473,GameRo,0.015,-0.015,-0.000,1.000
441024889305025,pre,1002.835,,,
441024899392102,acc,0.295,0.300,9.828,
441024899392102,Gyro,0.008,0.000,0.002,
441024899392102,Lacc,-0.032,-0.064,0.030,
441024899392102,GameRo,0.016,-0.015,-0.000,1.000
441024914355562,pre,1002.829,,,
441024919261527,acc,0.294,0.298,9.830,
441024919261527,Gyro,-0.013,0.000,-0.001,
441024919261527,Lacc,-0.033,-0.065,0.032,
441024919261527,GameRo,0.016,-0.015,-0.000,1.000
441024939131400,acc,0.300,0.299,9.784,
441024939131400,Gyro,-0.024,0.001,-0.002,
441024939131400,Lacc,-0.026,-0.059,-0.014,
441024939131400,GameRo,0.015,-0.015,-0.000,1.000
441024939362602,pre,1002.820,,,
441024959000908,acc,0.302,0.294,9.742,
441024959000908,Gyro,-0.015,0.000,-0.001,
441024959000908,Lacc,-0.024,-0.060,-0.056,
441024959000908,GameRo,0.015,-0.015,-0.000,1.000
441024964381523,pre,1002.835,,,
441024978870455,acc,0.304,0.299,9.712,
441024978870455,Gyro,0.009,0.001,0.001,
441024978870455,Lacc,-0.022,-0.056,-0.086,
441024978870455,GameRo,0.015,-0.015,-0.000,1.000
441024989443697,pre,1002.853,,,
441024998740003,acc,0.303,0.297,9.734,
441024998740003,Gyro,0.034,0.001,0.003,
441024998740003,Lacc,-0.023,-0.063,-0.064,
441024998740003,GameRo,0.015,-0.015,-0.000,1.000
441025014486341,pre,1002.814,,,
441025018600151,acc,0.300,0.307,9.794,
441025018600151,Gyro,0.040,0.000,0.003,
441025018600151,Lacc,-0.026,-0.061,-0.003,
441025018600151,GameRo,0.016,-0.015,-0.000,1.000
441025038479179,acc,0.291,0.312,9.816,
441025038479179,Gyro,0.029,-0.000,0.002,
441025038479179,Lacc,-0.034,-0.063,0.018,
441025038479179,GameRo,0.016,-0.015,-0.000,1.000
441025039523450,pre,1002.750,,,
441025058348931,acc,0.300,0.313,9.800,
441025058348931,Gyro,0.022,0.001,0.002,
441025058348931,Lacc,-0.026,-0.066,0.003,
441025058348931,GameRo,0.016,-0.015,-0.000,1.000
441025064590223,pre,1002.753,,,
441025078216078,acc,0.305,0.316,9.804,
441025078216078,Gyro,0.014,0.001,0.001,
441025078216078,Lacc,-0.021,-0.066,0.006,
441025078216078,GameRo,0.016,-0.015,-0.000,1.000
441025089640273,pre,1002.805,,,
441025098088108,acc,0.301,0.322,9.788,
441025098088108,Gyro,0.011,0.000,0.002,
441025098088108,Lacc,-0.024,-0.062,-0.009,
441025098088108,GameRo,0.017,-0.015,-0.000,1.000
441025114670058,pre,1002.817,,,
441025117957696,acc,0.301,0.319,9.753,
441025117957696,Gyro,0.018,-0.001,0.002,
441025117957696,Lacc,-0.024,-0.067,-0.044,
441025117957696,GameRo,0.017,-0.015,-0.000,1.000
441025137827244,acc,0.304,0.327,9.737,
441025137827244,Gyro,0.036,-0.001,0.003,
441025137827244,Lacc,-0.022,-0.066,-0.060,
441025137827244,GameRo,0.017,-0.015,0.000,1.000
441025139709894,pre,1002.783,,,
441025157674209,acc,0.299,0.337,9.770,
441025157674209,Gyro,0.049,0.000,0.004,
441025157674209,Lacc,-0.027,-0.065,-0.026,
441025157674209,GameRo,0.017,-0.015,0.000,1.000
441025164747939,pre,1002.771,,,
441025177569675,acc,0.302,0.348,9.814,
441025177569675,Gyro,0.043,-0.000,0.004,
441025177569675,Lacc,-0.024,-0.063,0.018,
441025177569675,GameRo,0.018,-0.015,0.000,1.000
441025189759170,pre,1002.811,,,
441025197428644,acc,0.300,0.357,9.828,
441025197428644,Gyro,0.028,-0.001,0.003,
441025197428644,Lacc,-0.026,-0.060,0.032,
441025197428644,GameRo,0.018,-0.015,0.000,1.000
441025214826960,pre,1002.838,,,
441025217280655,acc,0.290,0.362,9.853,
441025217280655,Gyro,0.003,-0.001,0.000,
441025217280655,Lacc,-0.036,-0.058,0.057,
441025217280655,GameRo,0.018,-0.015,0.000,1.000
441025237175267,acc,0.301,0.360,9.858,
441025237175267,Gyro,-0.025,-0.009,-0.000,
441025237175267,Lacc,-0.026,-0.057,0.062,
441025237175267,GameRo,0.018,-0.015,0.000,1.000
441025239867284,pre,1002.811,,,
441025257022964,acc,0.319,0.362,9.924,
441025257022964,Gyro,-0.039,-0.101,0.006,
441025257022964,Lacc,-0.019,-0.047,0.128,
441025257022964,GameRo,0.018,-0.016,0.000,1.000
441025264879206,pre,1002.771,,,
441025276889664,acc,0.336,0.342,9.766,
441025276889664,Gyro,-0.044,-0.140,0.010,
441025276889664,Lacc,-0.031,-0.059,-0.029,
441025276889664,GameRo,0.017,-0.017,0.000,1.000
441025289922419,pre,1002.756,,,
441025296759048,acc,0.351,0.324,9.769,
441025296759048,Gyro,-0.045,-0.113,0.006,
441025296759048,Lacc,-0.040,-0.068,-0.026,
441025296759048,GameRo,0.017,-0.019,0.000,1.000
441025314980362,pre,1002.747,,,
441025316653987,acc,0.365,0.312,9.729,
441025316653987,Gyro,-0.061,-0.061,-0.002,
441025316653987,Lacc,-0.043,-0.069,-0.065,
441025316653987,GameRo,0.016,-0.020,0.000,1.000
441025336523250,acc,0.381,0.313,9.814,
441025336523250,Gyro,-0.079,-0.005,-0.008,
441025336523250,Lacc,-0.029,-0.054,0.019,
441025336523250,GameRo,0.016,-0.020,0.000,1.000
441025340021378,pre,1002.743,,,
441025356379940,acc,0.380,0.296,9.797,
441025356379940,Gyro,-0.091,0.000,-0.009,
441025356379940,Lacc,-0.030,-0.054,0.002,
441025356379940,GameRo,0.015,-0.020,0.000,1.000
441025365025326,pre,1002.747,,,
441025376262996,acc,0.385,0.278,9.776,
441025376262996,Gyro,-0.095,0.001,-0.008,
441025376262996,Lacc,-0.025,-0.053,-0.020,
441025376262996,GameRo,0.014,-0.020,-0.000,1.000
441025390076432,pre,1002.753,,,
441025396096818,acc,0.386,0.260,9.766,
441025396096818,Gyro,-0.087,-0.001,-0.006,
441025396096818,Lacc,-0.023,-0.054,-0.031,
441025396096818,GameRo,0.013,-0.020,-0.000,1.000
441025416001644,acc,0.387,0.237,9.732,
441025416001644,Gyro,-0.074,-0.001,-0.005,
441025416001644,Lacc,-0.022,-0.061,-0.065,
441025416001644,GameRo,0.012,-0.020,-0.000,1.000
441025415137590,pre,1002.783,,,
441025435871720,acc,0.386,0.231,9.727,
441025435871720,Gyro,-0.051,-0.001,-0.004,
441025435871720,Lacc,-0.023,-0.056,-0.070,
