Timestamp,Sensor,X,Y,Z,W
441500375235253,acc,0.264,0.043,9.547,
441500398424524,acc,0.264,0.043,9.547,
441500418125618,acc,0.238,0.015,9.827,
441500431781399,Gyro,-0.047,0.061,0.002,
441500437826660,acc,0.175,0.019,9.779,
441500451482441,Gyro,-0.040,0.069,-0.002,
441500457527701,acc,0.160,0.005,9.750,
441500478030305,pre,1002.999,,,
441500471183483,Gyro,-0.033,0.063,-0.002,
441500477228743,acc,0.170,0.012,9.661,
441500490884524,Gyro,-0.005,0.005,-0.005,
441500496929785,acc,0.118,-0.001,9.682,
441500518034264,pre,1002.960,,,
441500510585566,Gyro,0.015,-0.016,-0.004,
441500516630826,acc,0.117,0.010,9.671,
441500516630826,Lacc,-0.075,-0.054,-0.137,
441500516630826,GameRo,0.003,-0.010,-0.000,1.000
441500530286608,Gyro,0.035,-0.036,-0.008,
441500536331868,acc,0.094,-0.006,9.670,
441500536331868,Lacc,-0.104,-0.077,-0.138,
441500536331868,GameRo,0.004,-0.010,-0.000,1.000
441500558030410,pre,1002.920,,,
441500549987649,Gyro,0.052,-0.036,-0.009,
441500556032910,acc,0.238,0.036,9.776,
441500556032910,Lacc,0.034,-0.045,-0.032,
441500556032910,GameRo,0.004,-0.010,-0.000,1.000
441500569688691,Gyro,0.047,-0.022,-0.016,
441500575733951,acc,0.233,0.041,9.763,
441500575733951,Lacc,0.024,-0.049,-0.045,
441500575733951,GameRo,0.005,-0.011,-0.000,1.000
441500598036087,pre,1002.955,,,
441500589389733,Gyro,0.035,-0.013,-0.018,
441500595434993,acc,0.237,0.030,9.808,
441500595434993,Lacc,0.027,-0.065,0.001,
441500595434993,GameRo,0.005,-0.011,-0.001,1.000
441500609090774,Gyro,0.008,0.019,-0.017,
441500615136035,acc,0.301,0.035,9.829,
441500615136035,Lacc,0.096,-0.061,0.021,
441500615136035,GameRo,0.005,-0.010,-0.001,1.000
441500638032701,pre,1002.901,,,
441500628791816,Gyro,-0.008,0.031,-0.014,
441500634837076,acc,0.361,0.032,9.809,
441500634837076,Lacc,0.162,-0.063,0.001,
441500634837076,GameRo,0.005,-0.010,-0.001,1.000
441500648492858,Gyro,-0.001,0.013,-0.009,
441500654538118,acc,0.278,0.038,9.717,
441500654538118,Lacc,0.080,-0.058,-0.091,
441500654538118,GameRo,0.005,-0.010,-0.001,1.000
441500678029264,pre,1002.884,,,
441500668193899,Gyro,0.022,-0.005,-0.006,
441500674239160,acc,0.334,0.041,9.770,
441500674239160,Lacc,0.136,-0.059,-0.037,
441500674239160,GameRo,0.005,-0.010,-0.001,1.000
441500687894941,Gyro,0.042,-0.008,-0.001,
441500693940201,acc,0.279,0.045,9.750,
441500693940201,Lacc,0.078,-0.064,-0.058,
441500693940201,GameRo,0.006,-0.010,-0.001,1.000
441500718028847,pre,1002.851,,,
441500707595983,Gyro,0.052,-0.008,0.003,
441500713641243,acc,0.239,0.056,9.760,
441500713641243,Lacc,0.037,-0.063,-0.047,
441500713641243,GameRo,0.006,-0.010,-0.001,1.000
441500727296972,Gyro,0.053,-0.015,0.006,
441500733342233,acc,0.224,0.077,9.723,
441500733342233,Lacc,0.018,-0.053,-0.084,
441500733342233,GameRo,0.007,-0.011,-0.001,1.000
441500758038430,pre,1002.874,,,
441500746998014,Gyro,0.059,-0.029,0.003,
441500753043274,acc,0.223,0.090,9.759,
441500753043274,Lacc,0.011,-0.052,-0.048,
441500753043274,GameRo,0.007,-0.011,-0.001,1.000
441500766699055,Gyro,0.053,-0.020,-0.000,
441500772744316,acc,0.234,0.086,9.855,
441500772744316,Lacc,0.020,-0.064,0.049,
441500772744316,GameRo,0.008,-0.011,-0.001,1.000
441500798036660,pre,1002.867,,,
441500786400097,Gyro,0.013,0.009,0.004,
441500792445358,acc,0.257,0.071,9.875,
441500792445358,Lacc,0.045,-0.080,0.068,
441500792445358,GameRo,0.008,-0.011,-0.001,1.000
441500806101139,Gyro,-0.033,0.049,0.017,
441500812146399,acc,0.230,0.083,9.957,
441500812146399,Lacc,0.032,-0.059,0.150,
441500812146399,GameRo,0.007,-0.010,-0.001,1.000
441500825802180,Gyro,-0.070,0.122,0.019,
441500838029108,pre,1002.864,,,
441500831847441,acc,0.182,0.095,9.732,
441500831847441,Lacc,0.008,-0.033,-0.075,
441500831847441,GameRo,0.007,-0.009,-0.000,1.000
441500845503222,Gyro,-0.062,0.084,-0.001,
441500851548430,acc,0.151,0.101,9.612,
441500851548430,Lacc,-0.011,-0.016,-0.196,
441500851548430,GameRo,0.006,-0.008,-0.000,1.000
441500865204212,Gyro,-0.044,0.019,-0.020,
441500878026399,pre,1002.864,,,
441500871249472,acc,0.188,0.041,9.744,
441500871249472,Lacc,0.030,-0.068,-0.065,
441500871249472,GameRo,0.006,-0.008,-0.001,1.000
441500884905253,Gyro,-0.042,0.007,-0.011,
441500890950514,acc,0.196,0.038,9.742,
441500890950514,Lacc,0.038,-0.063,-0.066,
441500890950514,GameRo,0.005,-0.008,-0.001,1.000
441500904606295,Gyro,-0.029,-0.000,-0.001,
441500918018795,pre,1002.849,,,
441500910651555,acc,0.181,0.039,9.746,
441500910651555,Lacc,0.023,-0.057,-0.062,
441500910651555,GameRo,0.005,-0.008,-0.001,1.000
441500924307285,Gyro,-0.022,-0.007,0.002,
441500930352597,acc,0.174,0.029,9.758,
441500930352597,Lacc,0.014,-0.063,-0.051,
441500930352597,GameRo,0.005,-0.008,-0.001,1.000
441500944008326,Gyro,-0.020,-0.023,0.002,
441500958031347,pre,1002.852,,,
441500950053587,acc,0.177,0.038,9.618,
441500950053587,Lacc,0.010,-0.050,-0.190,
441500950053587,GameRo,0.005,-0.009,-0.001,1.000
441500963709368,Gyro,0.010,-0.093,-0.000,
441500969754628,acc,0.203,0.024,9.619,
