Timestamp,Sensor,X,Y,Z,W
441160211443327,acc,-0.555,0.811,9.366,
441160226345672,Gyro,-1.007,-0.272,-0.008,
441160231313567,acc,-0.768,0.621,11.823,
441160246240040,Gyro,-0.480,-0.432,0.031,
441160251207366,acc,-0.595,0.336,10.043,
441160266069508,Gyro,-0.200,0.030,0.047,
441160271076995,acc,-0.568,0.409,8.821,
441160273778004,pre,1002.865,,,
441160285978932,Gyro,0.081,0.332,0.001,
441160290946339,acc,-0.819,0.357,9.463,
441160298819305,pre,1002.877,,,
441160305848439,Gyro,0.171,0.246,-0.063,
441160310790578,acc,-0.844,0.419,9.867,
441160325702646,Gyro,0.129,0.095,-0.052,
441160323841644,pre,1002.895,,,
441160330685232,acc,-0.652,0.475,9.909,
441160345587372,Gyro,0.076,-0.009,0.000,
441160348901214,pre,1002.889,,,
441160350553151,acc,-0.642,0.501,9.876,
441160350553151,Lacc,0.031,-0.017,0.103,
441160365456838,Gyro,0.034,-0.048,0.039,
441160370424164,acc,-0.686,0.500,9.865,
441160370424164,Lacc,-0.022,-0.025,0.091,
441160370424164,GameRo,0.025,0.035,0.001,0.999
441160373943614,pre,1002.822,,,
441160385326223,Gyro,-0.003,-0.083,0.063,
441160390268281,acc,-0.672,0.496,9.812,
441160390268281,Lacc,-0.026,-0.029,0.038,
441160390268281,GameRo,0.025,0.034,0.001,0.999
441160398983613,pre,1002.761,,,
441160405195730,Gyro,-0.012,-0.044,0.080,
441160410148733,acc,-0.662,0.483,9.711,
441160410148733,Lacc,-0.026,-0.041,-0.065,
441160410148733,GameRo,0.025,0.033,0.002,0.999
441160425062511,Gyro,-0.002,0.010,0.084,
441160423999034,pre,1002.782,,,
441160430007376,acc,-0.719,0.484,9.746,
441160430007376,Lacc,-0.083,-0.041,-0.029,
441160430007376,GameRo,0.025,0.033,0.003,0.999
441160444909801,Gyro,-0.000,0.014,0.078,
441160449902518,acc,-0.725,0.484,9.760,
441160449902518,Lacc,-0.086,-0.042,-0.015,
441160449902518,GameRo,0.025,0.034,0.004,0.999
441160449065970,pre,1002.831,,,
441160464804170,Gyro,-0.002,0.016,0.074,
441160469772065,acc,-0.734,0.487,9.793,
441160469772065,Lacc,-0.093,-0.040,0.019,
441160469772065,GameRo,0.025,0.034,0.005,0.999
441160474106579,pre,1002.825,,,
441160484673758,Gyro,-0.021,-0.012,0.058,
441160489611136,acc,-0.773,0.480,9.807,
441160489611136,Lacc,-0.133,-0.044,0.032,
441160489611136,GameRo,0.025,0.034,0.005,0.999
441160499145031,pre,1002.779,,,
441160504542898,Gyro,-0.010,-0.013,0.040,
441160509486991,acc,-0.690,0.474,9.625,
441160509486991,Lacc,-0.055,-0.048,-0.150,
441160509486991,GameRo,0.025,0.033,0.006,0.999
441160524386771,Gyro,0.039,0.056,0.050,
441160524159435,pre,1002.746,,,
441160529373831,acc,-0.641,0.485,9.637,
441160529373831,Lacc,0.004,-0.043,-0.138,
441160529373831,GameRo,0.025,0.034,0.006,0.999
441160544256645,Gyro,0.066,0.103,0.072,
441160549224255,acc,-0.678,0.506,9.774,
441160549224255,Lacc,-0.014,-0.037,0.001,
441160549224255,GameRo,0.026,0.035,0.007,0.999
441160549241874,pre,1002.737,,,
441160564151257,Gyro,0.050,0.120,0.090,
441160569118624,acc,-0.723,0.517,9.815,
441160569118624,Lacc,-0.037,-0.037,0.045,
441160569118624,GameRo,0.027,0.036,0.008,0.999
441160574257499,pre,1002.746,,,
441160583995862,Gyro,0.022,0.127,0.097,
441160588962740,acc,-0.695,0.545,9.890,
441160588962740,Lacc,0.015,-0.016,0.121,
441160588962740,GameRo,0.027,0.037,0.009,0.999
441160599280407,pre,1002.773,,,
441160603890393,Gyro,-0.014,0.076,0.111,
441160608857922,acc,-0.777,0.531,9.810,
441160608857922,Lacc,-0.052,-0.029,0.043,
441160608857922,GameRo,0.027,0.038,0.010,0.999
441160623735202,Gyro,-0.040,0.050,0.151,
441160624323458,pre,1002.795,,,
441160628727185,acc,-0.720,0.523,9.734,
441160628727185,Lacc,0.012,-0.031,-0.033,
441160628727185,GameRo,0.026,0.038,0.011,0.999
441160643619479,Gyro,-0.031,0.092,0.181,
441160648596449,acc,-0.810,0.508,9.653,
441160648596449,Lacc,-0.064,-0.042,-0.113,
441160648596449,GameRo,0.026,0.039,0.013,0.999
441160649364271,pre,1002.798,,,
441160663498752,Gyro,-0.036,0.126,0.280,
441160668466403,acc,-1.032,0.406,9.824,
441160668466403,Lacc,-0.263,-0.141,0.059,
441160668466403,GameRo,0.026,0.041,0.016,0.999
441160674430840,pre,1002.770,,,
441160683345432,Gyro,0.010,0.077,0.340,
441160688335381,acc,-0.728,0.098,10.106,
441160688335381,Lacc,0.053,-0.455,0.343,
441160688335381,GameRo,0.026,0.041,0.019,0.999
441160699473158,pre,1002.724,,,
441160703237562,Gyro,0.146,0.042,0.349,
441160708205173,acc,-0.498,-0.001,10.222,
441160708205173,Lacc,0.287,-0.585,0.461,
441160708205173,GameRo,0.027,0.042,0.023,0.999
441160723086317,Gyro,0.289,-0.069,0.378,
441160724489475,pre,1002.706,,,
441160728074395,acc,-0.244,0.274,10.412,
441160728074395,Lacc,0.526,-0.371,0.654,
