Timestamp,Sensor,X,Y,Z,W
440942036653919,acc,-0.574,1.141,9.770,
440942059841784,acc,-0.452,1.179,9.756,
440942078421472,Gyro,-0.014,0.033,-0.006,
440942079541472,acc,-0.118,1.321,9.658,
440942098121159,Gyro,-0.006,0.039,-0.014,
440942099241159,acc,-0.102,1.304,9.719,
440942125012513,pre,1003.028,,,
440942117820847,Gyro,-0.019,0.044,-0.006,
440942118940847,acc,-0.093,1.286,9.656,
440942137520534,Gyro,-0.027,0.026,0.002,
440942138640534,acc,-0.118,1.287,9.677,
440942164988555,pre,1002.990,,,
440942157220222,Gyro,-0.031,0.020,0.004,
440942158340222,acc,-0.114,1.298,9.660,
440942178039909,acc,-0.098,1.266,9.623,
440942176919909,Gyro,-0.022,0.004,0.008,
440942178039909,Lacc,0.108,-0.014,-0.101,
440942178039909,GameRo,0.054,-0.039,-0.706,0.705
440942204988190,pre,1002.975,,,
440942197739597,acc,-0.126,1.284,9.586,
440942196619597,Gyro,0.013,-0.010,0.014,
440942197739597,Lacc,0.078,0.002,-0.138,
440942197739597,GameRo,0.054,-0.039,-0.706,0.705
440942217439284,acc,-0.121,1.293,9.680,
440942217439284,Lacc,0.077,0.005,-0.043,
440942217439284,GameRo,0.054,-0.039,-0.706,0.705
440942216319284,Gyro,0.031,-0.029,0.010,
440942244996628,pre,1002.951,,,
440942236018972,Gyro,0.027,-0.016,0.010,
440942237138972,acc,-0.105,1.298,9.706,
440942237138972,Lacc,0.090,0.005,-0.017,
440942237138972,GameRo,0.054,-0.040,-0.706,0.705
440942256838659,acc,-0.115,1.309,9.735,
440942256838659,Lacc,0.074,0.016,0.013,
440942255718659,Gyro,0.001,-0.027,0.011,
440942256838659,GameRo,0.054,-0.040,-0.706,0.705
440942285003190,pre,1002.942,,,
440942275418347,Gyro,-0.031,-0.011,-0.001,
440942276538347,acc,-0.127,1.329,9.770,
440942276538347,Lacc,0.060,0.041,0.046,
440942276538347,GameRo,0.053,-0.040,-0.706,0.705
440942295118034,Gyro,-0.055,0.011,-0.018,
440942296238034,acc,-0.115,1.339,9.814,
440942296238034,Lacc,0.074,0.063,0.089,
440942296238034,GameRo,0.053,-0.039,-0.706,0.705
440942324996628,pre,1002.918,,,
440942314817722,Gyro,-0.059,0.027,-0.028,
440942315937722,acc,-0.121,1.245,9.769,
440942315937722,Lacc,0.075,-0.020,0.043,
440942315937722,GameRo,0.053,-0.039,-0.706,0.705
440942334517409,Gyro,-0.084,0.016,-0.006,
440942335637409,acc,-0.081,1.218,9.520,
440942335637409,Lacc,0.118,-0.031,-0.208,
440942335637409,GameRo,0.052,-0.038,-0.706,0.705
