Timestamp,Sensor,X,Y,Z,W
85090694621042,Gyro,0.084872,0.024876,-0.105757,
85090699652285,Gyro,0.077289,0.027005,-0.100436,
85090719777257,Gyro,0.044165,0.032060,-0.080748,
85090739906044,Gyro,-0.004656,0.040308,-0.058931,
85090760046275,Gyro,-0.017826,0.055473,-0.041505,
85090802035601,pre,999.866272,,,
85090780186505,Gyro,-0.014500,0.066647,-0.028867,
85090800326732,Gyro,-0.013968,0.061060,-0.048289,
85090818910672,pre,999.868530,,,
85090833283471,pre,999.863281,,,
85090848907406,pre,999.862488,,,
85090820463145,Gyro,-0.008514,0.054275,-0.063055,
85090840588117,Gyro,-0.011440,0.037248,-0.068376,
85090820494730,Lacc,-0.071359,-0.041754,-0.039208,
85090840619700,Lacc,-0.084549,-0.053954,-0.043221,
85090840619700,GameRo,0.042151,-0.012092,-0.707003,0.705849
85090865050104,pre,999.856506,,,
85090880155276,pre,999.872253,,,
85090860716903,Gyro,-0.026606,0.015431,-0.069574,
85090880857130,Gyro,-0.017028,0.011041,-0.050950,
85090895840241,pre,999.872253,,,
85090860752299,Lacc,-0.054573,-0.038953,-0.028502,
85090860752299,GameRo,0.042608,-0.011282,-0.707928,0.704908
85090880892528,Lacc,-0.024991,-0.077152,-0.066012,
85090880892528,GameRo,0.042608,-0.011282,-0.707928,0.704908
85090911403145,pre,999.876770,,,
85090927057596,pre,999.873779,,,
85090901008800,Gyro,0.023546,0.003725,-0.025674,
85090921194800,Gyro,0.054009,-0.001995,0.016629,
85090901055644,Lacc,-0.011040,-0.115054,-0.129071,
85090901055644,GameRo,0.042442,-0.010795,-0.708735,0.704115
85090921241646,Lacc,0.006130,-0.051687,-0.055349,
85090921241646,GameRo,0.042442,-0.010795,-0.708735,0.704115
85090942712046,pre,999.861023,,,
85090958335981,pre,999.862488,,,
85090973898885,pre,999.867737,,,
85090941369357,Gyro,0.055473,-0.008248,0.046826,
85090961509588,Gyro,0.040707,-0.012372,0.071303,
85090941404761,Lacc,-0.013885,-0.031140,-0.019896,
85090941404761,GameRo,0.043128,-0.011526,-0.708645,0.704151
85090961544990,Lacc,-0.021122,-0.011069,-0.004347,
85090961544990,GameRo,0.043128,-0.011526,-0.708645,0.704151
85090989583850,pre,999.868530,,,
85091005177270,pre,999.869995,,,
85090981646005,Gyro,0.013835,-0.010509,0.073165,
85091001770977,Gyro,0.008780,-0.012372,0.038844,
85090981677589,Lacc,-0.084660,0.015878,0.016992,
85090981677589,GameRo,0.043572,-0.012386,-0.707712,0.705047
85091001802559,Lacc,-0.087682,-0.048339,-0.041311,
85091020740174,pre,999.867737,,,
85091001802559,GameRo,0.043572,-0.012386,-0.707712,0.705047
85091036364109,pre,999.865479,,,
85091052018559,pre,999.868530,,,
85091021899762,Gyro,0.035785,-0.005454,0.020752,
85091042039989,Gyro,0.027670,0.005986,0.002128,
85091021935159,Lacc,-0.065437,-0.071368,-0.055348,
85091021935159,GameRo,0.043502,-0.012680,-0.707028,0.705733
85091042075388,Lacc,-0.085989,0.044724,0.034537,
85091042075388,GameRo,0.043502,-0.012680,-0.707028,0.705733
85091067673010,pre,999.864014,,,
85091083266429,pre,999.861023,,,
85091062180216,Gyro,-0.017028,0.009711,-0.023413,
85091082320443,Gyro,-0.025807,0.011440,-0.038312,
85091100172014,pre,999.864014,,,
85091062215617,Lacc,-0.089450,0.023252,0.034927,
85091062215617,GameRo,0.044012,-0.013108,-0.706921,0.705800
85091082355846,Lacc,-0.056905,-0.073650,-0.055202,
85091082355846,GameRo,0.044012,-0.013107,-0.706921,0.705800
85091114514298,pre,999.872986,,,
85091130199264,pre,999.866272,,,
85091102456856,Gyro,0.007716,0.006518,-0.020220,
85091122581828,Gyro,0.029931,-0.003193,0.015564,
85091102488445,Lacc,-0.016843,-0.113235,-0.106523,
85091102488445,GameRo,0.043813,-0.012546,-0.707425,0.705317
85091122613415,Lacc,-0.013290,-0.065886,-0.055398,
85091122613415,GameRo,0.043813,-0.012545,-0.707425,0.705317
85091145762168,pre,999.868530,,,
85091161416619,pre,999.864746,,,
85091177284677,pre,999.872986,,,
85091142699171,Gyro,0.034454,-0.004789,0.040973,
85091162793625,Gyro,0.046959,-0.002661,0.068376,
85091142723128,Lacc,-0.017678,-0.030803,-0.002881,
85091142723128,GameRo,0.044196,-0.012938,-0.707333,0.705379
85091162817584,Lacc,-0.005095,-0.098993,-0.072400,
85091162817584,GameRo,0.044196,-0.012938,-0.707333,0.705379
85091192633973,pre,999.868530,,,
85091208318938,pre,999.861755,,,
85091182910967,Gyro,0.085670,0.004656,0.095780,
85091203096970,Gyro,0.086468,0.003060,0.098441,
85091182957813,Lacc,-0.030989,-0.057448,-0.050175,
85091182957813,GameRo,0.044734,-0.013640,-0.706440,0.706226
85091203143815,Lacc,-0.039979,0.022543,0.008044,
85091203143815,GameRo,0.044734,-0.013640,-0.706440,0.706226
85091223942873,pre,999.874512,,,
85091239505777,pre,999.866272,,,
85091255129712,pre,999.864014,,,
85091223271530,Gyro,0.038711,-0.004922,0.103895,
85091243411757,Gyro,0.016629,-0.012106,0.105358,
85091223306930,Lacc,-0.069869,0.026974,0.051333,
85091223306930,GameRo,0.046005,-0.014927,-0.704990,0.707567
85091243447157,Lacc,-0.044857,-0.065064,-0.033285,
85091243447157,GameRo,0.046005,-0.014927,-0.704990,0.707567
85091270845194,pre,999.868530,,,
85091286377582,pre,999.859497,,,
85091263548170,Gyro,0.037381,-0.007982,0.110679,
85091283673142,Gyro,0.061592,0.004789,0.105491,
85091303557808,pre,999.864014,,,
85091318083184,pre,999.864014,,,
85091333249386,pre,999.868530,,,
85091303790485,Gyro,0.088464,0.025009,0.084606,
85091323884939,Gyro,0.116533,0.044697,0.071170,
85091348903837,pre,999.862488,,,
85091263579756,Lacc,-0.054325,-0.089315,-0.074555,
85091263579756,GameRo,0.046092,-0.015456,-0.703503,0.709027
85091283704728,Lacc,-0.057022,-0.044725,-0.033060,
85091283704728,GameRo,0.046092,-0.015456,-0.703503,0.709027
85091303814441,Lacc,-0.079619,-0.064175,-0.050452,
85091303814441,GameRo,0.046906,-0.016358,-0.701950,0.710492
85091364497256,pre,999.861023,,,
85091344002280,Gyro,-0.073299,0.084473,0.137019,
