Timestamp,Sensor,X,Y,Z,W
85081617761010,Gyro,-0.057468,-0.004922,0.003060,
85081627717260,Gyro,-0.073565,0.005587,0.007583,
85081647629760,Gyro,-0.119592,0.014899,0.063055,
85081667565260,Gyro,-0.326185,0.033523,0.013569,
85081687523760,Gyro,-0.409328,0.040041,0.003725,
85081730462010,pre,999.923279,,,
85081707459510,Gyro,-0.307162,0.018890,0.004656,
85081727372510,Gyro,-0.096312,-0.022748,0.067844,
85081745813010,pre,999.924744,,,
85081761163010,pre,999.931519,,,
85081776513010,pre,999.929993,,,
85081747262510,Gyro,0.141941,-0.054142,0.112276,
85081767129510,Gyro,0.299712,-0.074097,0.120124,
85081747262510,Lacc,-0.005468,-0.194464,-0.397367,
85081747262510,GameRo,-0.019252,0.015856,-0.000244,0.999689
85081767129510,Lacc,-0.023829,0.013414,-0.178664,
85081767129510,GameRo,-0.019252,0.015856,-0.000244,0.999689
85081791833010,pre,999.931519,,,
85081807183010,pre,999.931519,,,
85081787042260,Gyro,0.315144,-0.081014,0.113606,
85081807000760,Gyro,0.228409,-0.075427,0.107886,
85081787042260,Lacc,-0.034312,0.047968,0.033933,
85081787042260,GameRo,-0.013308,0.014417,0.002085,0.999805
85081807000760,Lacc,-0.005056,0.131677,0.131577,
85081807000760,GameRo,-0.013308,0.014417,0.002085,0.999805
85081822412010,pre,999.935242,,,
85081837854010,pre,999.933777,,,
85081853906010,pre,999.930786,,,
85081826936260,Gyro,0.093652,-0.054409,0.088597,
85081846848760,Gyro,-0.034321,-0.033257,0.073032,
85081826936260,Lacc,-0.043128,0.169184,0.197731,
85081826936260,GameRo,-0.008860,0.012991,0.004137,0.999868
85081846848760,Lacc,-0.023418,0.119618,0.139029,
85081846848760,GameRo,-0.008860,0.012991,0.004137,0.999868
85081868524010,pre,999.926270,,,
85081883874010,pre,999.925537,,,
85081866761260,Gyro,-0.080615,-0.022881,0.051881,
85081886673760,Gyro,-0.048954,-0.016229,0.033257,
85081899102010,pre,999.925537,,,
85081866761260,Lacc,-0.054089,0.072076,-0.015057,
85081866761260,GameRo,-0.009514,0.012344,0.005555,0.999863
85081886673760,Lacc,-0.028148,-0.090746,-0.156234,
85081886673760,GameRo,-0.009514,0.012344,0.005555,0.999863
85081914422010,pre,999.929260,,,
85081929864010,pre,999.933777,,,
85081906586510,Gyro,0.070904,-0.020220,0.033257,
85081926499510,Gyro,0.222689,-0.034454,0.047358,
85081906586510,Lacc,-0.020085,-0.165850,-0.301466,
85081906586510,GameRo,-0.010291,0.012013,0.006239,0.999855
85081926499510,Lacc,0.001926,-0.160545,-0.233609,
85081926499510,GameRo,-0.010291,0.012013,0.006239,0.999856
85081952874010,pre,999.922485,,,
85081968194010,pre,999.930786,,,
85081946427510,Gyro,0.232533,-0.039110,0.095913,
85081966370510,Gyro,0.082477,-0.091523,0.274703,
85081946427510,Lacc,0.106900,-0.072270,0.047673,
85081946427510,GameRo,-0.006011,0.011395,0.007198,0.999891
85081966370510,Lacc,0.327507,0.089652,0.128348,
85081966370510,GameRo,-0.006010,0.011393,0.007198,0.999891
85081983422010,pre,999.936035,,,
85081998864010,pre,999.924744,,,
85082014215010,pre,999.927002,,,
85081986260260,Gyro,-0.106556,-0.193290,0.352392,
85082006096760,Gyro,-0.309956,0.123583,-0.240648,
85081986260260,Lacc,0.940965,0.338877,0.022392,
85081986260260,GameRo,-0.004341,0.009323,0.012752,0.999866
85082006096760,Lacc,3.521134,-0.067581,-0.674705,
85082006096760,GameRo,-0.004341,0.009306,0.012752,0.999866
85082029534010,pre,999.918030,,,
85082044854010,pre,999.928528,,,
85082025994260,Gyro,-0.372080,0.634278,-0.803623,
85082045952760,Gyro,-0.481163,0.636008,0.069042,
85082025994260,Lacc,3.595771,-0.291654,-0.888474,
85082025994260,GameRo,-0.010829,0.011948,0.007813,0.999840
85082045952760,Lacc,0.396034,-2.846139,-1.413850,
85082045952760,GameRo,-0.010846,0.011945,0.007813,0.999839
85082060113010,pre,999.919495,,,
85082075524010,pre,999.926270,,,
85082090875010,pre,999.926270,,,
85082065888510,Gyro,-1.027776,0.248630,-1.573191,
85082085801510,Gyro,-0.929867,0.278960,-1.078459,
85082065888510,Lacc,4.028744,-2.357143,-2.639486,
85082065888510,GameRo,-0.022154,0.022967,-0.002070,0.999489
85082085801510,Lacc,3.230605,-0.709989,-3.637822,
85082085801510,GameRo,-0.022162,0.022938,-0.002071,0.999489
85082106195010,pre,999.914246,,,
85082121545010,pre,999.920288,,,
85082105714260,Gyro,-1.089234,0.169079,-1.276671,
85082125626760,Gyro,-1.058638,-0.062922,-1.372052,
85082137048010,pre,999.922485,,,
85082105714260,Lacc,2.251255,-0.387594,-3.230938,
85082105714260,GameRo,-0.043221,0.027807,-0.028253,0.998279
85082125626760,Lacc,2.251939,-1.528332,-2.478527,
85082125626760,GameRo,-0.043238,0.027788,-0.028254,0.998279
85082152215010,pre,999.920288,,,
85082159875010,pre,999.932251,,,
85082175225010,pre,999.923279,,,
