Timestamp,Sensor,X,Y,Z,W
85707132078570,Gyro,-0.424227,-0.022881,0.006385,
85707142079167,Gyro,-0.488612,-0.016895,0.022482,
85707162080360,Gyro,-0.438993,-0.022349,0.043500,
85707182324485,Gyro,-0.281621,-0.028335,-0.021817,
85707202568610,Gyro,-0.183180,-0.010775,-0.052546,
85707222711413,Gyro,0.001064,0.008248,-0.063055,
85707242854217,Gyro,0.125446,0.026074,-0.053477,
85707251216534,pre,999.791260,,,
85707266842466,pre,999.796509,,,
85707282468398,pre,999.794250,,,
85707262981761,Gyro,0.108950,0.040574,-0.048156,
85707283109305,Gyro,0.088198,0.033922,-0.062257,
85707273045533,Lacc,-0.093661,-0.103022,-0.002033,
85707298063810,pre,999.789734,,,
85707313811819,pre,999.800232,,,
85707303252107,Gyro,0.044298,0.019289,-0.076491,
85707323394908,Gyro,0.001862,0.011174,-0.076092,
85707293180706,Lacc,-0.089308,-0.083543,0.047968,
85707293180706,GameRo,0.022738,-0.006867,-0.707073,0.706741
85707313323507,Lacc,-0.073463,-0.097161,0.052356,
85707313323507,GameRo,0.022738,-0.006867,-0.707073,0.706741
85707329346194,pre,999.785278,,,
85707344941606,pre,999.801758,,,
85707360598058,pre,999.797241,,,
85707343537711,Gyro,0.037780,0.009312,-0.040707,
85707363680514,Gyro,0.123317,0.011041,0.012771,
85707333466309,Lacc,0.000899,-0.214369,-0.084286,
85707333466309,GameRo,0.023530,-0.007117,-0.708175,0.705609
85707353609113,Lacc,0.025746,-0.282998,-0.155120,
85707353609113,GameRo,0.023530,-0.007117,-0.708175,0.705609
85707376315547,pre,999.797241,,,
85707391941479,pre,999.790527,,,
85707383869096,Gyro,0.251955,0.011440,0.072633,
85707404057678,Gyro,0.347603,-0.009179,0.103097,
85707373774805,Lacc,0.026267,-0.344243,-0.231788,
85707373774805,GameRo,0.024343,-0.007641,-0.708626,0.705123
85707393963387,Lacc,-0.038688,-0.213584,-0.178624,
85707393963387,GameRo,0.024343,-0.007641,-0.708626,0.705123
85707407628450,pre,999.795776,,,
85707423223862,pre,999.798767,,,
85707438819274,pre,999.792786,,,
85707424200482,Gyro,0.348933,-0.039908,0.065583,
85707444343285,Gyro,0.256079,-0.076358,0.010775,
85707414129080,Lacc,-0.146572,-0.097588,-0.035929,
85707414129080,GameRo,0.028312,-0.011461,-0.707411,0.706142
85707434271883,Lacc,-0.163748,0.097440,0.114459,
85707434271883,GameRo,0.028313,-0.011461,-0.707411,0.706142
85707454445206,pre,999.795776,,,
85707470071138,pre,999.798035,,,
85707464470827,Gyro,0.129835,-0.084606,-0.045895,
85707484598370,Gyro,0.032991,-0.092189,-0.101634,
85707486978885,pre,999.792786,,,
85707454407056,Lacc,-0.140237,0.037715,0.203218,
85707454407056,GameRo,0.032457,-0.017082,-0.706477,0.706785
85707474534598,Lacc,-0.128677,0.029010,0.143021,
85707474534598,GameRo,0.032458,-0.017082,-0.706477,0.706785
85707501200925,pre,999.800232,,,
85707516857376,pre,999.794250,,,
85707504741173,Gyro,-0.038312,-0.090725,-0.151652,
85707524883976,Gyro,-0.020220,-0.082078,-0.148992,
85707494669771,Lacc,-0.132875,-0.047315,0.122433,
85707494669771,GameRo,0.032784,-0.019804,-0.707307,0.705868
85707514812574,Lacc,-0.025133,-0.205624,-0.031944,
85707514812574,GameRo,0.032784,-0.019803,-0.707308,0.705868
85707532574866,pre,999.794250,,,
85707548200798,pre,999.795776,,,
85707563735172,pre,999.804016,,,
85707544981001,Gyro,0.039642,-0.052812,-0.093918,
85707565078025,Gyro,0.087000,-0.007583,-0.021018,
85707534932488,Lacc,0.050181,-0.244423,-0.071342,
85707534932488,GameRo,0.030959,-0.020369,-0.709604,0.703625
85707555029513,Lacc,0.088222,-0.253018,-0.053862,
85707555029513,GameRo,0.030958,-0.020369,-0.709604,0.703625
85707579361104,pre,999.799500,,,
85707595078593,pre,999.799500,,,
85707585266607,Gyro,0.063454,0.025408,0.019688,
85707605455189,Gyro,0.056670,0.040308,0.019422,
85707575172316,Lacc,0.019125,-0.123794,0.072719,
85707575172316,GameRo,0.031076,-0.021711,-0.710770,0.702403
85707595360898,Lacc,-0.067642,-0.120427,0.035062,
85707595360898,GameRo,0.031077,-0.021710,-0.710770,0.702403
85707610674006,pre,999.792786,,,
85707626330457,pre,999.791992,,,
85707641956389,pre,999.798035,,,
85707625536953,Gyro,0.132895,0.042436,0.059464,
85707645618716,Gyro,0.148992,0.051349,0.114936,
85707615496071,Lacc,0.012092,-0.271679,-0.122085,
85707615496071,GameRo,0.032388,-0.022184,-0.710378,0.702725
85707635577834,Lacc,0.012695,-0.167893,-0.020453,
85707635577834,GameRo,0.032388,-0.022184,-0.710378,0.702725
