Timestamp,Sensor,X,Y,Z,W
85593689957906,Gyro,-0.058798,0.002128,-0.025674,
85593699914406,Gyro,0.014367,-0.006784,0.010243,
85593719827406,Gyro,0.001330,-0.001995,0.019156,
85593754197906,pre,999.856506,,,
85593769394906,pre,999.869263,,,
85593739740156,Gyro,-0.023147,0.005720,-0.015032,
85593759652656,Gyro,0.004789,0.000399,-0.034454,
85593784714906,pre,999.869263,,,
85593800034906,pre,999.864746,,,
85593779588156,Gyro,0.024743,-0.004922,-0.017693,
85593799546656,Gyro,0.025541,-0.007849,0.022748,
85593815354906,pre,999.862488,,,
85593830674906,pre,999.866272,,,
85593846024906,pre,999.867737,,,
85593819482406,Gyro,0.050418,-0.009844,0.065849,
85593839395406,Gyro,0.049486,-0.003193,0.045762,
85593819482406,Lacc,0.015161,-0.027107,-0.097075,
85593819482406,GameRo,0.009704,-0.031096,-0.706423,0.707040
85593839395406,Lacc,-0.082941,0.120787,0.072509,
85593839395406,GameRo,0.009704,-0.031096,-0.706423,0.707040
85593861344906,pre,999.863281,,,
85593876633906,pre,999.867737,,,
85593859308156,Gyro,-0.042303,0.014234,-0.016096,
85593879220656,Gyro,-0.055207,0.009844,-0.036716,
85593891861906,pre,999.860229,,,
85593859308156,Lacc,-0.074560,0.135342,0.103272,
85593859308156,GameRo,0.010183,-0.031647,-0.705799,0.707631
85593879220656,Lacc,-0.008986,-0.045545,-0.108966,
85593879220656,GameRo,0.010183,-0.031647,-0.705799,0.707631
85593907273906,pre,999.875244,,,
85593922593906,pre,999.861755,,,
85593899133156,Gyro,-0.003459,-0.002528,-0.007982,
85593919045656,Gyro,0.043766,-0.007583,-0.001197,
85593899133156,Lacc,0.021646,-0.027775,-0.133534,
85593899133156,GameRo,0.009580,-0.030729,-0.706310,0.707171
85593919045656,Lacc,-0.021932,0.011275,-0.060487,
85593919045656,GameRo,0.009580,-0.030729,-0.706310,0.707171
85593937913906,pre,999.865479,,,
85593954056906,pre,999.860229,,,
85593968552906,pre,999.862488,,,
85593938935406,Gyro,0.003991,0.006651,-0.005454,
85593958802406,Gyro,-0.052014,0.017427,-0.012638,
85593938935406,Lacc,-0.002023,0.142026,0.119397,
85593938935406,GameRo,0.010010,-0.031334,-0.706284,0.707164
85593958802406,Lacc,-0.011327,0.026307,-0.014733,
85593958802406,GameRo,0.010010,-0.031334,-0.706284,0.707164
85593983872906,pre,999.867737,,,
85593999192906,pre,999.867004,,,
85593978715156,Gyro,-0.029798,0.012106,-0.000266,
85593998673656,Gyro,0.028867,0.002395,0.018358,
