Timestamp,Sensor,X,Y,Z,W
87968735393561,acc,-0.212,0.333,9.939,
87968750322109,Gyro,0.015,-0.034,-0.010,
87968755263637,acc,-0.262,0.296,9.996,
87968770200161,Gyro,-0.003,-0.057,-0.023,
87968775159634,acc,-0.260,0.272,9.771,
87968775159634,Lacc,0.001,-0.001,-0.031,
87968775159634,GameRo,0.019,-0.000,-0.707,0.707
87968790035610,Gyro,-0.024,-0.028,-0.028,
87968793410813,pre,995.106,,,
87968795029181,acc,-0.190,0.330,9.614,
87968795029181,Lacc,0.065,0.062,-0.189,
87968795029181,GameRo,0.019,-0.000,-0.707,0.707
87968809905849,Gyro,-0.048,0.028,-0.010,
87968814899827,acc,-0.176,0.353,9.889,
87968814899827,Lacc,0.085,0.094,0.086,
87968814899827,GameRo,0.019,0.000,-0.707,0.707
87968818464199,pre,995.103,,,
87968829801724,Gyro,-0.072,-0.040,0.005,
87968834769171,acc,-0.235,0.302,10.078,
87968834769171,Lacc,0.020,0.057,0.274,
87968834769171,GameRo,0.018,0.000,-0.707,0.707
87968843517666,pre,995.115,,,
87968849671840,Gyro,-0.072,-0.149,0.013,
87968854639899,acc,-0.204,0.278,9.882,
87968854639899,Lacc,0.024,0.048,0.077,
87968854639899,GameRo,0.016,-0.000,-0.707,0.707
87968868572435,pre,995.139,,,
87968869517056,Gyro,-0.047,-0.179,0.012,
87968874509609,acc,-0.198,0.218,9.642,
87968874509609,Lacc,-0.007,-0.003,-0.164,
87968874509609,GameRo,0.015,-0.001,-0.707,0.707
87968889431443,Gyro,-0.026,-0.126,0.003,
87968894371670,acc,-0.139,0.230,9.486,
87968894371670,Lacc,0.026,0.014,-0.321,
87968894371670,GameRo,0.014,-0.002,-0.707,0.707
87968893624722,pre,995.133,,,
87968909282314,Gyro,-0.015,-0.056,0.000,
87968914250250,acc,-0.114,0.247,9.643,
87968914250250,Lacc,0.040,0.034,-0.164,
87968914250250,GameRo,0.013,-0.002,-0.707,0.707
87968918678840,pre,995.106,,,
87968929152472,Gyro,-0.010,-0.026,-0.000,
87968934094855,acc,-0.133,0.246,9.854,
87968934094855,Lacc,0.016,0.035,0.048,
87968934094855,GameRo,0.013,-0.002,-0.707,0.707
87968943729091,pre,995.103,,,
87968949023118,Gyro,0.007,-0.095,0.006,
87968953991298,acc,-0.085,0.282,9.846,
87968953991298,Lacc,0.047,0.070,0.039,
87968953991298,GameRo,0.012,-0.003,-0.707,0.707
87968968910121,Gyro,0.018,-0.106,0.017,
87968968781744,pre,995.103,,,
87968973860236,acc,-0.072,0.252,9.643,
87968973860236,Lacc,0.038,0.037,-0.164,
87968973860236,GameRo,0.012,-0.004,-0.707,0.707
87968988763393,Gyro,0.040,-0.039,0.016,
87968993746507,acc,-0.061,0.218,9.296,
87968993746507,Lacc,0.039,-0.004,-0.511,
87968993746507,GameRo,0.012,-0.004,-0.707,0.707
87968993808600,pre,995.081,,,
87969008632981,Gyro,0.076,0.124,0.004,
87969013600755,acc,-0.121,0.195,9.431,
