Timestamp,Sensor,X,Y,Z,W
82049417790162,acc,0.121,0.787,9.879,
82049437491099,acc,0.124,0.781,9.826,
82049457192037,acc,0.132,0.778,9.771,
82049486478391,pre,995.317,,,
82049476893026,acc,0.142,0.773,9.758,
82049496594016,acc,0.139,0.763,9.718,
82049526476359,pre,995.278,,,
82049515174953,Gyro,-0.006,-0.005,0.000,
82049516294953,acc,0.133,0.760,9.717,
82049534875943,Gyro,0.013,-0.003,0.001,
82049535995943,acc,0.142,0.762,9.718,
82049566480162,pre,995.238,,,
82049555696880,acc,0.141,0.764,9.739,
82049554576880,Gyro,0.029,-0.003,0.001,
82049555696880,Lacc,0.007,-0.008,-0.040,
82049555696880,GameRo,0.023,-0.033,-0.706,0.707
82049575397818,Lacc,0.008,0.000,-0.032,
82049575397818,acc,0.142,0.778,9.746,
82049574277818,Gyro,0.031,-0.001,0.001,
82049575397818,GameRo,0.023,-0.033,-0.706,0.707
82049595098807,acc,0.139,0.783,9.750,
82049593978807,Gyro,0.035,-0.003,-0.000,
82049606474484,pre,995.208,,,
82049595098807,Lacc,0.003,-0.002,-0.028,
82049595098807,GameRo,0.023,-0.033,-0.706,0.707
82049614799745,acc,0.151,0.776,9.631,
82049613679745,Gyro,0.030,-0.042,-0.000,
82049614799745,Lacc,0.008,-0.015,-0.146,
82049614799745,GameRo,0.023,-0.034,-0.706,0.707
82049633380734,Gyro,0.039,-0.102,0.007,
82049634500734,acc,0.162,0.790,9.818,
82049634500734,Lacc,-0.001,-0.008,0.043,
82049634500734,GameRo,0.023,-0.035,-0.706,0.707
82049646475734,pre,995.231,,,
82049653081672,Gyro,0.015,-0.010,0.003,
82049654201672,acc,0.160,0.802,9.836,
82049654201672,Lacc,-0.005,0.001,0.060,
82049654201672,GameRo,0.023,-0.035,-0.706,0.707
82049672782662,Gyro,0.013,-0.000,0.000,
82049673902662,acc,0.169,0.795,9.721,
82049673902662,Lacc,0.004,-0.008,-0.055,
82049673902662,GameRo,0.023,-0.035,-0.706,0.707
82049686479693,pre,995.208,,,
82049692483599,Gyro,0.012,-0.003,0.002,
82049693603599,acc,0.169,0.793,9.773,
82049693603599,Lacc,0.004,-0.013,-0.002,
82049693603599,GameRo,0.023,-0.035,-0.706,0.707
82049713304589,acc,0.162,0.800,9.788,
82049712184589,Gyro,-0.014,-0.001,0.000,
82049713304589,Lacc,-0.004,-0.003,0.012,
82049713304589,GameRo,0.023,-0.035,-0.706,0.707
82049726475787,pre,995.211,,,
82049733005526,acc,0.172,0.794,9.778,
82049731885526,Gyro,-0.038,-0.000,-0.001,
82049733005526,Lacc,0.006,-0.002,0.002,
82049733005526,GameRo,0.023,-0.035,-0.706,0.707
82049751586516,Gyro,-0.044,0.001,-0.000,
82049752706516,acc,0.164,0.787,9.726,
82049752706516,Lacc,-0.002,-0.000,-0.052,
82049752706516,GameRo,0.022,-0.034,-0.706,0.707
82049766484641,pre,995.247,,,
82049772407453,Lacc,0.005,0.000,-0.072,
82049771287453,Gyro,-0.023,0.000,0.000,
82049772407453,GameRo,0.022,-0.034,-0.706,0.707
82049772407453,acc,0.171,0.783,9.705,
82049792108391,Lacc,0.005,0.003,-0.061,
82049790988391,Gyro,0.005,-0.002,0.000,
82049792108391,acc,0.171,0.787,9.716,
82049792108391,GameRo,0.022,-0.034,-0.706,0.707
82049806482557,pre,995.219,,,
82049811809380,Lacc,0.004,-0.010,-0.034,
82049810689380,Gyro,0.017,-0.002,-0.000,
82049811809380,acc,0.171,0.777,9.744,
82049811809380,GameRo,0.022,-0.034,-0.706,0.707
82049830390318,Gyro,0.010,0.000,0.000,
82049831510318,acc,0.167,0.782,9.771,
82049831510318,Lacc,0.000,-0.007,-0.006,
82049831510318,GameRo,0.022,-0.034,-0.706,0.707
82049846481932,pre,995.232,,,
82049851211307,acc,0.173,0.784,9.770,
82049850091307,Gyro,-0.003,-0.001,0.001,
82049851211307,Lacc,0.006,-0.004,-0.007,
82049851211307,GameRo,0.022,-0.034,-0.706,0.707
82049869792245,Gyro,-0.014,-0.003,0.001,
82049870912245,acc,0.171,0.782,9.744,
82049870912245,Lacc,0.003,-0.004,-0.034,
82049870912245,GameRo,0.022,-0.034,-0.706,0.707
82049886482349,pre,995.230,,,
82049890613234,Lacc,0.004,0.006,-0.061,
82049890613234,acc,0.173,0.789,9.716,
82049890613234,GameRo,0.022,-0.034,-0.706,0.707
82049889493234,Gyro,-0.011,-0.009,0.002,
82049910314172,Lacc,0.010,-0.020,-0.173,
82049910314172,acc,0.185,0.765,9.604,
82049909194172,Gyro,0.008,-0.027,0.001,
82049910314172,GameRo,0.022,-0.035,-0.706,0.707
82049926477714,pre,995.234,,,
82049928895109,Gyro,0.030,-0.081,0.006,
82049930015109,acc,0.188,0.777,9.659,
82049930015109,Lacc,-0.002,-0.014,-0.117,
82049930015109,GameRo,0.022,-0.035,-0.706,0.707
82049949716099,acc,0.196,0.802,9.826,
82049948596099,Gyro,0.039,-0.090,0.006,
82049949716099,Lacc,-0.011,0.004,0.051,
82049949716099,GameRo,0.021,-0.036,-0.706,0.707
82049966474224,pre,995.224,,,
82049968297037,Gyro,0.026,-0.035,0.001,
82049969417037,acc,0.211,0.809,9.884,
82049969417037,Lacc,-0.004,0.006,0.109,
82049969417037,GameRo,0.021,-0.037,-0.706,0.707
82049987997974,Gyro,-0.007,-0.001,-0.001,
82049989117974,Lacc,0.001,-0.002,0.038,
82049989117974,GameRo,0.021,-0.037,-0.706,0.707
82049989117974,acc,0.215,0.800,9.813,
82050006484120,pre,995.196,,,
82050007698964,Gyro,-0.033,0.001,-0.002,
82050008818964,acc,0.215,0.796,9.752,
82050008818964,Lacc,0.000,0.001,-0.023,
82050008818964,GameRo,0.021,-0.036,-0.706,0.707
82050028519901,acc,0.222,0.782,9.729,
82050028519901,Lacc,0.008,-0.007,-0.047,
82050028519901,GameRo,0.021,-0.036,-0.706,0.707
82050027399901,Gyro,-0.033,-0.000,-0.002,
82050046491099,pre,995.214,,,
82050048220891,Lacc,0.005,-0.001,-0.067,
82050047100891,Gyro,-0.017,0.000,-0.000,
82050048220891,GameRo,0.021,-0.036,-0.706,0.707
82050048220891,acc,0.220,0.784,9.709,
82050066801828,Gyro,0.009,-0.002,0.000,
82050067921828,acc,0.214,0.793,9.720,
82050067921828,Lacc,-0.001,0.005,-0.056,
82050067921828,GameRo,0.021,-0.036,-0.706,0.707
82050086483078,pre,995.232,,,
82050086502766,Gyro,0.024,-0.001,-0.001,
82050087622766,Lacc,0.004,-0.005,-0.053,
82050087622766,acc,0.218,0.787,9.723,
82050087622766,GameRo,0.021,-0.036,-0.706,0.707
82050106203703,Gyro,0.039,-0.003,-0.001,
82050107323703,acc,0.218,0.791,9.712,
82050107323703,Lacc,0.003,-0.008,-0.063,
82050107323703,GameRo,0.021,-0.037,-0.706,0.707
82050126482297,pre,995.222,,,
82050125904693,Gyro,0.052,-0.035,0.003,
82050127024693,acc,0.239,0.781,9.553,
82050127024693,Lacc,0.016,-0.028,-0.221,
82050127024693,GameRo,0.021,-0.037,-0.706,0.707
82050146725630,Lacc,0.006,-0.017,-0.160,
82050146725630,acc,0.257,0.807,9.612,
82050145605630,Gyro,0.077,-0.147,0.010,
82050146725630,GameRo,0.021,-0.039,-0.706,0.707
82050166474328,pre,995.245,,,
82050165306620,Gyro,0.097,-0.209,0.021,
82050166426620,acc,0.304,0.803,9.655,
82050166426620,Lacc,0.013,-0.040,-0.114,
82050166426620,GameRo,0.020,-0.041,-0.706,0.707
82050186127557,acc,0.331,0.833,9.687,
82050185007557,Gyro,0.084,-0.205,0.024,
82050186127557,Lacc,0.000,-0.025,-0.079,
82050186127557,GameRo,0.019,-0.043,-0.706,0.707
82050206481307,pre,995.234,,,
82050205828495,Lacc,0.063,-0.092,-0.074,
82050204708495,Gyro,0.114,-0.184,0.045,
82050205828495,acc,0.431,0.788,9.689,
82050205828495,GameRo,0.019,-0.045,-0.706,0.707
82050224409484,Gyro,0.218,-0.148,-0.040,
82050225529484,acc,1.704,1.102,10.184,
82050225529484,Lacc,1.308,0.179,0.426,
82050225529484,GameRo,0.019,-0.048,-0.706,0.707
82050246473807,pre,995.227,,,
82050244110422,Gyro,0.227,-0.042,-0.205,
82050245230422,acc,1.369,0.518,9.583,
82050245230422,Lacc,0.968,-0.450,-0.171,
82050245230422,GameRo,0.020,-0.049,-0.707,0.705
82050263811359,Gyro,0.108,0.112,-0.140,
82050264931359,acc,0.498,-0.187,9.560,
82050264931359,Lacc,0.122,-1.177,-0.193,
82050264931359,GameRo,0.022,-0.049,-0.708,0.704
82050286475005,pre,995.217,,,
82050283512297,Gyro,0.042,0.240,0.007,
82050284632297,acc,0.701,-0.093,9.669,
82050284632297,Lacc,0.371,-1.090,-0.085,
82050284632297,GameRo,0.024,-0.048,-0.708,0.704
82050303213287,Gyro,0.114,0.252,0.028,
82050304333287,acc,1.449,0.359,9.772,
82050304333287,Lacc,1.167,-0.660,0.019,
82050304333287,GameRo,0.026,-0.047,-0.708,0.705
82050326482818,pre,995.245,,,
82050322914224,Gyro,0.214,0.259,-0.102,
82050324034224,acc,1.994,0.749,9.359,
82050324034224,Lacc,1.763,-0.311,-0.391,
82050324034224,GameRo,0.030,-0.047,-0.708,0.704
82050342615162,Gyro,0.164,0.290,-0.205,
82050343735162,acc,1.578,0.713,8.622,
82050343735162,Lacc,1.406,-0.379,-1.125,
82050343735162,GameRo,0.033,-0.046,-0.709,0.703
82050366477141,pre,995.242,,,
82050362316151,Gyro,-0.001,0.289,-0.198,
82050363436151,acc,1.058,0.775,8.427,
82050363436151,Lacc,0.945,-0.318,-1.322,
82050363436151,GameRo,0.035,-0.044,-0.711,0.701
82050382017089,Gyro,-0.139,0.202,-0.195,
82050383137089,acc,0.966,1.087,8.355,
82050383137089,Lacc,0.897,0.021,-1.397,
82050383137089,GameRo,0.036,-0.041,-0.712,0.700
82050406485162,pre,995.194,,,
82050401718026,Gyro,-0.242,-0.038,-0.332,
82050402838026,acc,1.211,1.415,8.316,
82050402838026,Lacc,1.141,0.395,-1.441,
82050402838026,GameRo,0.034,-0.040,-0.714,0.698
82050421418964,Gyro,-0.315,-0.268,-0.504,
82050422538964,acc,0.848,1.163,8.742,
82050422538964,Lacc,0.736,0.202,-1.020,
82050422538964,GameRo,0.030,-0.039,-0.718,0.694
82050446481776,pre,995.196,,,
82050441119953,Gyro,-0.313,-0.396,-0.569,
82050442239953,acc,0.440,0.657,9.600,
82050442239953,Lacc,0.262,-0.245,-0.167,
82050442239953,GameRo,0.025,-0.040,-0.722,0.690
82050461940891,acc,0.251,0.397,10.076,
82050460820891,Gyro,-0.261,-0.319,-0.537,
82050461940891,Lacc,0.020,-0.457,0.306,
82050461940891,GameRo,0.021,-0.040,-0.726,0.686
82050486482818,pre,995.201,,,
82050481641828,Lacc,-0.022,-0.363,0.246,
82050480521828,Gyro,-0.268,-0.144,-0.494,
82050481641828,GameRo,0.019,-0.039,-0.729,0.683
82050481641828,acc,0.228,0.442,10.019,
82050500222766,Gyro,-0.296,-0.025,-0.477,
82050501342766,acc,0.203,0.472,9.748,
82050501342766,Lacc,-0.044,-0.278,-0.030,
