Timestamp,Sensor,X,Y,Z,W
96733250773972,pre,996.233276,,,
96733246974972,Gyro,0.089927,-0.017959,0.040041,
96733266887972,Gyro,0.020885,-0.027670,-0.069042,
96733276867222,Gyro,0.032459,-0.041505,-0.116400,
96733296825722,Gyro,0.077821,-0.064785,-0.078221,
96733316761222,Gyro,0.108817,-0.036583,-0.036849,
96733336673722,Gyro,0.110014,-0.023679,-0.023280,
96733383677972,pre,996.244507,,,
96733356563472,Gyro,0.112409,-0.026340,-0.005454,
96733376430472,Gyro,0.088198,-0.014101,0.016895,
96733376430472,Lacc,0.054585,0.128142,-0.010587,
96733376430472,GameRo,-0.014058,0.025075,-0.706662,0.706967
96733391124972,pre,996.239258,,,
96733406413972,pre,996.233276,,,
96733421702972,pre,996.244507,,,
96733396343222,Gyro,0.089129,-0.028468,0.018491,
96733416301722,Gyro,0.105890,-0.033390,0.034321,
96733396343222,Lacc,0.039472,0.028857,-0.023824,
96733396343222,GameRo,-0.012951,0.023493,-0.706535,0.707169
96733416301722,Lacc,0.049551,0.025047,-0.026117,
96733416301722,GameRo,-0.012951,0.023493,-0.706535,0.707169
96733437114972,pre,996.242981,,,
96733460093972,pre,996.246033,,,
96733436237222,Gyro,0.082078,-0.050019,0.032858,
96733456149722,Gyro,0.127840,-0.042303,-0.057867,
96733436237222,Lacc,-0.054794,0.102477,-0.028841,
96733436237222,GameRo,-0.012095,0.021598,-0.706097,0.707682
96733456149722,Lacc,0.004740,0.103991,0.003466,
96733456149722,GameRo,-0.012095,0.021598,-0.706097,0.707682
96733475413972,pre,996.243774,,,
96733490733972,pre,996.246033,,,
96733476047222,Gyro,0.188767,-0.043633,-0.099771,
96733495929722,Gyro,0.290001,-0.042968,-0.107886,
96733507396972,pre,996.249756,,,
96733476047222,Lacc,0.063879,-0.061474,-0.080695,
96733476047222,GameRo,-0.010951,0.019080,-0.706859,0.707013
96733495929722,Lacc,0.025971,-0.076491,-0.190878,
96733495929722,GameRo,-0.010951,0.019081,-0.706859,0.707013
96733521342972,pre,996.233276,,,
96733536662972,pre,996.256531,,,
96733515842472,Gyro,0.394828,-0.056404,-0.111079,
96733535785472,Gyro,0.431144,-0.082477,-0.134491,
96733515842472,Lacc,0.113803,-0.145486,-0.235444,
96733515842472,GameRo,-0.007543,0.014328,-0.708461,0.705564
96733535785472,Lacc,0.085694,0.078270,-0.066496,
96733535785472,GameRo,-0.007543,0.014328,-0.708461,0.705564
96733551860972,pre,996.238525,,,
96733567180972,pre,996.240784,,,
96733582560972,pre,996.242249,,,
96733555713472,Gyro,0.528787,-0.079551,-0.140744,
96733575626472,Gyro,0.597962,-0.082877,-0.183313,
96733555713472,Lacc,-0.133220,-0.205767,-0.086896,
96733555713472,GameRo,-0.002300,0.006805,-0.710503,0.703657
96733575626472,Lacc,-0.223071,0.007879,-0.030606,
96733575626472,GameRo,-0.002300,0.006806,-0.710503,0.703657
96733597880972,pre,996.242981,,,
96733613200972,pre,996.249756,,,
96733595539222,Gyro,0.520672,-0.090060,-0.372612,
96733615451722,Gyro,1.006225,0.041505,-0.176927,
96733595539222,Lacc,-0.220892,-0.081859,0.022790,
96733595539222,GameRo,0.004645,-0.002534,-0.713436,0.700700
96733615451722,Lacc,0.831170,-0.493929,-0.302995,
96733615451722,GameRo,0.004640,-0.002535,-0.713436,0.700700
96733628398972,pre,996.249756,,,
96733643809972,pre,996.242981,,,
96733659129972,pre,996.246033,,,
96733635364472,Gyro,1.005028,0.035385,-0.031395,
96733655277472,Gyro,0.676315,-0.005188,-0.008913,
96733635364472,Lacc,0.201536,0.103914,-0.262775,
96733635364472,GameRo,0.017130,-0.014958,-0.716137,0.697589
96733655277472,Lacc,-0.233354,0.983590,0.078373,
96733655277472,GameRo,0.017134,-0.014961,-0.716137,0.697589
96733674418972,pre,996.242981,,,
96733689738972,pre,996.240784,,,
96733675167222,Gyro,0.356515,-0.019954,-0.117198,
96733695033722,Gyro,0.269382,-0.014899,-0.087000,
96733705943972,pre,996.243774,,,
96733675167222,Lacc,0.009791,0.176873,0.274991,
96733675167222,GameRo,0.026367,-0.024395,-0.716320,0.696847
96733695033722,Lacc,0.107414,0.055117,0.274922,
96733695033722,GameRo,0.026367,-0.024396,-0.716320,0.696847
96733720347972,pre,996.248230,,,
96733735667972,pre,996.242981,,,
96733714946222,Gyro,0.218432,0.008780,-0.101101,
96733734904722,Gyro,0.238253,0.003991,-0.079684,
96733714946222,Lacc,0.072579,-0.065012,0.135849,
96733714946222,GameRo,0.029819,-0.028150,-0.717596,0.695252
96733734904722,Lacc,0.042478,-0.248800,0.127254,
96733734904722,GameRo,0.029818,-0.028149,-0.717596,0.695252
96733750956972,pre,996.249023,,,
96733766154972,pre,996.250488,,,
96733754840472,Gyro,0.260735,-0.004257,-0.077555,
96733774753472,Gyro,0.312350,0.018358,-0.095913,
96733754840472,Lacc,0.033021,-0.301526,0.126408,
96733754840472,GameRo,0.033190,-0.031362,-0.718655,0.693866
96733774753472,Lacc,0.276629,-0.349232,-0.162359,
96733774753472,GameRo,0.033186,-0.031361,-0.718655,0.693866
96733789195972,pre,996.251282,,,
96733804545972,pre,996.246765,,,
96733819896972,pre,996.248230,,,
96733794666222,Gyro,0.477704,0.073698,-0.078221,
96733814578722,Gyro,0.765178,0.109615,-0.031661,
96733794666222,Lacc,0.407309,-1.148753,-0.499824,
96733794666222,GameRo,0.038085,-0.035667,-0.719671,0.692352
96733814578722,Lacc,1.070092,-1.184753,-0.660674,
96733814578722,GameRo,0.038070,-0.035667,-0.719671,0.692353
96733835185972,pre,996.248230,,,
96733850505972,pre,996.238525,,,
96733834491472,Gyro,1.236098,0.174267,0.025674,
96733854404472,Gyro,1.600329,0.098042,0.264726,
96733834491472,Lacc,1.154595,-1.303942,-0.824365,
96733865794972,pre,996.236267,,,
96733834491472,GameRo,0.050793,-0.045550,-0.719310,0.691331
96733854404472,Lacc,1.390102,-1.429836,-1.952426,
96733854404472,GameRo,0.050772,-0.045552,-0.719310,0.691333
96733881114972,pre,996.245239,,,
96733896434972,pre,996.246765,,,
96733874294472,Gyro,1.158143,0.123051,0.300511,
96733894161472,Gyro,-0.514686,0.156973,0.022482,
96733874294472,Lacc,1.630513,-0.501303,-1.540673,
96733874294472,GameRo,0.074253,-0.065505,-0.713778,0.693337
96733894161472,Lacc,1.910011,0.320740,-0.995661,
96733894161472,GameRo,0.074242,-0.065524,-0.713777,0.693338
96733911723972,pre,996.246765,,,
96733927043972,pre,996.251282,,,
96733942363972,pre,996.252747,,,
96733914104722,Gyro,-1.175171,0.161895,0.122918,
96733934124222,Gyro,-0.667402,-0.021817,0.107620,
96733914104722,Lacc,0.904669,-1.120001,-1.189590,
96733914104722,GameRo,0.070142,-0.057936,-0.713078,0.695158
96733934124222,Lacc,0.436823,-2.395635,-0.804772,
96733934124222,GameRo,0.070119,-0.057920,-0.713079,0.695159
96733957652972,pre,996.252014,,,
96733972941972,pre,996.250488,,,
96733954059722,Gyro,-0.795375,-0.133294,0.156441,
96733973911222,Gyro,-1.486457,-0.090326,0.090060,
