Timestamp,Sensor,X,Y,Z,W
86644957254965,acc,0.692,-0.499,9.779,
86644957254965,Gyro,0.019,0.027,-0.000,
86644977151165,acc,0.691,-0.487,9.697,
86644977151165,Gyro,0.009,0.087,0.003,
86644977151165,Lacc,0.009,0.010,-0.076,
86644977151165,GameRo,-0.025,-0.035,0.001,0.999
86644996994996,acc,0.672,-0.483,9.797,
86644996994996,Gyro,0.003,0.100,0.005,
86644996994996,Lacc,0.012,0.014,0.022,
86644996994996,GameRo,-0.025,-0.034,0.001,0.999
86645002184206,pre,995.263,,,
86645016892214,acc,0.657,-0.486,9.744,
86645016892214,Gyro,-0.005,0.114,0.009,
86645016892214,Lacc,0.018,0.011,-0.033,
86645016892214,GameRo,-0.025,-0.033,0.001,0.999
86645027221965,pre,995.260,,,
86645036762574,acc,0.624,-0.492,9.780,
86645036762574,Gyro,0.001,0.072,0.010,
86645036762574,Lacc,0.004,0.006,0.002,
86645036762574,GameRo,-0.025,-0.032,0.001,0.999
86645052275717,pre,995.269,,,
86645056632448,acc,0.607,-0.490,9.761,
86645056632448,Gyro,0.012,0.013,0.004,
86645056632448,Lacc,-0.008,0.007,-0.017,
86645056632448,GameRo,-0.025,-0.031,0.001,0.999
86645076502320,acc,0.596,-0.494,9.736,
86645076502320,Gyro,0.021,0.002,-0.001,
86645076502320,Lacc,-0.019,-0.002,-0.043,
86645076502320,GameRo,-0.025,-0.031,0.001,0.999
86645077330039,pre,995.281,,,
86645096373618,acc,0.620,-0.480,9.741,
86645096373618,Gyro,0.026,0.004,-0.003,
86645096373618,Lacc,0.005,0.008,-0.038,
86645096373618,GameRo,-0.025,-0.031,0.001,0.999
86645102408815,pre,995.278,,,
86645116244020,acc,0.618,-0.477,9.757,
86645116244020,Gyro,0.025,0.007,-0.005,
86645116244020,Lacc,0.005,0.006,-0.022,
86645116244020,GameRo,-0.025,-0.031,0.001,0.999
86645127460491,pre,995.257,,,
86645136114829,acc,0.610,-0.471,9.726,
86645136114829,Gyro,0.022,0.028,-0.003,
86645136114829,Lacc,-0.001,0.008,-0.053,
86645136114829,GameRo,-0.024,-0.031,0.001,0.999
86645152490073,pre,995.236,,,
86645155984620,acc,0.600,-0.472,9.823,
86645155984620,Gyro,0.011,0.029,-0.003,
86645155984620,Lacc,-0.002,0.004,0.043,
86645155984620,GameRo,-0.024,-0.031,0.001,0.999
86645175855104,acc,0.611,-0.474,9.755,
86645175855104,Gyro,0.007,0.006,-0.006,
86645175855104,Lacc,0.010,-0.000,-0.025,
86645175855104,GameRo,-0.024,-0.031,0.001,0.999
86645177569256,pre,995.220,,,
86645195725303,acc,0.576,-0.477,9.846,
86645195725303,Gyro,-0.022,0.007,-0.018,
86645195725303,Lacc,-0.025,-0.003,0.065,
86645195725303,GameRo,-0.024,-0.031,0.001,0.999
86645202621340,pre,995.226,,,
86645215596478,acc,0.597,-0.462,9.522,
86645215596478,Gyro,-0.052,0.085,-0.003,
86645215596478,Lacc,0.004,0.022,-0.258,
86645215596478,GameRo,-0.025,-0.030,0.001,0.999
86645227674644,pre,995.242,,,
86645235466758,acc,0.546,-0.484,9.498,
86645235466758,Gyro,-0.061,0.290,0.008,
86645235466758,Lacc,0.000,0.011,-0.284,
86645235466758,GameRo,-0.025,-0.028,0.001,0.999
86645252708010,pre,995.226,,,
86645255336834,acc,0.437,-0.524,9.795,
86645255336834,Gyro,-0.098,0.330,0.000,
86645255336834,Lacc,-0.046,-0.013,0.010,
86645255336834,GameRo,-0.026,-0.025,0.001,0.999
86645275221275,acc,0.195,-0.503,9.920,
86645275221275,Gyro,-0.145,0.337,-0.008,
86645275221275,Lacc,-0.218,0.034,0.134,
86645275221275,GameRo,-0.027,-0.021,0.000,0.999
