Timestamp,Sensor,X,Y,Z,W
81389356822934,acc,-0.197,-0.148,9.790,
81389376918819,acc,-0.197,-0.147,9.802,
81389397014757,acc,-0.191,-0.151,9.791,
81389400918767,Gyro,-0.034,-0.003,0.001,
81389417110694,acc,-0.192,-0.158,9.752,
81389421014705,Gyro,-0.030,-0.000,-0.001,
81389450255538,pre,995.510,,,
81389437206632,acc,-0.186,-0.161,9.701,
81389441110590,Gyro,0.009,0.003,0.000,
81389457302569,acc,-0.196,-0.155,9.750,
81389461206528,Gyro,0.032,0.000,0.001,
81389490251892,pre,995.467,,,
81389477398507,acc,-0.197,-0.145,9.800,
81389481302465,Gyro,0.023,0.002,-0.001,
81389497494392,acc,-0.192,-0.153,9.791,
81389497494392,Lacc,0.002,0.000,-0.016,
81389501398403,Gyro,0.010,0.002,-0.001,
81389530257101,pre,995.439,,,
81389517590330,acc,-0.187,-0.148,9.768,
81389517590330,Lacc,0.007,0.003,-0.040,
81389517590330,GameRo,-0.008,0.010,-0.000,1.000
81389521494340,Gyro,0.011,0.002,0.000,
81389537686267,acc,-0.190,-0.145,9.763,
81389537686267,Lacc,0.005,0.003,-0.044,
81389537686267,GameRo,-0.008,0.010,0.000,1.000
81389541590226,Gyro,0.016,-0.001,0.002,
81389570242465,pre,995.423,,,
81389557782205,acc,-0.196,-0.139,9.769,
81389557782205,Lacc,-0.001,0.003,-0.039,
81389557782205,GameRo,-0.007,0.010,0.000,1.000
81389561686163,Gyro,0.027,-0.001,0.001,
81389577878090,acc,-0.198,-0.132,9.782,
81389577878090,Lacc,-0.004,0.007,-0.025,
81389577878090,GameRo,-0.007,0.010,0.000,1.000
81389581782101,Gyro,0.018,-0.000,-0.000,
81389597974028,acc,-0.193,-0.127,9.765,
81389610243455,pre,995.439,,,
81389597974028,Lacc,0.001,0.008,-0.042,
81389597974028,GameRo,-0.007,0.010,0.000,1.000
81389601877986,Gyro,0.020,-0.001,0.000,
81389617775642,acc,-0.191,-0.130,9.766,
81389617775642,Lacc,0.003,0.001,-0.041,
81389617775642,GameRo,-0.007,0.010,0.000,1.000
81389621581111,Gyro,0.022,-0.001,0.001,
81389637477622,acc,-0.191,-0.121,9.777,
81389637477622,Lacc,0.003,0.005,-0.030,
81389637477622,GameRo,-0.007,0.010,0.000,1.000
81389650244184,pre,995.411,,,
81389641283090,Gyro,0.021,-0.001,0.001,
81389657179549,acc,-0.197,-0.118,9.788,
81389657179549,Lacc,-0.003,0.005,-0.020,
81389657179549,GameRo,-0.006,0.010,0.000,1.000
81389660985069,Gyro,0.016,-0.000,0.001,
81389676881528,acc,-0.194,-0.109,9.778,
81389676881528,Lacc,0.000,0.012,-0.029,
81389676881528,GameRo,-0.006,0.010,0.000,1.000
81389680686997,Gyro,0.008,-0.000,0.001,
81389690231944,pre,995.423,,,
81389696583507,acc,-0.192,-0.111,9.769,
81389696583507,Lacc,0.002,0.009,-0.039,
81389696583507,GameRo,-0.006,0.010,0.000,1.000
81389700388976,Gyro,0.008,0.001,0.001,
81389716285434,acc,-0.191,-0.113,9.778,
81389716285434,Lacc,0.003,0.005,-0.029,
81389716285434,GameRo,-0.006,0.010,0.000,1.000
81389730243299,pre,995.416,,,
81389720090955,Gyro,0.010,0.000,0.001,
81389735987413,Lacc,-0.004,0.004,-0.046,
81389735987413,acc,-0.198,-0.112,9.762,
81389735987413,GameRo,-0.006,0.010,0.000,1.000
81389739792882,Gyro,0.013,-0.000,0.001,
81389755689340,acc,-0.198,-0.113,9.779,
81389755689340,Lacc,-0.004,0.000,-0.028,
81389755689340,GameRo,-0.006,0.010,0.000,1.000
81389770243351,pre,995.411,,,
81389759494861,Gyro,0.012,0.001,-0.001,
81389775391319,acc,-0.191,-0.109,9.779,
81389775391319,Lacc,0.003,0.003,-0.028,
81389775391319,GameRo,-0.006,0.010,0.000,1.000
81389779196788,Gyro,0.001,0.001,-0.002,
81389795093247,acc,-0.194,-0.102,9.776,
81389795093247,Lacc,0.001,0.010,-0.032,
81389795093247,GameRo,-0.006,0.010,0.000,1.000
81389810246424,pre,995.411,,,
81389798898767,Gyro,-0.001,0.001,-0.002,
81389814795226,acc,-0.197,-0.108,9.760,
81389814795226,Lacc,-0.002,0.004,-0.047,
81389814795226,GameRo,-0.006,0.010,0.000,1.000
81389818600694,Gyro,0.006,0.001,-0.001,
81389834497153,Lacc,-0.004,0.004,-0.044,
81389834497153,GameRo,-0.006,0.010,0.000,1.000
81389834497153,acc,-0.198,-0.106,9.764,
81389838302674,Gyro,0.011,-0.000,-0.001,
81389850252153,pre,995.393,,,
81389854199132,acc,-0.197,-0.108,9.764,
81389854199132,Lacc,-0.002,-0.002,-0.044,
81389854199132,GameRo,-0.006,0.010,0.000,1.000
81389858004601,Gyro,0.019,-0.000,-0.000,
81389873901111,acc,-0.196,-0.099,9.800,
81389873901111,Lacc,-0.002,0.005,-0.008,
81389873901111,GameRo,-0.005,0.010,0.000,1.000
81389877706580,Gyro,0.011,-0.000,-0.001,
81389890242986,pre,995.403,,,
81389893603038,acc,-0.196,-0.099,9.790,
81389893603038,Lacc,-0.002,0.005,-0.017,
81389893603038,GameRo,-0.005,0.010,0.000,1.000
81389897408507,Gyro,-0.004,-0.001,-0.001,
81389913304965,acc,-0.197,-0.106,9.779,
81389913304965,Lacc,-0.003,0.000,-0.028,
81389913304965,GameRo,-0.006,0.010,0.000,1.000
81389917110486,Gyro,-0.012,-0.002,-0.001,
81389930240486,pre,995.388,,,
81389933006944,acc,-0.191,-0.105,9.775,
81389933006944,Lacc,0.002,0.003,-0.033,
81389933006944,GameRo,-0.006,0.010,-0.000,1.000
81389936812413,Gyro,-0.011,-0.000,-0.001,
81389952708872,acc,-0.185,-0.100,9.769,
81389952708872,Lacc,0.008,0.009,-0.039,
81389952708872,GameRo,-0.006,0.010,-0.000,1.000
81389956514392,Gyro,-0.003,-0.001,-0.001,
81389970252934,pre,995.352,,,
81389972410851,acc,-0.185,-0.103,9.803,
81389972410851,Lacc,0.008,0.007,-0.004,
81389972410851,GameRo,-0.006,0.010,-0.000,1.000
81389976216319,Gyro,-0.014,-0.001,-0.001,
81389992112778,acc,-0.191,-0.112,9.818,
81389992112778,Lacc,0.002,0.006,0.010,
81389992112778,GameRo,-0.006,0.010,-0.000,1.000
81389995918247,Gyro,-0.041,-0.001,0.001,
81390010246163,pre,995.401,,,
81390011814705,acc,-0.193,-0.124,9.799,
81390011814705,Lacc,0.001,0.004,-0.009,
81390011814705,GameRo,-0.007,0.010,0.000,1.000
81390015620226,Gyro,-0.059,0.002,0.002,
81390031516684,Lacc,0.001,0.002,-0.007,
81390031516684,acc,-0.192,-0.139,9.800,
81390031516684,GameRo,-0.007,0.010,0.000,1.000
81390035322153,Gyro,-0.075,0.003,0.004,
81390050248767,pre,995.411,,,
81390051218611,acc,-0.195,-0.145,9.789,
81390051218611,Lacc,-0.001,0.014,-0.018,
81390051218611,GameRo,-0.008,0.010,0.000,1.000
81390055024080,Gyro,-0.093,0.001,0.006,
81390070920538,acc,-0.190,-0.166,9.754,
81390070920538,Lacc,0.005,0.008,-0.052,
81390070920538,GameRo,-0.009,0.010,0.000,1.000
81390074726059,Gyro,-0.077,0.003,0.005,
81390090247465,pre,995.405,,,
81390090622517,acc,-0.199,-0.176,9.691,
81390090622517,Lacc,-0.004,0.013,-0.115,
81390090622517,GameRo,-0.010,0.010,0.000,1.000
81390094427986,Gyro,-0.058,-0.002,0.007,
81390110324444,Lacc,-0.002,0.008,-0.291,
81390110324444,acc,-0.196,-0.171,9.516,
81390110324444,GameRo,-0.009,0.010,0.000,1.000
81390114129913,Gyro,0.092,-0.001,0.009,
81390130251372,pre,995.393,,,
81390130026372,Lacc,0.008,-0.007,-0.249,
81390130026372,GameRo,-0.007,0.010,0.000,1.000
81390130026372,acc,-0.186,-0.148,9.559,
81390133831892,Gyro,0.235,-0.002,0.009,
81390149728299,acc,-0.051,-0.277,9.398,
81390149728299,Lacc,0.135,-0.195,-0.409,
81390149728299,GameRo,-0.004,0.009,0.001,1.000
81390153533819,Gyro,0.307,-0.082,0.058,
81390170252309,pre,995.408,,,
81390169430278,Lacc,0.129,-0.213,-0.456,
81390169430278,GameRo,-0.002,0.007,0.002,1.000
81390169430278,acc,-0.004,-0.243,9.354,
81390173235747,Gyro,0.244,-0.337,0.155,
81390189118455,acc,1.199,0.489,10.236,
81390189118455,Lacc,1.252,0.474,0.426,
81390189118455,GameRo,0.001,0.003,0.003,1.000
81390192937674,Gyro,0.259,-0.421,0.085,
81390210237205,pre,995.372,,,
81390208834132,acc,1.690,0.638,10.748,
81390208834132,Lacc,1.651,0.543,0.938,
81390208834132,GameRo,0.005,-0.002,0.002,1.000
81390212639601,Gyro,0.465,-0.495,-0.233,
81390228536059,acc,1.683,-0.959,10.878,
81390228536059,Lacc,1.548,-1.168,1.071,
81390228536059,GameRo,0.011,-0.007,-0.002,1.000
81390232341528,Gyro,0.621,-0.474,-0.433,
81390250243507,pre,995.421,,,
81390248237986,Lacc,1.036,-1.457,1.165,
81390248237986,GameRo,0.018,-0.011,-0.007,1.000
81390248237986,acc,1.248,-1.108,10.966,
81390252043507,Gyro,0.747,-0.427,-0.540,
81390267939913,acc,0.105,-1.175,10.597,
81390267939913,Lacc,-0.188,-1.669,0.804,
81390267939913,GameRo,0.025,-0.015,-0.010,1.000
81390271745434,Gyro,0.679,-0.372,-0.181,
81390290242153,pre,995.416,,,
81390287641892,acc,0.569,-0.579,9.615,
81390287641892,Lacc,0.259,-1.133,-0.175,
81390287641892,GameRo,0.028,-0.016,-0.009,0.999
81390291447361,Gyro,0.182,-0.014,0.191,
81390307343819,acc,0.993,0.400,9.106,
81390307343819,Lacc,0.697,-0.125,-0.685,
81390307343819,GameRo,0.027,-0.015,-0.007,1.000
81390311149288,Gyro,-0.221,0.099,0.215,
81390330252153,pre,995.403,,,
81390327045747,acc,1.018,0.301,8.307,
81390327045747,Lacc,0.720,-0.139,-1.489,
81390327045747,GameRo,0.022,-0.015,-0.005,1.000
81390330851215,Gyro,-0.516,-0.083,0.235,
81390346747674,acc,1.117,0.377,8.748,
81390346747674,Lacc,0.751,0.087,-1.051,
81390346747674,GameRo,0.015,-0.019,-0.001,1.000
81390350553142,Gyro,-0.816,-0.376,0.387,
81390370248767,pre,995.403,,,
81390366435903,acc,1.851,0.925,10.652,
81390366435903,Lacc,1.428,0.791,0.852,
81390366435903,GameRo,0.007,-0.022,0.001,1.000
81390370255069,Gyro,-0.747,-0.201,0.240,
81390386151528,acc,1.156,0.580,10.703,
81390386151528,Lacc,0.749,0.550,0.901,
81390386151528,GameRo,0.001,-0.021,0.001,1.000
81390389956997,Gyro,-0.470,0.170,-0.040,
81390410242934,pre,995.367,,,
81390405853455,acc,0.304,0.372,9.453,
81390405853455,Lacc,-0.049,0.406,-0.351,
81390405853455,GameRo,-0.002,-0.018,0.000,1.000
81390409658924,Gyro,-0.309,0.264,-0.154,
81390425555382,acc,0.122,0.465,9.209,
81390425555382,Lacc,-0.205,0.549,-0.595,
81390425555382,GameRo,-0.004,-0.017,-0.002,1.000
81390429360851,Gyro,-0.265,0.064,-0.239,
81390450243663,pre,995.423,,,
81390445257309,acc,0.108,0.082,9.237,
81390445257309,Lacc,-0.263,0.224,-0.565,
