Timestamp,Sensor,X,Y,Z,W
95451668464322,Gyro,-0.121987,-0.041904,0.102964,
95451688646638,Gyro,-0.118927,-0.042968,0.116799,
95451708687066,Gyro,-0.048156,-0.025541,0.085803,
95451745239073,pre,996.161987,,,
95451728826264,Gyro,0.008248,-0.003459,0.032592,
95451749064232,Gyro,0.007450,0.007716,0.005055,
95451761415505,pre,996.161255,,,
95451775726601,pre,996.165771,,,
95451791383185,pre,996.158997,,,
95451769274374,Gyro,-0.025275,0.011573,-0.004922,
95451789456690,Gyro,-0.027271,0.021418,-0.005454,
95451799547847,Lacc,-0.011380,0.041470,-0.029549,
95451799547847,GameRo,-0.003037,-0.014832,0.000000,0.999885
95451807162086,pre,996.154480,,,
95451822788091,pre,996.164246,,,
95451838352937,pre,996.158997,,,
95451809639006,Gyro,-0.024743,0.023546,-0.013303,
95451829821322,Gyro,-0.055739,0.021684,-0.023546,
95451854009522,pre,996.161255,,,
95451869635527,pre,996.158997,,,
95451849995992,Gyro,-0.083010,0.011041,-0.003060,
95451870163017,Gyro,-0.113074,0.001463,0.013170,
95451885383848,pre,996.160522,,,
95451819730163,Lacc,-0.032018,0.083755,0.029609,
95451819730163,GameRo,-0.003684,-0.014481,-0.000154,0.999888
95451839912479,Lacc,0.020132,0.016477,-0.007243,
95451839912479,GameRo,-0.003684,-0.014481,-0.000154,0.999888
95451860079504,Lacc,0.018450,0.008662,-0.001238,
95451860079504,GameRo,-0.004495,-0.014019,-0.000609,0.999892
95451901071012,pre,996.161987,,,
95451916727596,pre,996.166504,,,
95451890368267,Gyro,-0.072766,0.001596,0.017161,
95451910611743,Gyro,0.015564,0.003858,0.032459,
95451900490004,Lacc,0.033626,-0.115252,-0.174996,
95451900490004,GameRo,-0.004495,-0.014019,-0.000609,0.999892
95451920733479,Lacc,0.005954,-0.107091,-0.155129,
95451920733479,GameRo,-0.004495,-0.014019,-0.000609,0.999892
95451932384180,pre,996.164246,,,
95451947918448,pre,996.165039,,,
95451930816993,Gyro,0.095647,0.007583,0.033789,
95451950984018,Gyro,0.089794,-0.005454,0.057069,
95451940900504,Lacc,0.029366,0.036148,-0.023041,
95451940900504,GameRo,-0.005930,-0.013906,0.000274,0.999886
95451963697349,pre,996.167236,,,
95451961067529,Lacc,0.011337,0.111704,0.092463,
95451961067529,GameRo,-0.005930,-0.013906,0.000274,0.999886
95451979262195,pre,996.161255,,,
95451995010517,pre,996.157532,,,
95451971158688,Gyro,0.001463,-0.023014,0.068509,
95451991341004,Gyro,-0.075028,-0.025541,0.026207,
95451981249845,Lacc,-0.063724,0.055115,0.061053,
95452010636521,pre,996.162781,,,
95451981249845,GameRo,-0.003813,-0.013869,0.001208,0.999896
95452001432161,Lacc,-0.022424,-0.028642,-0.028739,
95452001432161,GameRo,-0.003814,-0.013869,0.001208,0.999896
95452026323685,pre,996.156006,,,
95452011500385,Gyro,-0.085670,-0.021285,0.005587,
95452031636830,Gyro,-0.095647,-0.029931,0.034454,
95452021568609,Lacc,0.051810,-0.028667,-0.012215,
95452021568609,GameRo,-0.004994,-0.014427,0.002148,0.999881
95452043019965,pre,996.165771,,,
95452041705056,Lacc,0.013770,-0.017289,-0.019263,
95452041705056,GameRo,-0.004994,-0.014427,0.002148,0.999881
95452066260206,pre,996.164246,,,
95452051819145,Gyro,-0.099771,-0.033257,0.038578,
95452072047330,Gyro,-0.072234,-0.025807,0.035519,
95452061933240,Lacc,0.008880,-0.016689,-0.071000,
95452083812705,pre,996.161987,,,
95452061933240,GameRo,-0.006820,-0.014946,0.002555,0.999862
95452082161425,Lacc,0.023966,-0.081233,-0.100695,
95452082161425,GameRo,-0.006820,-0.014946,0.002555,0.999862
95452098735387,pre,996.165039,,,
95452114391971,pre,996.162781,,,
95452092252580,Gyro,-0.014899,-0.016762,0.033656,
95452112434896,Gyro,0.034454,-0.012505,0.059597,
95452102343739,Lacc,0.067785,-0.077401,-0.108122,
95452102343739,GameRo,-0.008589,-0.015538,0.003282,0.999837
95452122526053,Lacc,-0.013631,0.028563,-0.000289,
95452122526053,GameRo,-0.008589,-0.015538,0.003282,0.999837
95452130048555,pre,996.163513,,,
95452146163828,pre,996.165039,,,
95452161361723,pre,996.164246,,,
95452132586632,Gyro,0.009445,-0.016096,0.052014,
95452152707789,Gyro,-0.014101,-0.021817,0.043899,
95452176987728,pre,996.164246,,,
95452142647209,Lacc,-0.014830,0.039522,0.014860,
95452142647209,GameRo,-0.008141,-0.015790,0.004265,0.999833
95452162768366,Lacc,0.020845,-0.030686,-0.052135,
95452162768366,GameRo,-0.008142,-0.015790,0.004265,0.999833
95452192674891,pre,996.165039,,,
95452172882459,Gyro,0.006385,-0.021950,0.046560,
95452193110644,Gyro,0.015830,-0.022349,0.048688,
95452182996550,Lacc,0.004068,-0.011658,-0.043126,
95452182996550,GameRo,-0.008379,-0.016179,0.005150,0.999821
95452203224735,Lacc,-0.020230,0.040555,-0.008307,
95452203224735,GameRo,-0.008379,-0.016179,0.005150,0.999821
95452208239738,pre,996.158997,,,
95452223988060,pre,996.157532,,,
95452239644644,pre,996.160522,,,
95452213315894,Gyro,0.006252,-0.019289,0.030863,
95452233498210,Gyro,0.011174,-0.013436,0.025674,
95452223407051,Lacc,0.001864,0.022256,-0.018387,
95452223407051,GameRo,-0.008065,-0.016621,0.006137,0.999811
95452243589367,Lacc,0.019998,0.013813,-0.008924,
95452243589367,GameRo,-0.008065,-0.016621,0.006137,0.999811
95452255301228,pre,996.160522,,,
95452270957812,pre,996.162781,,,
95452253680526,Gyro,0.016895,-0.004922,0.031528,
95452273862841,Gyro,0.016096,0.002661,-0.003060,
95452263771683,Lacc,-0.041674,0.029899,0.010201,
95452263771683,GameRo,-0.007931,-0.016940,0.006612,0.999803
