Timestamp,Sensor,X,Y,Z,W
85134476807680,acc,-0.079,-0.272,9.441,
85134486730247,Gyro,0.223,0.153,0.002,
85134496649437,acc,0.035,-0.221,9.288,
85134506607728,Gyro,0.222,0.278,0.009,
85134516535626,acc,-0.094,-0.193,9.808,
85134516535626,Lacc,-0.000,0.000,0.001,
85134516535626,GameRo,-0.004,0.010,-0.707,0.707
85134526477805,Gyro,0.192,0.271,0.008,
85134536413596,acc,-0.123,-0.169,10.105,
85134536413596,Lacc,0.022,-0.011,0.297,
85134536413596,GameRo,-0.000,0.011,-0.707,0.707
85134536427227,pre,994.782,,,
85134546324363,Gyro,0.112,0.207,-0.001,
85134556283917,acc,-0.176,-0.167,10.039,
85134556283917,Lacc,0.007,-0.029,0.232,
85134556283917,GameRo,0.002,0.012,-0.707,0.707
85134561458070,pre,994.837,,,
85134566218284,Gyro,0.030,0.117,-0.020,
85134576153749,acc,-0.315,-0.249,10.289,
85134576153749,Lacc,-0.114,-0.114,0.482,
85134576153749,GameRo,0.002,0.012,-0.707,0.707
85134586088034,Gyro,-0.014,-0.054,-0.072,
85134586499167,pre,994.840,,,
85134596023704,acc,-0.127,-0.106,9.890,
85134596023704,Lacc,0.059,0.034,0.083,
85134596023704,GameRo,0.002,0.012,-0.708,0.706
85134605957826,Gyro,-0.051,-0.055,-0.054,
85134611573915,pre,994.809,,,
85134615867697,acc,-0.115,-0.108,9.638,
85134615867697,Lacc,0.061,0.043,-0.169,
85134615867697,GameRo,0.001,0.012,-0.708,0.706
85134625827903,Gyro,-0.060,-0.007,-0.047,
85134635763246,acc,-0.173,-0.176,9.719,
85134635763246,Lacc,0.003,-0.013,-0.088,
85134635763246,GameRo,0.000,0.012,-0.708,0.706
85134636591941,pre,994.773,,,
85134645677308,Gyro,-0.054,0.007,-0.051,
85134655615622,acc,-0.140,-0.108,9.730,
85134655615622,Lacc,0.038,0.066,-0.077,
85134655615622,GameRo,0.000,0.013,-0.709,0.705
85134661643210,pre,994.812,,,
85134665568300,Gyro,-0.047,0.009,-0.025,
85134675502910,acc,-0.083,-0.125,9.671,
85134675502910,Lacc,0.097,0.057,-0.136,
85134675502910,GameRo,-0.000,0.013,-0.709,0.705
85134685437806,Gyro,-0.021,0.021,-0.017,
85134686713848,pre,994.885,,,
85134695373841,acc,-0.096,-0.173,9.869,
85134695373841,Lacc,0.087,0.013,0.063,
85134695373841,GameRo,-0.000,0.013,-0.709,0.705
85134705300111,Gyro,-0.007,-0.019,-0.015,
85134711755067,pre,994.882,,,
85134715242981,acc,-0.137,-0.175,9.769,
85134715242981,Lacc,0.042,0.011,-0.037,
85134715242981,GameRo,-0.000,0.013,-0.709,0.705
85134725177796,Gyro,0.001,-0.019,-0.010,
85134735113343,acc,-0.147,-0.174,9.600,
85134735113343,Lacc,0.028,0.012,-0.207,
85134735113343,GameRo,-0.000,0.013,-0.709,0.705
85134736787131,pre,994.821,,,
85134745048850,Gyro,0.012,0.018,-0.008,
85134754983175,acc,-0.127,-0.153,9.751,
85134754983175,Lacc,0.053,0.030,-0.056,
85134754983175,GameRo,-0.000,0.013,-0.709,0.705
85134761855856,pre,994.785,,,
85134764918071,Gyro,0.018,0.039,-0.005,
85134774853537,acc,-0.174,-0.192,9.665,
85134774853537,Lacc,0.014,-0.013,-0.141,
85134774853537,GameRo,0.000,0.013,-0.709,0.705
85134784762512,Gyro,0.027,0.062,-0.014,
85134786875835,pre,994.791,,,
85134794723165,acc,-0.225,-0.234,9.818,
85134794723165,Lacc,-0.024,-0.060,0.011,
85134794723165,GameRo,0.001,0.014,-0.709,0.705
85134804639181,Gyro,0.015,0.053,-0.035,
85134811948019,pre,994.806,,,
85134814567485,acc,-0.178,-0.251,9.829,
85134814567485,Lacc,0.032,-0.079,0.023,
85134814567485,GameRo,0.001,0.014,-0.710,0.704
85134824528056,Gyro,0.004,0.088,-0.095,
85134834462952,acc,0.087,-0.912,9.841,
85134834462952,Lacc,0.316,-0.741,0.035,
85134834462952,GameRo,0.002,0.014,-0.711,0.704
85134836994691,pre,994.828,,,
85134844398052,Gyro,0.150,0.096,-0.425,
85134854332865,acc,0.107,-1.063,11.174,
85134854332865,Lacc,0.346,-0.926,1.368,
85134854332865,GameRo,0.004,0.014,-0.714,0.700
85134862039286,pre,994.812,,,
85134864268372,Gyro,0.282,-0.280,-0.694,
85134874202861,acc,-0.631,0.105,9.682,
85134874202861,Lacc,-0.457,0.190,-0.126,
85134874202861,GameRo,0.003,0.009,-0.719,0.695
85134884160584,Gyro,0.101,-0.144,-0.610,
85134887085510,pre,994.763,,,
85134894072896,acc,-0.388,-0.102,8.138,
85134894072896,Lacc,-0.235,-0.026,-1.670,
85134894072896,GameRo,0.003,0.008,-0.723,0.691
85134903997742,Gyro,-0.209,0.217,-0.501,
85134913918234,acc,-0.566,0.152,8.763,
85134913918234,Lacc,-0.357,0.280,-1.044,
85134913918234,GameRo,0.003,0.012,-0.726,0.687
85134912107280,pre,994.779,,,
85134923878072,Gyro,-0.331,0.336,-0.410,
85134933813700,acc,-0.861,-0.178,11.122,
85134933813700,Lacc,-0.591,0.017,1.317,
85134933813700,GameRo,0.003,0.017,-0.729,0.684
85134937177267,pre,994.828,,,
85134943748271,Gyro,-0.122,-0.021,-0.342,
85134953683045,acc,-0.837,-0.470,10.927,
85134953683045,Lacc,-0.585,-0.259,1.123,
85134953683045,GameRo,0.002,0.017,-0.731,0.682
85134962225444,pre,994.766,,,
85134963625508,Gyro,0.111,-0.261,-0.254,
