Timestamp,Sensor,X,Y,Z,W
80538867595062,acc,-0.173,0.578,9.771,
80538890785948,acc,-0.173,0.578,9.771,
80538909368812,Gyro,-0.098,-0.266,0.009,
80538910488812,acc,-0.301,0.500,10.309,
80538929071729,Gyro,-0.095,-0.143,0.019,
80538930191729,acc,0.249,0.562,10.612,
80538954156000,pre,995.209,,,
80538948774594,Gyro,0.011,-0.037,0.008,
80538949894594,acc,-0.299,0.556,10.004,
80538969597458,acc,-0.211,0.590,9.901,
80538968477458,Gyro,-0.018,-0.051,-0.007,
80538994137562,pre,995.178,,,
80538989300375,acc,-0.132,0.495,9.920,
80538988180375,Gyro,-0.067,0.020,-0.010,
80539007883239,Gyro,-0.133,0.078,-0.008,
80539009003239,acc,-0.144,0.492,9.925,
80539009003239,Lacc,-0.003,-0.064,0.132,
80539009003239,GameRo,0.025,-0.015,-0.707,0.707
80539034141000,pre,995.206,,,
80539027586104,Gyro,-0.161,0.172,-0.003,
80539028706104,acc,-0.102,0.488,9.789,
80539028706104,Lacc,0.071,-0.038,-0.005,
80539028706104,GameRo,0.025,-0.013,-0.707,0.707
80539047288969,Gyro,-0.088,0.136,-0.007,
80539048408969,acc,-0.239,0.449,9.572,
80539048408969,Lacc,-0.039,-0.060,-0.222,
80539048408969,GameRo,0.026,-0.011,-0.707,0.707
80539074135531,pre,995.182,,,
80539068111885,acc,-0.305,0.452,9.505,
80539068111885,Lacc,-0.100,-0.058,-0.289,
80539068111885,GameRo,0.026,-0.011,-0.707,0.707
80539066991885,Gyro,0.006,0.025,-0.000,
80539087814750,Lacc,0.099,-0.073,-0.130,
80539087814750,acc,-0.099,0.450,9.664,
80539087814750,GameRo,0.026,-0.012,-0.707,0.707
80539086694750,Gyro,0.064,-0.033,0.003,
80539114136208,pre,995.156,,,
80539106397614,Gyro,0.070,-0.030,-0.004,
80539107517614,acc,-0.151,0.531,9.650,
80539107517614,Lacc,0.041,-0.005,-0.144,
80539107517614,GameRo,0.026,-0.012,-0.707,0.707
80539126100479,Gyro,0.053,0.008,0.002,
80539127220479,acc,-0.316,0.401,9.915,
80539127220479,Lacc,-0.122,-0.145,0.122,
80539127220479,GameRo,0.027,-0.013,-0.707,0.707
80539154130271,pre,995.138,,,
80539146923396,acc,-0.263,0.515,9.800,
80539145803396,Gyro,0.051,-0.002,-0.008,
80539146923396,Lacc,-0.069,-0.041,0.008,
80539146923396,GameRo,0.027,-0.013,-0.707,0.707
80539166626260,Lacc,-0.017,-0.039,0.068,
80539166626260,acc,-0.219,0.522,9.860,
80539166626260,GameRo,0.028,-0.013,-0.707,0.707
80539165506260,Gyro,0.029,0.043,-0.003,
80539194136000,pre,995.143,,,
80539186329125,acc,-0.355,0.489,9.838,
80539185209125,Gyro,0.004,0.055,-0.003,
80539186329125,Lacc,-0.142,-0.072,0.046,
80539186329125,GameRo,0.028,-0.013,-0.707,0.707
80539206031989,acc,-0.243,0.495,9.790,
80539206031989,Lacc,-0.027,-0.065,-0.002,
80539204911989,Gyro,-0.009,0.021,-0.009,
80539206031989,GameRo,0.028,-0.012,-0.707,0.706
80539234138396,pre,995.161,,,
80539225734854,acc,-0.258,0.491,9.843,
80539224614854,Gyro,-0.053,0.008,-0.004,
80539225734854,Lacc,-0.039,-0.059,0.051,
80539225734854,GameRo,0.028,-0.012,-0.707,0.706
80539244317771,Gyro,-0.101,0.020,-0.013,
80539245437771,acc,-0.254,0.470,9.858,
80539245437771,Lacc,-0.031,-0.061,0.064,
80539245437771,GameRo,0.027,-0.011,-0.707,0.706
80539274133448,pre,995.161,,,
80539264020635,Gyro,-0.115,0.038,-0.000,
80539265140635,Lacc,-0.004,-0.064,-0.093,
80539265140635,acc,-0.233,0.444,9.701,
80539265140635,GameRo,0.027,-0.010,-0.707,0.706
80539283723500,Gyro,-0.058,-0.017,0.009,
80539284843500,Lacc,-0.029,-0.056,-0.163,
