Timestamp,Sensor,X,Y,Z,W
94642448795347,Gyro,0.011706,0.008248,0.003459,
94642468877980,Gyro,0.016362,0.015697,-0.030596,
94642488880039,Gyro,0.007849,0.015431,-0.052147,
94642509003568,Gyro,0.013702,0.012372,-0.052280,
94642529248570,Gyro,0.031927,0.012239,-0.034055,
94642542819914,pre,995.962524,,,
94642557317256,pre,995.957275,,,
94642573035427,pre,995.960266,,,
94642549435278,Gyro,0.031528,0.011307,0.003193,
94642569563693,Gyro,0.020619,0.011307,0.037381,
94642588692555,pre,995.952759,,,
94642604319163,pre,995.970764,,,
94642589699738,Gyro,0.005321,0.014633,0.040574,
94642609843413,Gyro,-0.013835,0.021817,0.048555,
94642619915251,pre,995.966980,,,
94642589699738,Lacc,-0.030709,0.063333,-0.017608,
94642589699738,GameRo,-0.002221,0.020345,-0.000000,0.999791
94642609843411,Lacc,-0.021404,0.047611,0.005700,
94642609843411,GameRo,-0.002221,0.020345,0.000000,0.999791
94642635419775,pre,995.963989,,,
94642651473674,pre,995.959534,,,
94642629987087,Gyro,-0.055074,0.025940,0.043899,
94642650130760,Gyro,-0.060927,0.033523,0.019422,
94642666703512,pre,995.963257,,,
94642629987085,Lacc,-0.054765,0.085496,0.002072,
94642629987085,GameRo,-0.002353,0.020730,0.000875,0.999782
94642650130760,Lacc,-0.052180,0.024570,-0.055128,
94642650130760,GameRo,-0.002353,0.020730,0.000875,0.999782
94642682421683,pre,995.960999,,,
94642698048291,pre,995.969238,,,
94642670297324,Gyro,-0.051748,0.039243,0.005055,
94642690486780,Gyro,-0.040840,0.047890,-0.015963,
94642670297325,Lacc,-0.042213,0.048411,-0.049153,
94642670297325,GameRo,-0.003673,0.021319,0.001495,0.999765
94642690486781,Lacc,-0.065107,0.005165,-0.079897,
94642690486781,GameRo,-0.003673,0.021319,0.001495,0.999765
94642713674899,pre,995.963989,,,
94642729301507,pre,995.964783,,,
94642710653345,Gyro,-0.002528,0.049753,-0.032725,
94642730797020,Gyro,0.027670,0.046826,-0.026473,
94642710653346,Lacc,-0.030608,-0.016476,-0.126572,
94642710653346,GameRo,-0.004589,0.022218,0.001343,0.999742
94642730797021,Lacc,-0.020897,0.048064,-0.063838,
94642730797021,GameRo,-0.004589,0.022218,0.001343,0.999742
94642745111239,pre,995.958008,,,
94642760524202,pre,995.960266,,,
94642776181331,pre,995.967773,,,
94642750933064,Gyro,0.037115,0.035519,-0.010376,
94642771061477,Gyro,0.053743,0.028601,0.022482,
94642750933065,Lacc,-0.003427,0.031610,-0.062005,
94642750933065,GameRo,-0.004150,0.023195,0.000692,0.999722
94642771061478,Lacc,0.023815,0.033263,-0.058964,
94642771061478,GameRo,-0.004150,0.023195,0.000692,0.999722
94642791807939,pre,995.958740,,,
94642807434547,pre,995.963989,,,
94642791197521,Gyro,0.047358,0.022881,0.048422,
94642811341196,Gyro,0.030197,0.008780,0.040574,
94642791197522,Lacc,-0.011344,0.058591,-0.017466,
94642823641049,pre,995.958008,,,
94642791197522,GameRo,-0.003179,0.023799,0.000843,0.999711
94642811341197,Lacc,-0.082324,0.073119,-0.037962,
94642811341197,GameRo,-0.003179,0.023799,0.000843,0.999711
94642838687763,pre,995.963989,,,
94642854222808,pre,995.963257,,,
94642831484871,Gyro,0.057335,-0.000133,0.020486,
94642851628546,Gyro,0.074496,-0.000133,0.019954,
94642831484872,Lacc,-0.045513,-0.014491,-0.086581,
94642831484872,GameRo,-0.002434,0.024087,0.001818,0.999705
94642851628547,Lacc,-0.028191,0.044748,-0.044928,
94642851628547,GameRo,-0.002434,0.024087,0.001818,0.999705
94642869849417,pre,995.958740,,,
94642885567587,pre,995.958740,,,
94642901194195,pre,995.961731,,,
94642871741699,Gyro,0.058532,-0.005055,0.015697,
