Timestamp,Sensor,X,Y,Z,W
1804993916406,acc,-0.363,0.116,9.744,
1804993916406,Gyro,-0.021,0.075,-0.004,
1805013812036,acc,-0.377,0.113,9.795,
1805013812036,Gyro,-0.012,0.058,-0.002,
1805013812036,Lacc,-0.002,-0.002,-0.007,
1805013812036,GameRo,0.006,0.019,-0.000,1.000
1805033657046,acc,-0.377,0.109,9.781,
1805033657046,Gyro,0.008,0.005,0.002,
1805033657046,Lacc,0.001,-0.006,-0.021,
1805033657046,GameRo,0.006,0.019,-0.000,1.000
1805041711571,pre,999.651,,,
1805053554425,acc,-0.378,0.115,9.824,
1805053554425,Gyro,0.015,-0.027,0.005,
1805053554425,Lacc,-0.002,-0.003,0.021,
1805053554425,GameRo,0.006,0.019,0.000,1.000
1805066761212,pre,999.651,,,
1805073422263,acc,-0.337,0.136,9.789,
1805073422263,Gyro,0.010,-0.040,0.009,
1805073422263,Lacc,0.031,0.016,-0.013,
1805073422263,GameRo,0.006,0.019,0.000,1.000
1805091831320,pre,999.670,,,
1805093285462,acc,-0.360,0.121,9.768,
1805093285462,Gyro,0.002,-0.018,0.020,
1805093285462,Lacc,0.002,-0.001,-0.035,
1805093285462,GameRo,0.006,0.018,0.000,1.000
1805113160950,acc,-0.375,0.114,9.777,
1805113160950,Gyro,-0.001,-0.008,0.017,
1805113160950,Lacc,-0.015,-0.008,-0.026,
1805113160950,GameRo,0.006,0.018,0.000,1.000
1805116880636,pre,999.679,,,
1805133030863,acc,-0.357,0.125,9.786,
1805133030863,Gyro,-0.005,-0.002,0.019,
1805133030863,Lacc,0.003,0.004,-0.017,
1805133030863,GameRo,0.006,0.018,0.001,1.000
1805141933003,pre,999.660,,,
1805152900613,acc,-0.371,0.109,9.768,
1805152900613,Gyro,-0.006,0.001,0.017,
1805152900613,Lacc,-0.012,-0.011,-0.035,
1805152900613,GameRo,0.006,0.018,0.001,1.000
1805166982929,pre,999.645,,,
1805172770404,acc,-0.377,0.111,9.769,
1805172770404,Gyro,-0.004,-0.001,0.014,
1805172770404,Lacc,-0.017,-0.008,-0.034,
1805172770404,GameRo,0.006,0.018,0.001,1.000
1805192643898,acc,-0.376,0.112,9.766,
