Timestamp,Sensor,X,Y,Z,W
412608007962,acc,-0.022,0.313,9.765,
412627707754,acc,-0.022,0.313,9.765,
412650896191,acc,-0.019,0.315,9.780,
412669476087,Gyro,0.007,0.021,0.001,
412670596087,acc,-0.032,0.319,9.794,
412689175931,Gyro,0.006,0.018,0.000,
412690295931,acc,-0.029,0.308,9.759,
412710520514,pre,999.871,,,
412709995827,acc,-0.027,0.313,9.760,
412708875827,Gyro,0.008,0.006,0.001,
412728575670,Gyro,0.010,0.009,0.001,
412729695670,acc,-0.026,0.314,9.809,
412750518952,pre,999.867,,,
412748275566,Gyro,0.009,0.016,0.005,
412749395566,acc,-0.010,0.290,9.804,
412767975462,Gyro,0.003,0.023,0.016,
412769095462,acc,-0.051,0.327,9.773,
412769095462,Lacc,-0.024,0.013,-0.032,
412769095462,GameRo,0.012,-0.010,-0.707,0.707
412790513327,pre,999.854,,,
412787675306,Gyro,-0.003,0.004,0.006,
412788795306,acc,-0.051,0.335,9.767,
412788795306,Lacc,-0.023,0.022,-0.038,
412788795306,GameRo,0.012,-0.010,-0.707,0.707
412808495202,acc,-0.044,0.319,9.782,
412807375202,Gyro,0.001,0.006,0.001,
412808495202,Lacc,-0.015,0.005,-0.023,
412808495202,GameRo,0.012,-0.010,-0.707,0.707
412830515670,pre,999.823,,,
412827075045,Gyro,0.004,0.009,0.000,
412828195045,acc,-0.042,0.319,9.786,
412828195045,Lacc,-0.012,0.005,-0.019,
412828195045,GameRo,0.012,-0.010,-0.707,0.707
412846774941,Gyro,-0.000,0.007,0.000,
412847894941,acc,-0.045,0.324,9.785,
412847894941,Lacc,-0.013,0.010,-0.020,
412847894941,GameRo,0.012,-0.010,-0.707,0.707
412870514577,pre,999.828,,,
412867594785,acc,-0.047,0.324,9.776,
412866474785,Gyro,-0.005,0.003,-0.001,
412867594785,Lacc,-0.015,0.011,-0.029,
412867594785,GameRo,0.012,-0.010,-0.707,0.707
412887294681,acc,-0.042,0.322,9.786,
412886174681,Gyro,0.001,0.005,-0.001,
412887294681,Lacc,-0.009,0.009,-0.019,
412887294681,GameRo,0.013,-0.010,-0.707,0.707
412910518223,pre,999.801,,,
412905874577,Gyro,0.013,0.020,-0.001,
412906994577,acc,-0.050,0.325,9.778,
412906994577,Lacc,-0.012,0.010,-0.027,
412906994577,GameRo,0.013,-0.010,-0.707,0.707
412925574420,Gyro,0.018,0.019,-0.001,
412926694420,acc,-0.053,0.331,9.776,
412926694420,Lacc,-0.012,0.012,-0.028,
