Timestamp,Sensor,X,Y,Z,W
77492785868953,Gyro,-0.206992,0.003060,-0.021684,
77492805781953,Gyro,-0.107753,0.016495,-0.078487,
77492815738203,Gyro,0.057069,0.036583,-0.078620,
77492835650703,Gyro,0.163891,0.068110,-0.097776,
77492855563453,Gyro,0.193157,0.085537,-0.116932,
77492875476453,Gyro,0.166019,0.073032,-0.092055,
77492910059953,pre,994.720520,,,
77492895389203,Gyro,0.068909,0.054808,-0.062523,
77492915301703,Gyro,0.024344,0.032060,-0.054542,
77492926234953,pre,994.729492,,,
77492915301703,Lacc,-0.055424,0.135895,-0.060515,
77492915301703,GameRo,-0.005631,0.036345,-0.706172,0.707084
77492940760953,pre,994.719788,,,
77492956080953,pre,994.716736,,,
77492935237203,Gyro,0.019156,0.032326,-0.025940,
77492955195703,Gyro,0.036184,0.035918,0.007583,
77492935237203,Lacc,0.018013,0.152792,-0.040672,
77492935237203,GameRo,-0.004872,0.036502,-0.706903,0.706351
77492955195703,Lacc,-0.022798,0.119174,-0.096882,
77492971247953,pre,994.728760,,,
77492955195703,GameRo,-0.004872,0.036502,-0.706903,0.706351
77492986689953,pre,994.728760,,,
77493002466953,pre,994.718994,,,
77492975131203,Gyro,0.090060,0.030463,0.000133,
77492995043703,Gyro,0.120390,0.011973,-0.001596,
77492975131203,Lacc,-0.087175,0.046548,-0.179560,
77492975131203,GameRo,-0.003812,0.036425,-0.706868,0.706396
77492995043703,Lacc,-0.027752,0.180614,-0.049717,
77492995043703,GameRo,-0.003811,0.036425,-0.706868,0.706396
77493024958953,pre,994.719788,,,
77493040278953,pre,994.721985,,,
77493014956453,Gyro,0.094184,0.002661,0.027138,
77493034869453,Gyro,0.076092,-0.001330,0.039642,
77493014956453,Lacc,-0.018036,0.174348,-0.002437,
77493014956453,GameRo,-0.002015,0.034960,-0.706919,0.706427
77493034869453,Lacc,-0.043937,0.174003,-0.009868,
77493034869453,GameRo,-0.002015,0.034960,-0.706919,0.706427
77493055598953,pre,994.713745,,,
77493070917953,pre,994.721985,,,
77493054782203,Gyro,0.051216,-0.004124,0.042968,
77493074694703,Gyro,0.028069,-0.005587,0.041505,
77493054782203,Lacc,-0.041708,0.206084,0.017782,
77493054782203,GameRo,-0.000974,0.033911,-0.706400,0.706999
77493086115953,pre,994.721985,,,
77493074694703,Lacc,-0.051822,0.162709,-0.016926,
77493074694703,GameRo,-0.000973,0.033911,-0.706400,0.706999
77493101527953,pre,994.714539,,,
77493116846953,pre,994.713013,,,
77493094584453,Gyro,0.018890,-0.001729,0.021285,
77493114451453,Gyro,0.008780,-0.001995,-0.009312,
77493094584453,Lacc,-0.094429,0.154031,-0.038340,
77493094584453,GameRo,-0.000633,0.033443,-0.705859,0.707562
77493114451453,Lacc,-0.092203,0.197671,-0.004362,
77493114451453,GameRo,-0.000632,0.033443,-0.705859,0.707562
77493132166953,pre,994.717529,,,
77493147486953,pre,994.721985,,,
77493162806953,pre,994.722778,,,
77493134364203,Gyro,-0.003459,-0.000266,-0.019555,
77493154322703,Gyro,0.007317,0.007450,-0.016096,
77493134364203,Lacc,-0.045080,0.143655,-0.033989,
77493134364203,GameRo,-0.000549,0.033315,-0.705987,0.707440
77493154322703,Lacc,-0.042716,0.132930,-0.058249,
77493154322703,GameRo,-0.000548,0.033315,-0.705987,0.707440
77493178095953,pre,994.710754,,,
77493193415953,pre,994.720520,,,
77493174258453,Gyro,0.015564,0.004789,-0.027271,
77493194171453,Gyro,0.020220,0.000798,-0.035519,
77493174258453,Lacc,-0.076118,0.163923,-0.056347,
77493174258453,GameRo,-0.000394,0.033319,-0.706252,0.707176
77493194171453,Lacc,-0.045368,0.133633,-0.035934,
77493194171453,GameRo,-0.000393,0.033319,-0.706252,0.707176
77493208674953,pre,994.723511,,,
77493224024953,pre,994.723511,,,
77493239313953,pre,994.718262,,,
77493214084203,Gyro,0.000931,-0.000266,-0.026606,
77493233996703,Gyro,-0.021950,-0.000133,-0.007982,
77493214084203,Lacc,-0.028237,0.183360,0.012797,
77493214084203,GameRo,-0.000155,0.033088,-0.706748,0.706691
77493233996703,Lacc,-0.018779,0.178221,-0.004219,
77493233996703,GameRo,-0.000154,0.033087,-0.706748,0.706691
77493254633953,pre,994.725769,,,
77493269953953,pre,994.709229,,,
77493253909453,Gyro,-0.009179,0.003991,-0.015564,
77493273822453,Gyro,0.025142,0.010110,-0.049619,
77493285364953,pre,994.713013,,,
77493253909453,Lacc,-0.080153,0.116294,-0.091042,
77493253909453,GameRo,-0.000427,0.033365,-0.706880,0.706546
77493273822453,Lacc,-0.077392,0.128424,-0.077931,
77493273822453,GameRo,-0.000426,0.033365,-0.706880,0.706546
77493300562953,pre,994.717529,,,
77493315851953,pre,994.709229,,,
77493293712203,Gyro,0.018092,0.016495,-0.051881,
77493313578703,Gyro,-0.009179,0.019954,-0.046826,
