Timestamp,Sensor,X,Y,Z,W
86428161851511,Gyro,-0.111611,0.011706,-0.047225,
86428181961652,Gyro,-0.080748,0.011973,-0.040308,
86428201945553,Gyro,-0.006917,0.003326,-0.013569,
86428223864542,pre,993.770264,,,
86428239476964,pre,993.768738,,,
86428222039380,Gyro,0.010908,-0.002661,-0.007716,
86428242243136,Gyro,-0.052679,0.012239,0.112276,
86428256217627,pre,993.768738,,,
86428270671315,pre,993.774780,,,
86428286314231,pre,993.774780,,,
86428262400084,Gyro,-0.051748,-0.003991,0.053344,
86428282510224,Gyro,0.027138,-0.009312,0.035119,
86428292565297,Lacc,-0.062822,-0.077237,-0.042620,
86428292565297,GameRo,0.020410,0.027327,0.000559,0.999418
86428301926653,pre,993.769531,,,
86428317539075,pre,993.769531,,,
86428302627989,Gyro,0.035252,0.009711,0.037248,
86428322753377,Gyro,0.009445,0.010243,-0.048555,
86428334767626,pre,993.778503,,,
86428312690685,Lacc,-0.233046,0.113828,0.062364,
86428312690685,GameRo,0.020335,0.027143,0.001469,0.999424
86428332816074,Lacc,-0.038553,-0.001982,0.017623,
86428332816074,GameRo,0.020335,0.027144,0.001469,0.999424
86428348763920,pre,993.775513,,,
86428364376342,pre,993.776245,,,
86428342878766,Gyro,-0.000133,0.019422,-0.078753,
86428363004154,Gyro,-0.000399,0.030197,-0.103230,
86428379958270,pre,993.777039,,,
86428395570693,pre,993.777771,,,
86428352941462,Lacc,-0.025888,-0.072749,-0.023738,
86428352941462,GameRo,0.020719,0.027436,0.001570,0.999408
86428373066850,Lacc,-0.091311,-0.033840,0.004430,
86428373066850,GameRo,0.020719,0.027436,0.001570,0.999408
86428411335580,pre,993.773254,,,
86428383121919,Gyro,-0.022349,0.038445,-0.142872,
86428403232059,Gyro,-0.107487,0.038578,-0.135024,
86428393176991,Lacc,-0.131991,-0.038616,0.105923,
86428393176991,GameRo,0.020645,0.028023,-0.000285,0.999394
86428413287132,Lacc,0.132092,-0.057028,0.099562,
86428413287132,GameRo,0.020645,0.028023,-0.000285,0.999394
86428426917509,pre,993.778503,,,
86428442529931,pre,993.767273,,,
86428423372694,Gyro,-0.164290,0.039908,-0.019156,
86428443543821,Gyro,-0.079684,0.035252,0.030996,
86428433458259,Lacc,0.061877,-0.157986,-0.126501,
86428433458259,GameRo,0.019100,0.028911,-0.003197,0.999394
86428453629387,Lacc,-0.032812,-0.276038,-0.250056,
86428453629387,GameRo,0.019099,0.028911,-0.003197,0.999394
86428458111861,pre,993.766479,,,
86428473754775,pre,993.772522,,,
86428489367198,pre,993.777771,,,
86428463692079,Gyro,0.062124,0.017826,0.037647,
86428483817468,Gyro,0.139813,0.002261,0.041372,
86428473754775,Lacc,-0.023305,-0.137487,-0.136564,
86428473754775,GameRo,0.016497,0.029679,-0.002761,0.999420
86428493880164,Lacc,-0.027717,-0.071552,-0.091599,
86428493880164,GameRo,0.016496,0.029680,-0.002761,0.999420
86428504979620,pre,993.778503,,,
86428520592042,pre,993.773987,,,
86428503942856,Gyro,0.192093,-0.007184,0.040574,
86428524068244,Gyro,0.227345,-0.009844,0.044697,
86428537180240,pre,993.777771,,,
86428514005550,Lacc,-0.002960,-0.076296,-0.070876,
86428514005550,GameRo,0.019069,0.029791,-0.002070,0.999372
86428534130937,Lacc,-0.006801,0.035412,0.051710,
86428534130937,GameRo,0.019069,0.029791,-0.002070,0.999372
86428560324437,pre,993.768005,,,
86428544193633,Gyro,0.178524,-0.002794,0.039110,
86428564319021,Gyro,0.057202,0.008780,0.015963,
86428554256325,Lacc,-0.051448,0.088341,0.180386,
86428554256325,GameRo,0.023533,0.029568,-0.001339,0.999285
86428574381713,Lacc,-0.071408,0.062075,0.126796,
86428577095594,pre,993.775513,,,
86428574381713,GameRo,0.023533,0.029569,-0.001339,0.999285
86428592708016,pre,993.771729,,,
86428608320438,pre,993.773987,,,
86428584436786,Gyro,-0.031528,0.019555,-0.022482,
86428604546927,Gyro,-0.061725,0.021418,-0.056138,
86428594491856,Lacc,-0.060713,-0.024988,0.036217,
86428594491856,GameRo,0.025620,0.029648,-0.000881,0.999232
86428614601999,Lacc,-0.044331,-0.041604,0.029349,
86428614601999,GameRo,0.025620,0.029649,-0.000881,0.999232
86428623932861,pre,993.775513,,,
86428639545283,pre,993.764282,,,
86428624664691,Gyro,-0.076624,0.020619,-0.062390,
86428644790080,Gyro,-0.072234,0.019289,-0.036849,
86428656316440,pre,993.776245,,,
86428634727385,Lacc,0.013544,-0.074220,0.002982,
86428634727385,GameRo,0.024396,0.030122,-0.001790,0.999247
86428654852772,Lacc,0.029206,-0.164451,-0.080522,
86428654852772,GameRo,0.024394,0.030121,-0.001790,0.999247
86428670770127,pre,993.772522,,,
86428686382549,pre,993.774780,,,
86428664915468,Gyro,-0.025674,0.012771,0.000665,
86428685040856,Gyro,0.028335,0.006651,0.029266,
