Timestamp,Sensor,X,Y,Z,W
3622417459380,Gyro,-0.017028,0.006784,0.010376,
3622422481276,Gyro,-0.007583,0.012239,0.021151,
3622442614651,Gyro,0.023679,0.025408,0.031927,
3622462763290,Gyro,0.038844,0.028069,0.013835,
3622488162793,pre,994.494019,,,
3622503793253,pre,994.476013,,,
3622482911932,Gyro,0.048954,0.027271,-0.005454,
3622503060574,Gyro,0.020087,0.018890,-0.002261,
3622519423713,pre,994.496277,,,
3622535054174,pre,994.476013,,,
3622523197765,Gyro,-0.031528,0.004257,-0.002661,
3622543331138,Gyro,-0.059996,-0.006784,-0.008514,
3622553554289,pre,994.481262,,,
3622543362739,Lacc,-0.029509,0.005160,-0.033908,
3622543362739,GameRo,-0.020374,0.023413,-0.000457,0.999518
3622566345623,pre,994.482788,,,
3622582006611,pre,994.482788,,,
3622563475964,Gyro,-0.032326,0.005720,-0.003326,
3622583624606,Gyro,0.018092,0.024078,-0.000798,
3622563511380,Lacc,0.019325,-0.035627,-0.092669,
3622563511380,GameRo,-0.021048,0.023494,-0.000508,0.999502
3622583660021,Lacc,-0.013815,-0.041364,-0.090355,
3622583660021,GameRo,-0.021048,0.023494,-0.000508,0.999502
3622597576015,pre,994.478271,,,
3622613237004,pre,994.485779,,,
3622603773246,Gyro,0.035519,0.032326,-0.015830,
3622623921885,Gyro,0.019555,0.027271,-0.022881,
3622628836936,pre,994.490234,,,
3622603808659,Lacc,-0.031327,0.048148,-0.025059,
3622603808659,GameRo,-0.021675,0.023597,-0.000577,0.999486
3622623957298,Lacc,-0.034397,0.058204,-0.003193,
3622623957298,GameRo,-0.021675,0.023597,-0.000577,0.999486
3622644436867,pre,994.485779,,,
3622660067328,pre,994.488770,,,
3622644104870,Gyro,0.043500,0.032725,-0.022881,
3622664299305,Gyro,0.062656,0.052812,-0.028734,
3622644151731,Lacc,-0.006676,0.025596,-0.045030,
3622644151731,GameRo,-0.021000,0.024233,-0.000905,0.999485
