Timestamp,Sensor,X,Y,Z,W
4946695764341,Gyro,0.128771,-0.003725,-0.038312,
4946731011341,pre,994.148987,,,
4946705720591,Gyro,0.214308,-0.001729,-0.059996,
4946725633091,Gyro,0.238519,0.002794,-0.077023,
4946754235341,pre,994.158752,,,
4946761682341,pre,994.158752,,,
4946745568591,Gyro,0.209253,0.008780,-0.052147,
4946765527091,Gyro,0.128505,0.009445,-0.030064,
4946778100341,pre,994.165527,,,
4946792291341,pre,994.164001,,,
4946807580341,pre,994.153503,,,
4946785439841,Gyro,0.095381,0.003459,-0.024477,
4946805306841,Gyro,0.086335,0.001596,-0.023679,
4946822778341,pre,994.161011,,,
4946838189341,pre,994.155762,,,
4946853478341,pre,994.164734,,,
4946825219591,Gyro,0.060395,-0.000266,0.000798,
4946845178091,Gyro,0.022083,-0.008514,0.036716,
4946825219591,Lacc,0.032257,0.080684,0.058737,
4946825219591,GameRo,0.028181,-0.011364,-0.707015,0.706545
4946845178091,Lacc,0.016267,0.116755,0.037503,
4946845178091,GameRo,0.028181,-0.011364,-0.707015,0.706545
4946868798341,pre,994.150513,,,
4946884088341,pre,994.161011,,,
4946865121341,Gyro,0.009179,-0.016495,0.038844,
4946885049341,Gyro,0.021151,-0.021817,0.041771,
4946865121341,Lacc,-0.035787,0.065265,-0.023923,
4946865121341,GameRo,0.028369,-0.011826,-0.706539,0.707006
4946885049341,Lacc,-0.008225,0.066585,-0.033243,
4946885049341,GameRo,0.028369,-0.011826,-0.706539,0.707006
4946899285341,pre,994.163269,,,
4946914697341,pre,994.149780,,,
4946929986341,pre,994.162537,,,
4946904969591,Gyro,0.010243,-0.022482,0.039908,
4946924882091,Gyro,-0.051216,-0.017427,0.049619,
4946904969591,Lacc,-0.020653,0.112179,0.054326,
4946904969591,GameRo,0.028311,-0.012419,-0.705974,0.707563
4946924882091,Lacc,0.026960,0.124493,0.069744,
4946924882091,GameRo,0.028311,-0.012420,-0.705974,0.707563
4946945275341,pre,994.155029,,,
4946960565341,pre,994.160278,,,
4946944794841,Gyro,-0.070771,-0.013569,0.063854,
4946964707841,Gyro,-0.051615,-0.007184,0.055207,
4946976281341,pre,994.155029,,,
4946944794841,Lacc,-0.018278,0.043468,-0.029264,
4946944794841,GameRo,0.027391,-0.012033,-0.705285,0.708293
4946964707841,Lacc,-0.033032,0.034351,-0.054474,
4946964707841,GameRo,0.027391,-0.012033,-0.705285,0.708293
4946998773341,pre,994.162537,,,
4947014092341,pre,994.161011,,,
4946984597841,Gyro,-0.034720,-0.004789,0.042436,
4947004464841,Gyro,-0.040574,-0.007050,0.031129,
4946984597841,Lacc,-0.034889,0.102338,-0.003025,
4946984597841,GameRo,0.026541,-0.011446,-0.704523,0.709093
4947004464841,Lacc,-0.013396,0.052767,0.010836,
4947004464841,GameRo,0.026541,-0.011446,-0.704523,0.709093
4947029382341,pre,994.166992,,,
4947044671341,pre,994.164001,,,
4947024377591,Gyro,-0.025009,-0.000399,0.027404,
4947044336091,Gyro,0.000532,-0.001197,0.001330,
4947024377591,Lacc,-0.034650,0.039613,-0.031582,
4947024377591,GameRo,0.025984,-0.011017,-0.704090,0.709550
4947044336091,Lacc,-0.057068,0.061636,-0.039916,
4947044336091,GameRo,0.025984,-0.011017,-0.704090,0.709550
4947059960341,pre,994.160278,,,
4947075280341,pre,994.161011,,,
4947090600341,pre,994.166992,,,
4947064271591,Gyro,0.026606,0.000532,-0.018092,
4947084184091,Gyro,0.026074,-0.000133,-0.024610,
4947064271591,Lacc,-0.033882,0.075225,-0.017990,
4947064271591,GameRo,0.026019,-0.011057,-0.704063,0.709575
4947084184091,Lacc,-0.028079,0.084956,0.022689,
4947084184091,GameRo,0.026019,-0.011058,-0.704063,0.709575
4947105889341,pre,994.162537,,,
4947121179341,pre,994.155029,,,
4947104096841,Gyro,0.016495,-0.002528,-0.032459,
4947124009841,Gyro,0.021285,-0.005720,-0.030330,
4947136804341,pre,994.163269,,,
4947104096841,Lacc,-0.032707,0.071876,-0.010599,
4947104096841,GameRo,0.026379,-0.011409,-0.704421,0.709200
4947124009841,Lacc,0.006222,0.070633,0.007704,
4947124009841,GameRo,0.026380,-0.011409,-0.704421,0.709200
4947151788341,pre,994.166992,,,
4947167077341,pre,994.163269,,,
4947143922591,Gyro,0.014500,-0.010509,-0.011440,
4947163835091,Gyro,-0.008647,-0.012239,0.000266,
4947143922591,Lacc,0.006539,0.085074,0.037790,
4947143922591,GameRo,0.026571,-0.011765,-0.704819,0.708792
4947163835091,Lacc,0.001034,0.122199,0.059287,
4947163835091,GameRo,0.026572,-0.011765,-0.704819,0.708792
4947182366341,pre,994.167786,,,
4947197686341,pre,994.151245,,,
4947212976341,pre,994.163269,,,
4947183724841,Gyro,-0.031395,-0.015165,0.006518,
4947203591841,Gyro,-0.032326,-0.015165,-0.019156,
4947183724841,Lacc,-0.032966,0.077909,0.022831,
4947183724841,GameRo,0.026250,-0.011818,-0.704809,0.708813
4947203591841,Lacc,-0.082528,0.046651,-0.022037,
4947203591841,GameRo,0.026251,-0.011818,-0.704809,0.708813
4947228265341,pre,994.163269,,,
4947243554341,pre,994.155029,,,
4947223504591,Gyro,-0.005853,-0.018624,-0.057468,
4947243463091,Gyro,0.014766,-0.018092,-0.074230,
4947223504591,Lacc,-0.071367,0.052315,-0.041255,
4947223504591,GameRo,0.025603,-0.011602,-0.705113,0.708538
4947243463091,Lacc,-0.007007,0.088699,0.011899,
4947243463091,GameRo,0.025604,-0.011603,-0.705113,0.708538
4947258843341,pre,994.152039,,,
4947274133341,pre,994.166260,,,
4947289422341,pre,994.155029,,,
4947263398591,Gyro,-0.006651,-0.015431,-0.049486,
4947283311091,Gyro,-0.009711,-0.012904,-0.014101,
